config,arm,dataset,target_horizon,status,mse,mae
l48_r32,stbo_independent,Weather,192,ok,0.18247704207897186,0.22317837178707123
l48_r32,stbo_independent,Weather,336,ok,0.23195183277130127,0.26378199458122253
l48_r32,stbo_independent,Weather,720,ok,0.30398693680763245,0.3148082494735718
l120_r64,stbo_shared,ETTh2,96,ok,0.24549271166324615,0.31617316603660583
l120_r64,stbo_shared,ETTh2,192,ok,0.2884165048599243,0.3487091660499573
l120_r64,stbo_shared,ETTh2,336,ok,0.31517380475997925,0.373108446598053
l120_r64,stbo_shared,ETTh2,720,ok,0.39854028820991516,0.4321509301662445
l120_r64,stbo_shared,ETTm1,96,ok,0.27465927600860596,0.33234384655952454
l120_r64,stbo_shared,ETTm1,192,ok,0.3108139932155609,0.3542231619358063
l120_r64,stbo_shared,ETTm1,336,ok,0.3490087687969208,0.3753514289855957
l120_r64,stbo_shared,ETTm1,720,ok,0.40903010964393616,0.4065021872520447
l120_r64,stbo_shared,Weather,96,ok,0.14160090684890747,0.18189838528633118
l120_r64,stbo_shared,Weather,192,ok,0.18265123665332794,0.22347170114517212
l120_r64,stbo_shared,Weather,336,ok,0.23193512856960297,0.26388293504714966
l120_r64,stbo_shared,Weather,720,ok,0.3036886751651764,0.31467026472091675
l120_r64,stbo_bank4,ETTh2,96,ok,0.2508641481399536,0.3195521831512451
l120_r64,stbo_bank4,ETTh2,192,ok,0.29602861404418945,0.35367679595947266
l120_r64,stbo_bank4,ETTh2,336,ok,0.32410314679145813,0.37907180190086365
l120_r64,stbo_bank4,ETTh2,720,ok,0.41019314527511597,0.4402090013027191
l120_r64,stbo_bank4,ETTm1,96,ok,0.27470168471336365,0.33181411027908325
l120_r64,stbo_bank4,ETTm1,192,ok,0.31150180101394653,0.3538930416107178
l120_r64,stbo_bank4,ETTm1,336,ok,0.3499101996421814,0.3750084936618805
l120_r64,stbo_bank4,ETTm1,720,ok,0.410445898771286,0.40615585446357727
l120_r64,stbo_bank4,Weather,96,ok,0.14139200747013092,0.1816391795873642
l120_r64,stbo_bank4,Weather,192,ok,0.18248705565929413,0.22320301830768585
l120_r64,stbo_bank4,Weather,336,ok,0.23187917470932007,0.2637249529361725
l120_r64,stbo_bank4,Weather,720,ok,0.3041919767856598,0.31492626667022705
l120_r64,stbo_dct,ETTh2,96,ok,0.24891254305839539,0.31958287954330444
l120_r64,stbo_dct,ETTh2,192,ok,0.29091015458106995,0.3507513701915741
l120_r64,stbo_dct,ETTh2,336,ok,0.32313278317451477,0.3773425221443176
l120_r64,stbo_dct,ETTh2,720,ok,0.4108887016773224,0.4386098086833954
l120_r64,stbo_dct,ETTm1,96,ok,0.2753976285457611,0.33189406991004944
l120_r64,stbo_dct,ETTm1,192,ok,0.31159165501594543,0.3535957932472229
l120_r64,stbo_dct,ETTm1,336,ok,0.3496312201023102,0.37451478838920593
l120_r64,stbo_dct,ETTm1,720,ok,0.40869757533073425,0.40536031126976013
l120_r64,stbo_dct,Weather,96,ok,0.14160765707492828,0.18204940855503082
l120_r64,stbo_dct,Weather,192,ok,0.18249107897281647,0.22331419587135315
l120_r64,stbo_dct,Weather,336,ok,0.23199225962162018,0.2635729908943176
l120_r64,stbo_dct,Weather,720,ok,0.3040352463722229,0.3144686222076416
l120_r64,stbo_independent,ETTh2,96,ok,0.24645836651325226,0.3166827857494354
l120_r64,stbo_independent,ETTh2,192,ok,0.2895892560482025,0.34915003180503845
l120_r64,stbo_independent,ETTh2,336,ok,0.31766441464424133,0.3742789626121521
l120_r64,stbo_independent,ETTh2,720,ok,0.40071341395378113,0.43355804681777954
l120_r64,stbo_independent,ETTm1,96,ok,0.27536457777023315,0.332914263010025
l120_r64,stbo_independent,ETTm1,192,ok,0.31122976541519165,0.3546692728996277
l120_r64,stbo_independent,ETTm1,336,ok,0.34936174750328064,0.37587758898735046
l120_r64,stbo_independent,ETTm1,720,ok,0.4094070494174957,0.407027930021286
l120_r64,stbo_independent,Weather,96,ok,0.14160892367362976,0.18197932839393616
l120_r64,stbo_independent,Weather,192,ok,0.18256054818630219,0.22340832650661469
l120_r64,stbo_independent,Weather,336,ok,0.2318556308746338,0.26390406489372253
l120_r64,stbo_independent,Weather,720,ok,0.3036164939403534,0.31474044919013977
l144_r128,stbo_shared,ETTh2,96,ok,0.24773792922496796,0.3170507550239563
l144_r128,stbo_shared,ETTh2,192,ok,0.292058527469635,0.35071301460266113
l144_r128,stbo_shared,ETTh2,336,ok,0.3217282295227051,0.37679368257522583
l144_r128,stbo_shared,ETTh2,720,ok,0.4055664837360382,0.4360327422618866
l144_r128,stbo_shared,ETTm1,96,ok,0.27324050664901733,0.3313963711261749
l144_r128,stbo_shared,ETTm1,192,ok,0.30949366092681885,0.3532619774341583
l144_r128,stbo_shared,ETTm1,336,ok,0.34762856364250183,0.37439772486686707
l144_r128,stbo_shared,ETTm1,720,ok,0.4081370234489441,0.4058624804019928
l144_r128,stbo_shared,Weather,96,ok,0.14182287454605103,0.18192818760871887
l144_r128,stbo_shared,Weather,192,ok,0.1828860193490982,0.2235243320465088
l144_r128,stbo_shared,Weather,336,ok,0.23213472962379456,0.2639206349849701
l144_r128,stbo_shared,Weather,720,ok,0.30410176515579224,0.31480124592781067
l144_r128,stbo_bank4,ETTh2,96,ok,0.2516074478626251,0.31971821188926697
l144_r128,stbo_bank4,ETTh2,192,ok,0.29603561758995056,0.35287052392959595
l144_r128,stbo_bank4,ETTh2,336,ok,0.3257865607738495,0.37885305285453796
l144_r128,stbo_bank4,ETTh2,720,ok,0.4109601676464081,0.4395650029182434
l144_r128,stbo_bank4,ETTm1,96,ok,0.2740662395954132,0.33123263716697693
l144_r128,stbo_bank4,ETTm1,192,ok,0.3106270730495453,0.35330572724342346
l144_r128,stbo_bank4,ETTm1,336,ok,0.34895482659339905,0.37436214089393616
l144_r128,stbo_bank4,ETTm1,720,ok,0.4098109304904938,0.40566298365592957
l144_r128,stbo_bank4,Weather,96,ok,0.14130717515945435,0.1813901960849762
l144_r128,stbo_bank4,Weather,192,ok,0.18235816061496735,0.22297708690166473
l144_r128,stbo_bank4,Weather,336,ok,0.23176807165145874,0.2635056674480438
l144_r128,stbo_bank4,Weather,720,ok,0.30422279238700867,0.31474432349205017
l144_r128,stbo_dct,ETTh2,96,ok,0.24737508594989777,0.31899914145469666
l144_r128,stbo_dct,ETTh2,192,ok,0.289378821849823,0.3502855598926544
l144_r128,stbo_dct,ETTh2,336,ok,0.32092952728271484,0.3766922652721405
l144_r128,stbo_dct,ETTh2,720,ok,0.41014453768730164,0.4391558766365051
l144_r128,stbo_dct,ETTm1,96,ok,0.2754749655723572,0.3322239816188812
l144_r128,stbo_dct,ETTm1,192,ok,0.31107962131500244,0.3536643385887146
l144_r128,stbo_dct,ETTm1,336,ok,0.3488099277019501,0.3745303153991699
l144_r128,stbo_dct,ETTm1,720,ok,0.40775588154792786,0.4055423438549042
l144_r128,stbo_dct,Weather,96,ok,0.14163054525852203,0.18223083019256592
l144_r128,stbo_dct,Weather,192,ok,0.18270863592624664,0.22360479831695557
l144_r128,stbo_dct,Weather,336,ok,0.232476606965065,0.2640012204647064
l144_r128,stbo_dct,Weather,720,ok,0.304722398519516,0.3149125576019287
l144_r128,stbo_independent,ETTh2,96,ok,0.2462824583053589,0.31656214594841003
l144_r128,stbo_independent,ETTh2,192,ok,0.289072185754776,0.34916436672210693
l144_r128,stbo_independent,ETTh2,336,ok,0.31764915585517883,0.3744348883628845
l144_r128,stbo_independent,ETTh2,720,ok,0.40344083309173584,0.4348869323730469
l144_r128,stbo_independent,ETTm1,96,ok,0.27341723442077637,0.331279993057251
l144_r128,stbo_independent,ETTm1,192,ok,0.3096504211425781,0.3531903922557831
l144_r128,stbo_independent,ETTm1,336,ok,0.34764161705970764,0.37422287464141846
l144_r128,stbo_independent,ETTm1,720,ok,0.4078851342201233,0.40556657314300537
l144_r128,stbo_independent,Weather,96,ok,0.14151902496814728,0.18164949119091034
l144_r128,stbo_independent,Weather,192,ok,0.1825951784849167,0.223335862159729
l144_r128,stbo_independent,Weather,336,ok,0.2318892925977707,0.2638136148452759
l144_r128,stbo_independent,Weather,720,ok,0.30373165011405945,0.3146854341030121
l360_r256_capacity_probe,stbo_shared,ETTh2,96,ok,0.24649831652641296,0.3169436454772949
l360_r256_capacity_probe,stbo_shared,ETTh2,192,ok,0.2891748547554016,0.34956350922584534
l360_r256_capacity_probe,stbo_shared,ETTh2,336,ok,0.31711646914482117,0.37437111139297485
l360_r256_capacity_probe,stbo_shared,ETTh2,720,ok,0.39916783571243286,0.4331715404987335
l360_r256_capacity_probe,stbo_shared,ETTm1,96,ok,0.2723912000656128,0.33064791560173035
l360_r256_capacity_probe,stbo_shared,ETTm1,192,ok,0.3089901804924011,0.3526209592819214
l360_r256_capacity_probe,stbo_shared,ETTm1,336,ok,0.34685131907463074,0.3735557794570923
l360_r256_capacity_probe,stbo_shared,ETTm1,720,ok,0.4076943099498749,0.4050602316856384
l360_r256_capacity_probe,stbo_shared,Weather,96,ok,0.14147032797336578,0.18149331212043762
l360_r256_capacity_probe,stbo_shared,Weather,192,ok,0.18255724012851715,0.22318793833255768
l360_r256_capacity_probe,stbo_shared,Weather,336,ok,0.23183126747608185,0.2637442946434021
l360_r256_capacity_probe,stbo_shared,Weather,720,ok,0.3035072982311249,0.3145742416381836
l360_r256_capacity_probe,stbo_bank4,ETTh2,96,ok,0.24951325356960297,0.3183460235595703
l360_r256_capacity_probe,stbo_bank4,ETTh2,192,ok,0.29390040040016174,0.3520190119743347
l360_r256_capacity_probe,stbo_bank4,ETTh2,336,ok,0.3216416835784912,0.37721073627471924
l360_r256_capacity_probe,stbo_bank4,ETTh2,720,ok,0.407031387090683,0.4377533197402954
l360_r256_capacity_probe,stbo_bank4,ETTm1,96,ok,0.2742535471916199,0.3314436078071594
l360_r256_capacity_probe,stbo_bank4,ETTm1,192,ok,0.3108445703983307,0.3533957600593567
l360_r256_capacity_probe,stbo_bank4,ETTm1,336,ok,0.348712682723999,0.37408360838890076
l360_r256_capacity_probe,stbo_bank4,ETTm1,720,ok,0.4097040593624115,0.4052862524986267
l360_r256_capacity_probe,stbo_bank4,Weather,96,ok,0.14114971458911896,0.18122988939285278
l360_r256_capacity_probe,stbo_bank4,Weather,192,ok,0.18219630420207977,0.22286109626293182
l360_r256_capacity_probe,stbo_bank4,Weather,336,ok,0.231596902012825,0.2634860575199127
l360_r256_capacity_probe,stbo_bank4,Weather,720,ok,0.303871750831604,0.31455889344215393
l360_r256_capacity_probe,stbo_dct,ETTh2,96,ok,0.25012221932411194,0.3203890323638916
l360_r256_capacity_probe,stbo_dct,ETTh2,192,ok,0.2918500304222107,0.3511381447315216
l360_r256_capacity_probe,stbo_dct,ETTh2,336,ok,0.323573499917984,0.37795719504356384
l360_r256_capacity_probe,stbo_dct,ETTh2,720,ok,0.413093626499176,0.4411698877811432
l360_r256_capacity_probe,stbo_dct,ETTm1,96,ok,0.27548736333847046,0.3321194648742676
l360_r256_capacity_probe,stbo_dct,ETTm1,192,ok,0.31122276186943054,0.35367321968078613
l360_r256_capacity_probe,stbo_dct,ETTm1,336,ok,0.3494322597980499,0.37497371435165405
l360_r256_capacity_probe,stbo_dct,ETTm1,720,ok,0.40816670656204224,0.40577682852745056
l360_r256_capacity_probe,stbo_dct,Weather,96,ok,0.14160828292369843,0.18195636570453644
l360_r256_capacity_probe,stbo_dct,Weather,192,ok,0.18268635869026184,0.22340229153633118
l360_r256_capacity_probe,stbo_dct,Weather,336,ok,0.23277999460697174,0.2640424370765686
l360_r256_capacity_probe,stbo_dct,Weather,720,ok,0.3051225244998932,0.31511518359184265
l360_r256_capacity_probe,stbo_independent,ETTh2,96,ok,0.2442450374364853,0.3155241310596466
l360_r256_capacity_probe,stbo_independent,ETTh2,192,ok,0.28552576899528503,0.3477938771247864
l360_r256_capacity_probe,stbo_independent,ETTh2,336,ok,0.3125750720500946,0.3724331557750702
l360_r256_capacity_probe,stbo_independent,ETTh2,720,ok,0.3971388041973114,0.4325299561023712
l360_r256_capacity_probe,stbo_independent,ETTm1,96,ok,0.2728317379951477,0.33069247007369995
l360_r256_capacity_probe,stbo_independent,ETTm1,192,ok,0.3091312348842621,0.3526606857776642
l360_r256_capacity_probe,stbo_independent,ETTm1,336,ok,0.34696412086486816,0.3736698627471924
l360_r256_capacity_probe,stbo_independent,ETTm1,720,ok,0.40754854679107666,0.40504929423332214
l360_r256_capacity_probe,stbo_independent,Weather,96,ok,0.14153462648391724,0.1816992610692978
l360_r256_capacity_probe,stbo_independent,Weather,192,ok,0.1825915426015854,0.22328515350818634
l360_r256_capacity_probe,stbo_independent,Weather,336,ok,0.23187218606472015,0.26379042863845825
l360_r256_capacity_probe,stbo_independent,Weather,720,ok,0.30383893847465515,0.3146900236606598
