config,candidate_arm,baseline,comparison,dataset,target_horizon,status,candidate_mse,baseline_mse,relative_mse_pct,candidate_mae,baseline_mae,relative_mae_pct,candidate_wins_mse
l120_r64,stbo_bank4,a6_clean,l120_r64_stbo_bank4_vs_a6_clean,ETTh2,336,ok,0.32410314679145813,0.31436556577682495,3.097534232342136,0.37907180190086365,0.37210166454315186,1.8731809131435684,False
l120_r64,stbo_bank4,a6_clean,l120_r64_stbo_bank4_vs_a6_clean,ETTh2,720,ok,0.41019314527511597,0.3950280547142029,3.838990770385875,0.4402090013027191,0.4309396743774414,2.1509569613586077,False
l120_r64,stbo_bank4,a6_clean,l120_r64_stbo_bank4_vs_a6_clean,ETTm1,96,ok,0.27470168471336365,0.27276551723480225,0.7098285363155821,0.33181411027908325,0.33084431290626526,0.2931280167093986,False
l120_r64,stbo_bank4,a6_clean,l120_r64_stbo_bank4_vs_a6_clean,ETTm1,192,ok,0.31150180101394653,0.3091461658477783,0.7619810388747039,0.3538930416107178,0.35286661982536316,0.290880952656436,False
l120_r64,stbo_bank4,a6_clean,l120_r64_stbo_bank4_vs_a6_clean,ETTm1,336,ok,0.3499101996421814,0.34693026542663574,0.8589432841441758,0.3750084936618805,0.3737157881259918,0.3459060540018877,False
l120_r64,stbo_bank4,a6_clean,l120_r64_stbo_bank4_vs_a6_clean,ETTm1,720,ok,0.410445898771286,0.40836983919143677,0.508377304249441,0.40615585446357727,0.4053221046924591,0.20570054321384923,False
l120_r64,stbo_bank4,a6_clean,l120_r64_stbo_bank4_vs_a6_clean,Weather,96,ok,0.14139200747013092,0.14136819541454315,0.016843997702564728,0.1816391795873642,0.18159954249858856,0.02182664572294435,False
l120_r64,stbo_bank4,a6_clean,l120_r64_stbo_bank4_vs_a6_clean,Weather,192,ok,0.18248705565929413,0.18240033090114594,0.047546382026686373,0.22320301830768585,0.22314205765724182,0.02731921139567106,False
l120_r64,stbo_bank4,a6_clean,l120_r64_stbo_bank4_vs_a6_clean,Weather,336,ok,0.23187917470932007,0.2316502183675766,0.0988370929917215,0.2637249529361725,0.26356613636016846,0.06025682137973387,False
l120_r64,stbo_bank4,a6_clean,l120_r64_stbo_bank4_vs_a6_clean,Weather,720,ok,0.3041919767856598,0.3030458390712738,0.3782060555256317,0.31492626667022705,0.3143439292907715,0.1852548515154817,False
l120_r64,stbo_bank4,stbo_dct,l120_r64_stbo_bank4_vs_stbo_dct,ETTh2,96,ok,0.2508641481399536,0.24891254305839539,0.7840525260715214,0.3195521831512451,0.31958287954330444,-0.009605142835933389,False
l120_r64,stbo_bank4,stbo_dct,l120_r64_stbo_bank4_vs_stbo_dct,ETTh2,192,ok,0.29602861404418945,0.29091015458106995,1.7594640071916468,0.35367679595947266,0.3507513701915741,0.8340454283331189,False
l120_r64,stbo_bank4,stbo_dct,l120_r64_stbo_bank4_vs_stbo_dct,ETTh2,336,ok,0.32410314679145813,0.32313278317451477,0.3002987215999342,0.37907180190086365,0.3773425221443176,0.45827852814441794,False
