config,arm,dataset,status,readout_mode,total_parameters,trainable_parameters,basis_rank,stbo_tile_len,stbo_tile_count,stbo_rank,stbo_coeff_l2,stbo_shared_basis_l2,stbo_bank_count,stbo_basis_bank_l2,stbo_tile_bank_entropy_mean,stbo_tile_basis_l2,stbo_dct_basis_l2
l120_r64,stbo_bank4,Weather,ok,subspace-tiled-basis-operator-bank,6883640,6883640,,120,6,64,10.81502914428711,,4,21.0647029876709,0.9999562331631907,,
l120_r64,stbo_dct,ETTh2,ok,subspace-tiled-basis-operator-dct,1702432,1702432,,120,6,64,10.893539428710938,,,,,,7.999996185302734
l120_r64,stbo_dct,ETTm1,ok,subspace-tiled-basis-operator-dct,733216,733216,,120,6,64,9.234642028808594,,,,,,7.999996185302734
l120_r64,stbo_dct,Weather,ok,subspace-tiled-basis-operator-dct,6852896,6852896,,120,6,64,8.002795219421387,,,,,,7.999996185302734
l120_r64,stbo_independent,ETTh2,ok,subspace-tiled-basis-operator-independent,1748512,1748512,,120,6,64,13.141136169433594,,,,,23.732099533081055,
l120_r64,stbo_independent,ETTm1,ok,subspace-tiled-basis-operator-independent,779296,779296,,120,6,64,10.013258934020996,,,,,25.43862533569336,
l120_r64,stbo_independent,Weather,ok,subspace-tiled-basis-operator-independent,6898976,6898976,,120,6,64,9.879403114318848,,,,,24.50688934326172,
l144_r128,stbo_shared,ETTh2,ok,subspace-tiled-basis-operator-shared,2114336,2114336,,144,5,128,17.09784698486328,9.598592758178711,,,,,
l144_r128,stbo_shared,ETTm1,ok,subspace-tiled-basis-operator-shared,817440,817440,,144,5,128,13.04568862915039,11.106155395507812,,,,,
l144_r128,stbo_shared,Weather,ok,subspace-tiled-basis-operator-shared,8444448,8444448,,144,5,128,13.043457984924316,10.330309867858887,,,,,
l144_r128,stbo_bank4,ETTh2,ok,subspace-tiled-basis-operator-bank,2169652,2169652,,144,5,128,19.49552345275879,,4,23.098491668701172,0.999961650616693,,
l144_r128,stbo_bank4,ETTm1,ok,subspace-tiled-basis-operator-bank,872756,872756,,144,5,128,14.188165664672852,,4,23.694957733154297,0.9999753232374365,,
l144_r128,stbo_bank4,Weather,ok,subspace-tiled-basis-operator-bank,8499764,8499764,,144,5,128,14.216444969177246,,4,23.021039962768555,0.9999959611555401,,
l144_r128,stbo_dct,ETTh2,ok,subspace-tiled-basis-operator-dct,2095904,2095904,,144,5,128,13.275924682617188,,,,,,11.313700675964355
l144_r128,stbo_dct,ETTm1,ok,subspace-tiled-basis-operator-dct,799008,799008,,144,5,128,11.190922737121582,,,,,,11.313700675964355
l144_r128,stbo_dct,Weather,ok,subspace-tiled-basis-operator-dct,8426016,8426016,,144,5,128,10.706432342529297,,,,,,11.313700675964355
l144_r128,stbo_independent,ETTh2,ok,subspace-tiled-basis-operator-independent,2188064,2188064,,144,5,128,16.787202835083008,,,,,23.070215225219727,
l144_r128,stbo_independent,ETTm1,ok,subspace-tiled-basis-operator-independent,891168,891168,,144,5,128,13.178690910339355,,,,,25.034839630126953,
l144_r128,stbo_independent,Weather,ok,subspace-tiled-basis-operator-independent,8518176,8518176,,144,5,128,13.042004585266113,,,,,23.829561233520508,
l360_r256_capacity_probe,stbo_shared,ETTh2,ok,subspace-tiled-basis-operator-shared,1991328,1991328,,360,2,256,14.765223503112793,15.66930103302002,,,,,
l360_r256_capacity_probe,stbo_shared,ETTm1,ok,subspace-tiled-basis-operator-shared,858272,858272,,360,2,256,11.575881958007812,17.45446014404297,,,,,
l360_r256_capacity_probe,stbo_shared,Weather,ok,subspace-tiled-basis-operator-shared,7731616,7731616,,360,2,256,11.566137313842773,16.26495933532715,,,,,
l360_r256_capacity_probe,stbo_bank4,ETTh2,ok,subspace-tiled-basis-operator-bank,2267816,2267816,,360,2,256,16.716127395629883,,4,36.87493896484375,0.9999856421964883,,
l360_r256_capacity_probe,stbo_bank4,ETTm1,ok,subspace-tiled-basis-operator-bank,1134760,1134760,,360,2,256,12.523523330688477,,4,37.319190979003906,0.9999824605174473,,
l360_r256_capacity_probe,stbo_bank4,Weather,ok,subspace-tiled-basis-operator-bank,8008104,8008104,,360,2,256,12.59955883026123,,4,36.229408264160156,0.9999955311989129,,
l360_r256_capacity_probe,stbo_dct,ETTh2,ok,subspace-tiled-basis-operator-dct,1899168,1899168,,360,2,256,12.070206642150879,,,,,,15.999950408935547
l360_r256_capacity_probe,stbo_dct,ETTm1,ok,subspace-tiled-basis-operator-dct,766112,766112,,360,2,256,10.275745391845703,,,,,,15.999950408935547
l360_r256_capacity_probe,stbo_dct,Weather,ok,subspace-tiled-basis-operator-dct,7639456,7639456,,360,2,256,9.579326629638672,,,,,,15.999950408935547
l360_r256_capacity_probe,stbo_independent,ETTh2,ok,subspace-tiled-basis-operator-independent,2083488,2083488,,360,2,256,14.689605712890625,,,,,22.997556686401367,
l360_r256_capacity_probe,stbo_independent,ETTm1,ok,subspace-tiled-basis-operator-independent,950432,950432,,360,2,256,11.689736366271973,,,,,24.903173446655273,
l360_r256_capacity_probe,stbo_independent,Weather,ok,subspace-tiled-basis-operator-independent,7823776,7823776,,360,2,256,11.554234504699707,,,,,23.508211135864258,
