config,comparison,dataset,settings,mse_wins,mean_relative_mse_pct,mean_relative_mae_pct
l48_r32,l48_r32_stbo_shared_vs_a6_clean,Weather,4,0,0.1603378521459642,0.08146094108772983
l48_r32,l48_r32_stbo_shared_vs_a6_clean,ALL,12,0,0.47428330292004034,0.2862265787106577
l48_r32,l48_r32_stbo_shared_vs_stbo_dct,ETTh2,4,4,-1.0514623463380057,-0.5223502886328418
l48_r32,l48_r32_stbo_shared_vs_stbo_dct,ETTm1,4,3,-0.09310136131815694,0.0827535920173067
l48_r32,l48_r32_stbo_shared_vs_stbo_dct,Weather,4,3,-0.08576486338889577,-0.012896783173338422
l48_r32,l48_r32_stbo_shared_vs_stbo_dct,ALL,12,10,-0.41010952368168613,-0.1508311599296245
l48_r32,l48_r32_stbo_shared_vs_stbo_independent,ETTh2,4,2,-0.08827233318361993,0.033409121011029885
l48_r32,l48_r32_stbo_shared_vs_stbo_independent,ETTm1,4,4,-0.14385116390479014,-0.1565488662769482
l48_r32,l48_r32_stbo_shared_vs_stbo_independent,Weather,4,1,0.04308002513237208,0.024981835582060796
l48_r32,l48_r32_stbo_shared_vs_stbo_independent,ALL,12,7,-0.06301449065201266,-0.0327193032279525
l120_r64,l120_r64_stbo_bank4_vs_a6_clean,ETTh2,4,0,3.279487245009449,1.84320381044345
l120_r64,l120_r64_stbo_bank4_vs_a6_clean,ETTm1,4,0,0.7097825408959757,0.28390389164539287
l120_r64,l120_r64_stbo_bank4_vs_a6_clean,Weather,4,0,0.13535838206165107,0.07366438250345775
l120_r64,l120_r64_stbo_bank4_vs_a6_clean,ALL,12,0,1.3748760559890254,0.7335906948641002
l120_r64,l120_r64_stbo_bank4_vs_stbo_dct,ETTh2,4,1,0.6686335698536883,0.411830915014863
l120_r64,l120_r64_stbo_bank4_vs_stbo_dct,ETTm1,4,2,0.05650739352222045,0.09701341595329538
l120_r64,l120_r64_stbo_bank4_vs_stbo_dct,Weather,4,3,-0.03792159739293699,-0.01798513421066572
l120_r64,l120_r64_stbo_bank4_vs_stbo_dct,ALL,12,6,0.22907312199432392,0.16361973225249757
l120_r64,l120_r64_stbo_bank4_vs_stbo_independent,ETTh2,4,0,2.100966502090845,1.2542954834561137
l120_r64,l120_r64_stbo_bank4_vs_stbo_independent,ETTm1,4,1,0.06435138929336004,-0.24869850028353124
l120_r64,l120_r64_stbo_bank4_vs_stbo_independent,Weather,4,2,0.0015652319456355146,-0.07191153604351186
l120_r64,l120_r64_stbo_bank4_vs_stbo_independent,ALL,12,3,0.7222943744432803,0.31122848237635686
l120_r64,l120_r64_stbo_dct_vs_a6_clean,ETTh2,4,0,2.5993961573936684,1.4261366474848935
l120_r64,l120_r64_stbo_dct_vs_a6_clean,ETTm1,4,0,0.6537006791704547,0.18679107295678787
l120_r64,l120_r64_stbo_dct_vs_a6_clean,Weather,4,0,0.17332066014620895,0.09178386631398805
l120_r64,l120_r64_stbo_dct_vs_a6_clean,ALL,12,0,1.1421391655701107,0.5682371955852231
l120_r64,l120_r64_stbo_dct_vs_stbo_independent,ETTh2,4,0,1.4281570020156065,0.8395303833773515
l120_r64,l120_r64_stbo_dct_vs_stbo_independent,ETTm1,4,1,0.008029902693315605,-0.3453462574647487
l120_r64,l120_r64_stbo_dct_vs_stbo_independent,Weather,4,2,0.03947568559446446,-0.05386044735839757
l120_r64,l120_r64_stbo_dct_vs_stbo_independent,ALL,12,3,0.49188753010112884,0.14677455951806842
l120_r64,l120_r64_stbo_independent_vs_a6_clean,ETTh2,4,0,1.1538924001788353,0.5816329455825942
l120_r64,l120_r64_stbo_independent_vs_a6_clean,ETTm1,4,0,0.6454211501079166,0.5339586001323726
l120_r64,l120_r64_stbo_independent_vs_a6_clean,Weather,4,0,0.13377571928568366,0.1457041962854566
l120_r64,l120_r64_stbo_independent_vs_a6_clean,ALL,12,0,0.6443630898574785,0.4204319140001411
l120_r64,l120_r64_stbo_independent_vs_stbo_dct,ETTh2,4,4,-1.4021809892329178,-0.8319129272092995
l120_r64,l120_r64_stbo_independent_vs_stbo_dct,ETTm1,4,3,-0.007905712031835987,0.34656267039216426
l120_r64,l120_r64_stbo_independent_vs_stbo_dct,Weather,4,2,-0.03941589557422409,0.05392665228809712
l120_r64,l120_r64_stbo_independent_vs_stbo_dct,ALL,12,9,-0.4831675322796593,-0.14380786817634605
l120_r64,l120_r64_stbo_shared_vs_a6_clean,ETTh2,4,0,0.616977945425351,0.34915041481654585
l120_r64,l120_r64_stbo_shared_vs_a6_clean,ETTm1,4,0,0.4986431940566416,0.3916239717452641
l120_r64,l120_r64_stbo_shared_vs_a6_clean,Weather,4,0,0.15932200744977476,0.13407532847025672
l120_r64,l120_r64_stbo_shared_vs_a6_clean,ALL,12,0,0.4249810489772558,0.29161657167735555
l120_r64,l120_r64_stbo_shared_vs_stbo_dct,ETTh2,4,4,-1.9248648071108239,-1.0609550672575212
l120_r64,l120_r64_stbo_shared_vs_stbo_dct,ETTm1,4,3,-0.1535869537000495,0.2045076997308659
l120_r64,l120_r64_stbo_shared_vs_stbo_dct,Weather,4,3,-0.01390541829009162,0.04232211266309571
l120_r64,l120_r64_stbo_shared_vs_stbo_dct,ALL,12,10,-0.6974523930336549,-0.2713750849545199
l120_r64,l120_r64_stbo_shared_vs_stbo_independent,ETTh2,4,4,-0.5307838403243392,-0.23112062163452574
l120_r64,l120_r64_stbo_shared_vs_stbo_independent,ETTm1,4,4,-0.14570722603056974,-0.14156764881623762
l120_r64,l120_r64_stbo_shared_vs_stbo_independent,Weather,4,1,0.02551899671046909,-0.011604476386040119
l120_r64,l120_r64_stbo_shared_vs_stbo_independent,ALL,12,9,-0.21699068988147996,-0.1280975822789345
l144_r128,l144_r128_stbo_bank4_vs_a6_clean,ETTh2,4,0,3.5386223740916267,1.7463057078244582
l144_r128,l144_r128_stbo_bank4_vs_a6_clean,ETTm1,4,0,0.4730872817191478,0.12471688896196764
l144_r128,l144_r128_stbo_bank4_vs_a6_clean,Weather,4,2,0.09324163042425115,-0.021194501906285357
l144_r128,l144_r128_stbo_bank4_vs_a6_clean,ALL,12,2,1.3683170954116752,0.6166093649600468
l144_r128,l144_r128_stbo_bank4_vs_stbo_dct,ETTh2,4,0,1.4308934369705317,0.40753925230898047
l144_r128,l144_r128_stbo_bank4_vs_stbo_dct,ETTm1,4,2,-0.02783161983874738,-0.10373755172687626
l144_r128,l144_r128_stbo_bank4_vs_stbo_dct,Weather,4,4,-0.22221824697526982,-0.24578912133940978
l144_r128,l144_r128_stbo_bank4_vs_stbo_dct,ALL,12,6,0.39361452338550484,0.019337526414231476
l144_r128,l144_r128_stbo_bank4_vs_stbo_independent,ETTh2,4,0,2.2491493473967896,1.0785178002466533
l144_r128,l144_r128_stbo_bank4_vs_stbo_independent,ETTm1,4,0,0.35066565641532765,0.019836740766771
l144_r128,l144_r128_stbo_bank4_vs_stbo_independent,Weather,4,3,-0.04251870398345736,-0.1003509965393945
l144_r128,l144_r128_stbo_bank4_vs_stbo_independent,ALL,12,3,0.8524320999428866,0.3326678481580099
l144_r128,l144_r128_stbo_dct_vs_a6_clean,ETTh2,4,0,2.0858970662462006,1.3342352384421052
l144_r128,l144_r128_stbo_dct_vs_a6_clean,ETTm1,4,1,0.5025494412846332,0.22884326314175918
l144_r128,l144_r128_stbo_dct_vs_a6_clean,Weather,4,0,0.3161454424606802,0.22524268344272236
l144_r128,l144_r128_stbo_dct_vs_a6_clean,ALL,12,1,0.968197316663838,0.596107061675529
l144_r128,l144_r128_stbo_dct_vs_stbo_independent,ETTh2,4,0,0.8110148732714484,0.6688591286912626
l144_r128,l144_r128_stbo_dct_vs_stbo_independent,ETTm1,4,1,0.37963232413090464,0.12383054751299027
l144_r128,l144_r128_stbo_dct_vs_stbo_independent,Weather,4,0,0.18010100249074013,0.1459347257035004
l144_r128,l144_r128_stbo_dct_vs_stbo_independent,ALL,12,1,0.45691606663103107,0.31287480063591777
l144_r128,l144_r128_stbo_independent_vs_a6_clean,ETTh2,4,0,1.262108831131109,0.6606504478524788
l144_r128,l144_r128_stbo_independent_vs_a6_clean,ETTm1,4,1,0.12209768798004672,0.10486115518473227
l144_r128,l144_r128_stbo_independent_vs_a6_clean,Weather,4,0,0.13575693109380005,0.07922350924441379
l144_r128,l144_r128_stbo_independent_vs_a6_clean,ALL,12,1,0.506654483401652,0.28157837076054165
l144_r128,l144_r128_stbo_independent_vs_stbo_dct,ETTh2,4,4,-0.8010682149134946,-0.6638431572489611
l144_r128,l144_r128_stbo_independent_vs_stbo_dct,ETTm1,4,3,-0.3774128444485991,-0.1235662245153174
l144_r128,l144_r128_stbo_independent_vs_stbo_dct,Weather,4,4,-0.17965074209159992,-0.14561763437224984
l144_r128,l144_r128_stbo_independent_vs_stbo_dct,ALL,12,11,-0.4527106004845645,-0.3110090053788428
l144_r128,l144_r128_stbo_shared_vs_a6_clean,ETTh2,4,0,2.130917961872619,1.03586976287654
l144_r128,l144_r128_stbo_shared_vs_a6_clean,ETTm1,4,1,0.10770281875902288,0.1486749664505238
l144_r128,l144_r128_stbo_shared_vs_a6_clean,Weather,4,0,0.2863744549688463,0.15806762715647182
l144_r128,l144_r128_stbo_shared_vs_a6_clean,ALL,12,1,0.8416650785334961,0.4475374521611786
l144_r128,l144_r128_stbo_shared_vs_stbo_dct,ETTh2,4,1,0.05134095707830799,-0.2932488079962242
l144_r128,l144_r128_stbo_shared_vs_stbo_dct,ETTm1,4,3,-0.3915413215921676,-0.0798357227547064
l144_r128,l144_r128_stbo_shared_vs_stbo_dct,Weather,4,2,-0.029462164203084007,-0.06698348618838501
l144_r128,l144_r128_stbo_shared_vs_stbo_dct,ALL,12,6,-0.12322084290564787,-0.14668933897977188
l144_r128,l144_r128_stbo_shared_vs_stbo_independent,ETTh2,4,0,0.8587698033391433,0.37282812079548755
l144_r128,l144_r128_stbo_shared_vs_stbo_independent,ETTm1,4,3,-0.014315366964470777,0.043770745487659024
l144_r128,l144_r128_stbo_shared_vs_stbo_independent,Weather,4,0,0.1504214667275794,0.07879572646593558
l144_r128,l144_r128_stbo_shared_vs_stbo_independent,ALL,12,3,0.331625301034084,0.1651315309163607
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_bank4_vs_a6_clean,ETTh2,4,0,2.559415394896569,1.360585056513719
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_bank4_vs_a6_clean,ETTm1,4,0,0.4838517145690724,0.10516822597194109
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_bank4_vs_a6_clean,Weather,4,3,-0.004220721970943364,-0.07286581017126315
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_bank4_vs_a6_clean,ALL,12,3,1.0130154624982328,0.46429582410479897
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_bank4_vs_stbo_dct,ETTh2,4,3,-0.40136808968125326,-0.3396840758676606
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_bank4_vs_stbo_dct,ETTm1,4,3,-0.09966596389146265,-0.16005631046906998
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_bank4_vs_stbo_dct,Weather,4,4,-0.37756196295325173,-0.2571903570218276
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_bank4_vs_stbo_dct,ALL,12,10,-0.29286533884198923,-0.25231024778618605
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_bank4_vs_stbo_independent,ETTh2,4,0,2.6203943853529643,1.1499055432054317
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_bank4_vs_stbo_independent,ETTm1,4,0,0.527057525730168,0.15120089230835076
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_bank4_vs_stbo_independent,Weather,4,3,-0.1490848661398897,-0.1513235157329318
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_bank4_vs_stbo_independent,ALL,12,3,0.9994556816477476,0.3832609732602836
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_dct_vs_a6_clean,ETTh2,4,0,2.979947907154706,1.7078217582742805
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_dct_vs_a6_clean,ETTm1,4,1,0.5852571414141583,0.265699112568879
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_dct_vs_a6_clean,Weather,4,0,0.3749058562027452,0.18479478394115012
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_dct_vs_a6_clean,ALL,12,1,1.3133703015905367,0.7194385515947699
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_dct_vs_stbo_independent,ETTh2,4,0,3.0393278695829085,1.4960442586782752
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_dct_vs_stbo_independent,ETTm1,4,0,0.6282422616437799,0.31179440569375494
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_dct_vs_stbo_independent,Weather,4,0,0.22948445097727976,0.10614980399600293
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_dct_vs_stbo_independent,ALL,12,0,1.2990181940679895,0.6379961561226777
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_independent_vs_a6_clean,ETTh2,4,2,-0.05864861991436432,0.2083400616919029
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_independent_vs_a6_clean,ETTm1,4,2,-0.04297712062084624,-0.045962947822816846
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_independent_vs_a6_clean,Weather,4,0,0.14502229040420644,0.07855963234301155
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_independent_vs_a6_clean,ALL,12,4,0.014465516622998628,0.08031224873736587
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_independent_vs_stbo_dct,ETTh2,4,4,-2.944502079367109,-1.4727022245452803
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_independent_vs_stbo_dct,ETTm1,4,4,-0.6234462693654547,-0.31074155896393674
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_independent_vs_stbo_dct,Weather,4,4,-0.22864493950233156,-0.10602457591431802
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_independent_vs_stbo_dct,ALL,12,12,-1.2655310960782984,-0.6298227864745117
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_shared_vs_a6_clean,ETTh2,4,0,0.9803935463511104,0.6158808818864936
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_shared_vs_a6_clean,ETTm1,4,4,-0.09396596043135808,-0.05910130047621087
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_shared_vs_a6_clean,Weather,4,0,0.09717509531816382,0.02573176502037866
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_shared_vs_a6_clean,ALL,12,4,0.3278675604126387,0.19417044881022047
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_shared_vs_stbo_dct,ETTh2,4,4,-1.933028790096511,-1.071401560168053
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_shared_vs_stbo_dct,ETTm1,4,4,-0.6738974269130504,-0.3238357202408171
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_shared_vs_stbo_dct,Weather,4,4,-0.2762578558248546,-0.1587537253774418
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_shared_vs_stbo_dct,ALL,12,12,-0.961061357611472,-0.5179970019287707
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_shared_vs_stbo_independent,ETTh2,4,0,1.0410955755795204,0.4068475309924324
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_shared_vs_stbo_independent,ETTm1,4,3,-0.05096081483769721,-0.013142025674658941
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_shared_vs_stbo_independent,Weather,4,4,-0.04775325936545172,-0.05279147944192153
l360_r256_capacity_probe,l360_r256_capacity_probe_stbo_shared_vs_stbo_independent,ALL,12,7,0.31412716712545713,0.11363800862528399
