origin,channel,eligible,score,mean_nchpd,disagreement_percentile,min_gain,uvhf_corr720,target_std_scaled,uvhf_common96_mse,dlinear_mse_h96,uvhf_mse_h96,relative_gain_h96,dlinear_common96_mse_h96,dlinear_mse_h192,uvhf_mse_h192,relative_gain_h192,dlinear_common96_mse_h192,dlinear_mse_h336,uvhf_mse_h336,relative_gain_h336,dlinear_common96_mse_h336,dlinear_mse_h720,uvhf_mse_h720,relative_gain_h720,dlinear_common96_mse_h720,mean_range96,q25_range96,visibility96,persistent_fraction96,mean_sorted_gap96,accuracy_eligible
1186,6,True,0.6580258202996317,0.0637401134581379,0.93058769088385,0.1169638361303874,0.5764282401859055,0.4605272034172006,0.070778006731374,0.0801530102925943,0.070778006731374,0.1169638361303874,0.0801530102925943,0.1566402091044067,0.089437697515349,0.429024654482328,0.0952254503517271,0.2557135507044609,0.1179288985391676,0.5388242108629467,0.0816910441769733,0.2562523132484656,0.1685355601856486,0.3423061901406745,0.0730542763903877,1.3999711552507486,1.2094695941297573,0.08274305550879286,0.16666666666666666,0.4666570517502495,True
1684,6,False,0.5231034306088949,0.0508264408563263,0.6927348449791763,0.1149849646299387,0.4224051873032515,0.4109022829898622,0.090333310478029,0.1020698031873062,0.090333310478029,0.1149849646299387,0.1020698031873062,0.1591581453936633,0.0889782296346178,0.4409445434631179,0.1144855245471768,0.1826330228412569,0.0824170934576546,0.5487284162772093,0.1309005987097413,0.1853726231278114,0.1493107197969123,0.194537374086976,0.1590281666814449,1.212486949472781,1.0129215711836892,0.08210430163560559,0.21875,0.404162316490927,True
375,6,True,0.6523555956287068,0.0609934545521225,0.8968070337806571,0.1457631315214707,0.6022313928193713,0.5018548367089918,0.1390821768249732,0.1628145330143509,0.1390821768249732,0.1457631315214707,0.1628145330143509,0.4332186479328268,0.2398600130421509,0.4463303595385793,0.1792697151991471,0.7959512567798628,0.3643198457020344,0.542283723282323,0.2110947760722519,0.9418414633210688,0.3584620465546772,0.6194029881730961,0.2219272834441464,1.422671536301177,0.6997849577203681,0.08072444709175974,0.3229166666666667,0.4742238454337257,True
1852,0,True,0.6630389629116235,0.0567357783216894,0.936140675613142,0.1809405112199262,0.4068647173907456,0.3763015770680725,0.1433454865552272,0.175012301937591,0.1433454865552272,0.1809405112199262,0.175012301937591,0.2172134842202948,0.1475457262394124,0.3207340383630438,0.1821729030396963,0.2824489943664451,0.1765144983533427,0.3750570833177213,0.2220811256847256,0.5605365488511421,0.3059922096529029,0.454108371202458,0.2382291703729799,1.161453088372569,0.745637469324322,0.0802338768628676,0.2708333333333333,0.38715102945752305,True
374,6,True,0.657561851328086,0.0590082633915165,0.8667283664969921,0.2109471862292696,0.6091351221080898,0.5017682301462975,0.1479819917468063,0.1875438363113225,0.1479819917468063,0.2109471862292696,0.1875438363113225,0.4619781850022013,0.2447589794068504,0.4701936425727889,0.2016769208684578,0.8264265875042289,0.3579782361756042,0.5668360123109273,0.243713839919849,0.9755289998084836,0.3521119463854856,0.6390553776929109,0.2556563722100351,1.376831657421293,0.6808273692954003,0.08020502506873159,0.3333333333333333,0.4589438858070977,True
1187,6,True,0.6437810987710317,0.0621820015625821,0.914854234150856,0.0962424949059158,0.5748123322382894,0.4605494389460438,0.0738287981287809,0.0816909377932027,0.0738287981287809,0.0962424949059158,0.0816909377932027,0.1585673246166765,0.0917861599327691,0.4211533797732,0.0968266959930029,0.2579444696378095,0.1185505194599403,0.5404029416625912,0.0828051009293776,0.2561805572446612,0.171252778146999,0.331515318770086,0.0747676610682087,1.3480071725134994,1.1585455125719193,0.07967180743917385,0.16666666666666666,0.44933572417116646,True
1672,6,True,0.6556243658605806,0.0537419598577322,0.7542804257288293,0.419101565528191,0.5275368333770869,0.4002133063167799,0.0763739209083324,0.1494716559851554,0.0763739209083324,0.489040778969376,0.1494716559851554,0.2390183077915145,0.0801508784310369,0.6646663631266727,0.1814640651858707,0.1826380982230012,0.0780733747470903,0.5725241583945826,0.1281976652654794,0.2021176931658363,0.1174098515390877,0.419101565528191,0.1743229255862379,1.2303264660196565,0.9276651604412578,0.07945924157956413,0.20833333333333334,0.41010882200655213,True
1671,6,False,0.6246850163592258,0.0526188748947802,0.7255900046274872,0.3651440965037451,0.5234678509435859,0.3998116860516813,0.0641628828829321,0.1314202567296992,0.0641628828829321,0.5117732647950898,0.1314202567296992,0.2211602199670868,0.0677098479033143,0.6938425548980242,0.1608417035733472,0.1678252868235633,0.0669672461861292,0.6009704648588943,0.1165454682427212,0.1939778953960436,0.1231480120399572,0.3651440965037451,0.1612724843325062,1.2074972674906959,0.8743099902941154,0.07913383541120682,0.1875,0.4024990891635653,True
1670,6,False,0.5622222399501196,0.0489311766818106,0.6658954187875983,0.2562070295159498,0.5241242170153549,0.399658994748978,0.0552303963818943,0.1113144130721997,0.0552303963818943,0.5038342757458429,0.1113144130721997,0.193915998867708,0.0557601302594868,0.7124521412102409,0.1355967203496715,0.149722654426243,0.05888117616666,0.6067316840440713,0.1046412881642787,0.1817049827035281,0.1351508888368101,0.2562070295159498,0.1447938142763397,1.1099649803608114,0.8317104839556322,0.0789626221728675,0.20833333333333334,0.3699883267869371,True
373,6,True,0.6341536980652616,0.0579788129599321,0.8496066635816751,0.1603405503367716,0.6124820117339248,0.5017570163005001,0.1796282222634242,0.2139298525556637,0.1796282222634242,0.1603405503367716,0.2139298525556637,0.4880036637126454,0.2788970312766872,0.4284939806498827,0.2258466083213306,0.8512346895922152,0.3855865161436059,0.5470267825570859,0.2758645107068473,1.0077670734630444,0.3734150552539135,0.6294629333634336,0.2897502756270969,1.361900881347477,0.7361597949067118,0.07867541596424492,0.28125,0.453966960449159,True
