dataset,target_horizon,segment_start,segment_end,avg_prefix_weight,relative_to_tail_weight,clean_mse,fixed_mse,relative_mse_pct,clean_mae,fixed_mae,relative_mae_pct,clean_wins_mse
ETTm1,192,96,192,0.0023933531746031743,6.8928571428571415,0.3455268144607544,0.3615999221801758,-4.444997560428831,0.37488895654678345,0.3787340223789215,-1.0152417276869552,True
ETTm1,336,0,96,0.004997519841269841,14.39285714285714,0.27276551723480225,0.2808822691440582,-2.889734526138099,0.33084431290626526,0.3353271186351776,-1.3368455695315973,True
ETTm1,336,96,192,0.0023933531746031743,6.8928571428571415,0.3455267548561096,0.3519231379032135,-1.81755115199701,0.37488895654678345,0.3764905631542206,-0.42540418384432455,True
ETTm1,336,192,288,0.0010912698412698413,3.142857142857143,0.38637006282806396,0.3847366273403168,0.4245593924963931,0.39701539278030396,0.3959861397743225,0.2599214726475063,False
ETTm1,336,288,336,0.0010912698412698413,3.142857142857143,0.4191870391368866,0.41386982798576355,1.2847544787212506,0.41051340103149414,0.4085138142108917,0.4894783850736939,False
ETTm1,720,0,96,0.004997519841269841,14.39285714285714,0.27276551723480225,0.28118184208869934,-2.993196428111511,0.33084431290626526,0.336627721786499,-1.718042961388011,True
ETTm1,720,96,192,0.0023933531746031743,6.8928571428571415,0.3455267548561096,0.34554407000541687,-0.005010981466702091,0.37488895654678345,0.37474867701530457,0.03743296243128302,True
ETTm1,720,192,288,0.0010912698412698413,3.142857142857143,0.38637006282806396,0.3882591724395752,-0.48655891363525994,0.39701539278030396,0.39794719219207764,-0.23415152313072118,True
ETTm1,720,288,384,0.0007192460317460318,2.0714285714285716,0.42008230090141296,0.42146939039230347,-0.32910800226783055,0.4112221896648407,0.4123483896255493,-0.27311855436886745,True
ETTm1,720,384,480,0.00034722222222222224,1.0,0.4394981265068054,0.43481960892677307,1.0759674780030926,0.4209200441837311,0.41999390721321106,0.22051200139192595,False
ETTm1,720,480,576,0.00034722222222222224,1.0,0.467785507440567,0.45901304483413696,1.9111575815018433,0.4346888065338135,0.4325968623161316,0.4835782225699914,False
ETTm1,720,576,672,0.00034722222222222224,1.0,0.4828062057495117,0.4753621220588684,1.5659816685439365,0.44391483068466187,0.4423736035823822,0.34839942749718134,False
ETTm1,720,672,720,0.00034722222222222224,1.0,0.49587884545326233,0.4893359839916229,1.3370897860949915,0.4528425931930542,0.45089608430862427,0.4316978905271718,False
Weather,96,0,96,0.004997519841269841,14.39285714285714,0.14136819541454315,0.14042679965496063,0.6703818372957304,0.18159954249858856,0.1782880425453186,1.8573875768635562,False
Weather,192,0,96,0.004997519841269841,14.39285714285714,0.14136819541454315,0.14180472493171692,-0.3078384852013727,0.18159954249858856,0.1792691946029663,1.2999154153525039,True
Weather,192,96,192,0.0023933531746031743,6.8928571428571415,0.2234324812889099,0.22266380488872528,0.34521838902770163,0.2646845579147339,0.2608884572982788,1.4550665275753882,False
Weather,336,0,96,0.004997519841269841,14.39285714285714,0.14136819541454315,0.14385226368904114,-1.7268190369723269,0.18159954249858856,0.18132928013801575,0.14904507444528647,True
Weather,336,96,192,0.0023933531746031743,6.8928571428571415,0.22343245148658752,0.22653265297412872,-1.3685450847102598,0.2646845579147339,0.26428642868995667,0.15064308324521658,True
Weather,336,192,288,0.0010912698412698413,3.142857142857143,0.28628402948379517,0.2866007089614868,-0.1104950084872991,0.3109744191169739,0.3086667060852051,0.7476391156783002,True
Weather,336,288,336,0.0010912698412698413,3.142857142857143,0.3193821310997009,0.31461459398269653,1.515357903984138,0.33044591546058655,0.32688403129577637,1.089647649868608,False
Weather,720,0,96,0.004997519841269841,14.39285714285714,0.14136819541454315,0.14317019283771515,-1.258640075462203,0.18159954249858856,0.18443308770656586,-1.536354047537003,True
Weather,720,96,192,0.0023933531746031743,6.8928571428571415,0.22343245148658752,0.2265583574771881,-1.3797354577463894,0.2646845579147339,0.26708707213401794,-0.899524713078792,True
Weather,720,192,288,0.0010912698412698413,3.142857142857143,0.28628402948379517,0.28976699709892273,-1.201989063626363,0.3109744191169739,0.31316864490509033,-0.700653090216441,True
Weather,720,288,384,0.0007192460317460318,2.0714285714285716,0.32755881547927856,0.3309372365474701,-1.0208645915573578,0.33539852499961853,0.3377363979816437,-0.6922182494977114,True
Weather,720,384,480,0.00034722222222222224,1.0,0.34993770718574524,0.35432374477386475,-1.2378616033533851,0.3494231402873993,0.35183972120285034,-0.6868414138089252,True
Weather,720,480,576,0.00034722222222222224,1.0,0.36843428015708923,0.3725482225418091,-1.1042711079525147,0.36119192838668823,0.3630902171134949,-0.5228146166805892,True
Weather,720,576,672,0.00034722222222222224,1.0,0.38177379965782166,0.3866608440876007,-1.2639098332573484,0.36862462759017944,0.3707371652126312,-0.5698208382318937,True
Weather,720,672,720,0.00034722222222222224,1.0,0.38810884952545166,0.39371657371520996,-1.424304833510659,0.37136557698249817,0.3733261227607727,-0.525156333496346,True
