phase,dataset,trial_id,profile_id,seed,horizon,test_mse,test_mae,complete,checkpoint_sha256
H2,ETTh2,ETTh2__h2_lr5e4,h2_lr5e4,2021,336,0.3122683312867567,0.3711865635745016,True,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e
H2,ETTh2,ETTh2__h2_lr5e4,h2_lr5e4,2021,720,0.39405488596768706,0.42976343582293,True,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e
H2,ETTm1,ETTm1__h2_table5_capacity,h2_table5_capacity,2021,96,0.2659839500967137,0.32657150986453487,True,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948
H2,ETTm1,ETTm1__h2_table5_capacity,h2_table5_capacity,2021,192,0.3050110151558611,0.35059004880365885,True,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948
H2,ETTm1,ETTm1__h2_table5_capacity,h2_table5_capacity,2021,336,0.34448984367496216,0.3727244693263644,True,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948
H2,ETTm1,ETTm1__h2_table5_capacity,h2_table5_capacity,2021,720,0.4073109251765397,0.4056298297188275,True,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948
H4L,ETTm2,ETTm2__h4l_wd1e3,h4l_wd1e3,2021,96,0.1615957382891049,0.24726804647895934,True,c7d6f903e0e0764496f0225746bd5e7f5df2b8fd769929bcfd0482a2965fdcbf
H4L,ETTm2,ETTm2__h4l_wd1e3,h4l_wd1e3,2021,192,0.21793869175189126,0.2853946737403529,True,c7d6f903e0e0764496f0225746bd5e7f5df2b8fd769929bcfd0482a2965fdcbf
H4L,ETTm2,ETTm2__h4l_wd1e3,h4l_wd1e3,2021,336,0.27067875651822926,0.32022568663495876,True,c7d6f903e0e0764496f0225746bd5e7f5df2b8fd769929bcfd0482a2965fdcbf
H4L,ETTm2,ETTm2__h4l_wd1e3,h4l_wd1e3,2021,720,0.3442723440037056,0.37196949655419687,True,c7d6f903e0e0764496f0225746bd5e7f5df2b8fd769929bcfd0482a2965fdcbf
H2,Exchange,Exchange__h2_lookback336,h2_lookback336,2021,96,0.09836130629220965,0.21621975316643105,True,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b
H2,Exchange,Exchange__h2_lookback336,h2_lookback336,2021,192,0.20626730824320605,0.31759870435976684,True,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b
H2,Exchange,Exchange__h2_lookback336,h2_lookback336,2021,336,0.3804623336287274,0.44352822689009147,True,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b
H2,Exchange,Exchange__h2_lookback336,h2_lookback336,2021,720,0.9102533173058753,0.722978127172281,True,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b
H4J,Solar,Solar__h4j_patch4_lr3e4,h4j_patch4_lr3e4,2021,96,0.1715133846977597,0.1973041698281769,True,42172e2eafbcfb90855c0476b6315dece465ede82eb88f626e0f87a7a927c9a4
H4J,Solar,Solar__h4j_patch4_lr3e4,h4j_patch4_lr3e4,2021,192,0.18678586578246154,0.2087816075478677,True,42172e2eafbcfb90855c0476b6315dece465ede82eb88f626e0f87a7a927c9a4
H4J,Solar,Solar__h4j_patch4_lr3e4,h4j_patch4_lr3e4,2021,336,0.19663841182892042,0.21583663495407304,True,42172e2eafbcfb90855c0476b6315dece465ede82eb88f626e0f87a7a927c9a4
H4J,Solar,Solar__h4j_patch4_lr3e4,h4j_patch4_lr3e4,2021,720,0.20700046588501658,0.22124526147340637,True,42172e2eafbcfb90855c0476b6315dece465ede82eb88f626e0f87a7a927c9a4
H4K,Weather,Weather__h4k_current_lr5e5_patch24_dropout0,h4k_current_lr5e5_patch24_dropout0,2021,96,0.14237342537097258,0.18426176104117883,True,3437c620b9587c45175898e09de7fb491c6bf12cf2170c0e3ae35a3bcb90ddd0
H4K,Weather,Weather__h4k_current_lr5e5_patch24_dropout0,h4k_current_lr5e5_patch24_dropout0,2021,192,0.18402621582302062,0.22603439744123185,True,3437c620b9587c45175898e09de7fb491c6bf12cf2170c0e3ae35a3bcb90ddd0
H4K,Weather,Weather__h4k_current_lr5e5_patch24_dropout0,h4k_current_lr5e5_patch24_dropout0,2021,336,0.23374791428466246,0.2660873543690469,True,3437c620b9587c45175898e09de7fb491c6bf12cf2170c0e3ae35a3bcb90ddd0
H4K,Weather,Weather__h4k_current_lr5e5_patch24_dropout0,h4k_current_lr5e5_patch24_dropout0,2021,720,0.30597329047539656,0.3168256075336869,True,3437c620b9587c45175898e09de7fb491c6bf12cf2170c0e3ae35a3bcb90ddd0
