effect,aggregation_axis,group,macro_mse_gain_percent,macro_mae_gain_percent,cell_wins,cells
ordered_over_q1_width,dataset,ETTm2,-13.687982907942489,-9.189587389314369,1,4
ordered_over_q1_width,dataset,Weather,-0.260013873865822,-0.25765746473496165,0,4
ordered_over_q1_width,horizon,96,-5.983759943907201,-3.255555514345059,2,5
ordered_over_q1_width,horizon,192,-2.2194829919352843,-1.4200053583686922,3,5
ordered_over_q1_width,horizon,336,-0.725274658300088,-0.5830668278104079,3,5
ordered_over_q1_width,horizon,720,0.4955754105148391,-0.02498501326031688,3,5
ordered_over_independent,dataset,ETTh1,-1.6566969659215447,-1.099506376543402,0,4
ordered_over_independent,dataset,ETTh2,1.1120496270400126,0.29039398420874774,3,4
ordered_over_independent,dataset,ETTm1,1.239983596874164,0.966908997653898,4,4
ordered_over_independent,dataset,ETTm2,-16.371888048527826,-10.566206758864993,0,4
ordered_over_independent,dataset,Weather,-0.2016062472412955,-0.9346065698521477,1,4
ordered_over_independent,horizon,96,-7.79684549908965,-4.671701506136941,2,5
ordered_over_independent,horizon,192,-3.4481591093236212,-2.6024930638435517,2,5
ordered_over_independent,horizon,336,-1.581433573754949,-1.4878980878218329,2,5
ordered_over_independent,horizon,720,0.12391175194702786,-0.31232072091599283,2,5
ordered_over_dense,dataset,ETTh1,6.539213490526108,2.887259100915243,4,4
ordered_over_dense,dataset,ETTh2,12.256764808179629,5.389489422702224,4,4
ordered_over_dense,dataset,ETTm1,3.827003319846667,1.43517239856287,4,4
ordered_over_dense,dataset,ETTm2,-14.908446398942221,-9.988707026061782,1,4
ordered_over_dense,dataset,Weather,1.0756012982432255,0.44296004814609047,3,4
ordered_over_dense,horizon,96,-1.5370437203673062,-1.8121236240662881,4,5
ordered_over_dense,horizon,192,2.0796075861164525,0.16111634658568139,4,5
ordered_over_dense,horizon,336,2.8985130510347883,0.8274931928962914,4,5
ordered_over_dense,horizon,720,3.591032297498793,0.9564532399960314,4,5
transport_over_pointwise,dataset,ETTh1,0.7334187959284588,0.4710740674833097,4,4
transport_over_pointwise,dataset,ETTh2,1.2739382654787108,0.5694186044475968,4,4
transport_over_pointwise,dataset,ETTm1,0.5342738214429016,0.5056794441015366,4,4
transport_over_pointwise,dataset,ETTm2,0.28710054371153537,0.12319345111484192,4,4
transport_over_pointwise,dataset,Weather,-0.207467250049731,0.1420574403952185,0,4
transport_over_pointwise,horizon,96,0.5310763200248947,0.3803031701904547,4,5
transport_over_pointwise,horizon,192,0.5924984009744771,0.3647390738983036,4,5
transport_over_pointwise,horizon,336,0.6920112495229858,0.4473802473823252,4,5
transport_over_pointwise,horizon,720,0.2814253706871428,0.2567159145629194,4,5
capability_over_uniform_ot,dataset,ETTh1,0.37874018314239255,0.28756112695590696,4,4
capability_over_uniform_ot,dataset,ETTh2,0.11464328640963806,0.08276926644653626,4,4
capability_over_uniform_ot,dataset,ETTm1,0.06677466720283465,0.06529427249030717,4,4
capability_over_uniform_ot,dataset,ETTm2,0.09763009697643377,0.0774689702467607,4,4
capability_over_uniform_ot,dataset,Weather,0.02284538082842902,0.07948104580264848,4,4
capability_over_uniform_ot,horizon,96,0.201676683231935,0.1822859056778081,5,5
capability_over_uniform_ot,horizon,192,0.13610677042367847,0.11983429604951246,5,5
capability_over_uniform_ot,horizon,336,0.1264780555225009,0.1020529199707787,5,5
capability_over_uniform_ot,horizon,720,0.08024538246966806,0.06988662385562838,5,5
