dataset,arm,horizon,mse,mae
ETTh1,pcsd_pointwise_mcca,336,1.2854267140584332,0.7815736628004483
ETTh1,pcsd_pointwise_mcca,720,1.4248510123127036,0.8357871843708886
ETTh1,pcsd_uniform_balanced_ot,96,0.8371500240949293,0.6299517164006829
ETTh1,pcsd_uniform_balanced_ot,192,1.0779625999275595,0.7108412818051875
ETTh1,pcsd_uniform_balanced_ot,336,1.2810317882381024,0.7797503956549224
ETTh1,pcsd_uniform_balanced_ot,720,1.4204736476764084,0.8336969832993216
ETTh1,a6,96,0.8188300660500923,0.6131264179324111
ETTh1,a6,192,1.0564278609429796,0.6950934776104987
ETTh1,a6,336,1.2625895059179693,0.7666753586381674
ETTh1,a6,720,1.4085524039963881,0.8232658363464805
ETTh1,pcsd_direct,96,0.8174126095448931,0.614736977343758
ETTh1,pcsd_direct,192,1.07015103334561,0.7032333016395569
ETTh1,pcsd_direct,336,1.2820757580477566,0.7789215032188666
ETTh1,pcsd_direct,720,1.4144875179976224,0.8300801897214518
ETTh1,dense_matched,96,0.8696910313641032,0.6311231376603246
ETTh1,dense_matched,192,1.1113963560201228,0.7163168581513067
ETTh1,dense_matched,336,1.3158495616877364,0.7882659173614922
ETTh1,dense_matched,720,1.4364184486783214,0.8356538194335169
ETTh1,equal_skill,96,0.8275261530652642,0.6246016370132565
ETTh1,equal_skill,192,1.0685308120834331,0.7066723693472644
ETTh1,equal_skill,336,1.2716622025306736,0.7757805537077642
ETTh1,equal_skill,720,1.4157541905426316,0.8314866073843505
ETTh1,pcc_transport_full,96,0.8290099844646951,0.6254555784786741
ETTh1,pcc_transport_full,192,1.0711684938675414,0.7076427425878743
ETTh1,pcc_transport_full,336,1.2742274359666876,0.7766717600503138
ETTh1,pcc_transport_full,720,1.4160071355808113,0.831698671521412
ETTh2,pcsd_mcca,96,0.23271185454602042,0.3396934786190589
ETTh2,pcsd_mcca,192,0.3181846218649298,0.3921903211933871
ETTh2,pcsd_mcca,336,0.4245715317360702,0.4518191514625436
ETTh2,pcsd_mcca,720,0.6448194549522466,0.5593240795864
ETTh2,siff_equal,96,0.2335388882396122,0.33788216471051175
ETTh2,siff_equal,192,0.31558644080845016,0.38866937152730924
ETTh2,siff_equal,336,0.41488008116859765,0.44556584905478214
ETTh2,siff_equal,720,0.623416090860135,0.5482403975600998
ETTh2,siff_pcc,96,0.23210892135587832,0.33640367972354096
ETTh2,siff_pcc,192,0.31421845433457446,0.3871938535012305
ETTh2,siff_pcc,336,0.4137519395555414,0.44433735284422127
ETTh2,siff_pcc,720,0.6224291123346322,0.5472075460271703
ETTh2,siff_mcca,96,0.2321450679252545,0.33657957101240754
ETTh2,siff_mcca,192,0.31461085146293044,0.3877359295729548
ETTh2,siff_mcca,336,0.4151373011547895,0.4455224673396775
ETTh2,siff_mcca,720,0.6240660453422202,0.5481714341582523
ETTh2,siff_const_mcca,96,0.23655079196517667,0.3406755624649425
ETTh2,siff_const_mcca,192,0.31872988779408234,0.39099767594598234
ETTh2,siff_const_mcca,336,0.4184458492146361,0.44785933946037576
ETTh2,siff_const_mcca,720,0.624679074374338,0.5490533851294054
ETTh2,siff_permuted_mcca,96,0.23429674368041256,0.3375819839226703
ETTh2,siff_permuted_mcca,192,0.3184574165303881,0.3893974000432839
ETTh2,siff_permuted_mcca,336,0.42120416726296145,0.44832926168150844
ETTh2,siff_permuted_mcca,720,0.6273950917749769,0.550008212423159
ETTh2,pcsd_q1_wide_mcca,96,0.2358692007449766,0.34373706315333646
ETTh2,pcsd_q1_wide_mcca,192,0.3171834561508149,0.39547770260833204
ETTh2,pcsd_q1_wide_mcca,336,0.41698899523665506,0.451267592121093
ETTh2,pcsd_q1_wide_mcca,720,0.6355581193127566,0.5562785571027133
ETTh2,independent_scope_matched_mcca,96,0.2315524444760134,0.33497486015160877
ETTh2,independent_scope_matched_mcca,192,0.3167534677389388,0.38747361581772566
ETTh2,independent_scope_matched_mcca,336,0.4216140879628559,0.44734090176366625
ETTh2,independent_scope_matched_mcca,720,0.6400120394200914,0.5554018214344978
ETTh2,dense_siff_matched,96,0.27082930722584325,0.35975836652020615
ETTh2,dense_siff_matched,192,0.36059854412451386,0.40942002832889557
ETTh2,dense_siff_matched,336,0.4680218578626712,0.46757184465726215
ETTh2,dense_siff_matched,720,0.698769296747115,0.5776492370499505
ETTh2,pcsd_pointwise_mcca,96,0.234691965005671,0.3412075735007723
ETTh2,pcsd_pointwise_mcca,192,0.3236915428424254,0.39494133011127514
ETTh2,pcsd_pointwise_mcca,336,0.43413485194157275,0.45644359361557735
ETTh2,pcsd_pointwise_mcca,720,0.6470707095228135,0.5600197392205397
ETTh2,pcsd_uniform_balanced_ot,96,0.23279284522868693,0.3401112703916927
ETTh2,pcsd_uniform_balanced_ot,192,0.3184595910133794,0.39242148903819424
ETTh2,pcsd_uniform_balanced_ot,336,0.4254437926047969,0.4521658999313201
ETTh2,pcsd_uniform_balanced_ot,720,0.6456744247737031,0.5597306856885552
ETTh2,a6,96,0.2547264175179104,0.35235813399776816
ETTh2,a6,192,0.3292483394810309,0.39534305323225755
ETTh2,a6,336,0.4267033190865602,0.4497576748420085
ETTh2,a6,720,0.6463289392284222,0.5578593726166421
ETTh2,pcsd_direct,96,0.2706197447453936,0.36517858939866227
ETTh2,pcsd_direct,192,0.34301607465992373,0.4065212338852386
ETTh2,pcsd_direct,336,0.4394512168530907,0.4602090136281082
ETTh2,pcsd_direct,720,0.6487552559624116,0.561301284780105
ETTh2,dense_matched,96,0.2810558377144237,0.36885188054293394
ETTh2,dense_matched,192,0.3603892699660112,0.41288576864947873
ETTh2,dense_matched,336,0.4656078459340192,0.46991507221190704
ETTh2,dense_matched,720,0.6978612454608083,0.5787337837533818
ETTh2,equal_skill,96,0.23453745315782726,0.34140391601249576
ETTh2,equal_skill,192,0.3206351379631087,0.3938325335426877
ETTh2,equal_skill,336,0.4281704387893634,0.45364749276389676
ETTh2,equal_skill,720,0.646336158996241,0.5601614768513374
ETTh2,pcc_transport_full,96,0.2327384448144585,0.33933344048758346
ETTh2,pcc_transport_full,192,0.3184641343153392,0.3919698395766318
ETTh2,pcc_transport_full,336,0.42527228839961545,0.4517110985304628
ETTh2,pcc_transport_full,720,0.6433954302531978,0.558293252852228
ETTm1,pcsd_mcca,96,0.3834685613401234,0.4066753489896655
ETTm1,pcsd_mcca,192,0.5076735990587622,0.4669449340241651
ETTm1,pcsd_mcca,336,0.6557775268863354,0.5286069843208506
ETTm1,pcsd_mcca,720,0.9457805925566289,0.6323121505892939
ETTm1,siff_equal,96,0.38561187335290015,0.4067567582242191
ETTm1,siff_equal,192,0.5109997621038929,0.46813865603568655
ETTm1,siff_equal,336,0.6640839021253798,0.5324269689708239
ETTm1,siff_equal,720,0.9488942882977426,0.6358720666211513
ETTm1,siff_pcc,96,0.38709381703908247,0.4080366147682071
ETTm1,siff_pcc,192,0.5108753296080977,0.46843200114866096
ETTm1,siff_pcc,336,0.6626661685517147,0.5320603870564983
ETTm1,siff_pcc,720,0.9469308564025495,0.6351626689235369
ETTm1,siff_mcca,96,0.3853069291605304,0.4066907209344208
ETTm1,siff_mcca,192,0.5084987692146873,0.46689306083135307
ETTm1,siff_mcca,336,0.6602951616181859,0.5307171354070306
ETTm1,siff_mcca,720,0.9474290501636763,0.6346064120738043
ETTm1,siff_const_mcca,96,0.3898185630484174,0.41094640068088967
ETTm1,siff_const_mcca,192,0.5129265901244556,0.47023255897996324
ETTm1,siff_const_mcca,336,0.6638759804579119,0.5332383101451255
ETTm1,siff_const_mcca,720,0.9492695662193,0.6360518417217665
ETTm1,siff_permuted_mcca,96,0.38725233268147957,0.4082299373112619
ETTm1,siff_permuted_mcca,192,0.5113858999878479,0.4683469326701015
ETTm1,siff_permuted_mcca,336,0.6644255976702663,0.5323645198008135
ETTm1,siff_permuted_mcca,720,0.9513203329561899,0.6356263334759408
ETTm1,pcsd_q1_wide_mcca,96,0.3980848097708076,0.4177510353426139
ETTm1,pcsd_q1_wide_mcca,192,0.5204138261033222,0.47482015782346326
ETTm1,pcsd_q1_wide_mcca,336,0.6714217263007802,0.5368554973531336
ETTm1,pcsd_q1_wide_mcca,720,0.9531335227708849,0.6378604758116934
ETTm1,independent_scope_matched_mcca,96,0.3916083397343755,0.4131958782672882
ETTm1,independent_scope_matched_mcca,192,0.5171835658450922,0.4727839281161626
ETTm1,independent_scope_matched_mcca,336,0.6676089884269805,0.5344461649656296
ETTm1,independent_scope_matched_mcca,720,0.952918337037166,0.6368324676321613
ETTm1,dense_siff_matched,96,0.4074710848896454,0.4159981411260863
ETTm1,dense_siff_matched,192,0.5325370831027006,0.4755480613093823
ETTm1,dense_siff_matched,336,0.6793698740990034,0.536414630223243
ETTm1,dense_siff_matched,720,0.9721901612873707,0.6385730345423023
ETTm1,pcsd_pointwise_mcca,96,0.38584644300863147,0.40917397787173587
ETTm1,pcsd_pointwise_mcca,192,0.5101199961112192,0.46912042470648885
ETTm1,pcsd_pointwise_mcca,336,0.6594411513014209,0.5312569355148644
ETTm1,pcsd_pointwise_mcca,720,0.9503964849851197,0.6351673534760872
ETTm1,pcsd_uniform_balanced_ot,96,0.38399402354843915,0.40714920156945783
ETTm1,pcsd_uniform_balanced_ot,192,0.5080351971943552,0.46727909582356614
ETTm1,pcsd_uniform_balanced_ot,336,0.6560543032052616,0.5288419767859436
ETTm1,pcsd_uniform_balanced_ot,720,0.9459403959309889,0.6324946032630072
ETTm1,a6,96,0.408873182721436,0.4214349150036772
ETTm1,a6,192,0.5305366207224628,0.4795608543790877
ETTm1,a6,336,0.676602384430312,0.5390593309310221
ETTm1,a6,720,0.9540847590814034,0.6391648210171196
ETTm1,pcsd_direct,96,0.42691384302452207,0.43134497323383886
ETTm1,pcsd_direct,192,0.5467493856170526,0.48742516168082756
ETTm1,pcsd_direct,336,0.6920874499760213,0.5463897051023585
ETTm1,pcsd_direct,720,0.9697331401829918,0.6448724376244678
ETTm1,dense_matched,96,0.419794915864865,0.424699030816555
ETTm1,dense_matched,192,0.5445526499922076,0.482922722119838
ETTm1,dense_matched,336,0.6900744214653969,0.542528635600493
ETTm1,dense_matched,720,0.9826027047302988,0.6432306565758255
ETTm1,equal_skill,96,0.38311266565384966,0.40610762561360997
ETTm1,equal_skill,192,0.5065085644600913,0.46581262117251754
ETTm1,equal_skill,336,0.6557236167690939,0.5282134247855061
ETTm1,equal_skill,720,0.9452206445754402,0.6325075712054968
ETTm1,pcc_transport_full,96,0.38309257562893134,0.40631253908698756
ETTm1,pcc_transport_full,192,0.5067622433028495,0.46629920438863337
ETTm1,pcc_transport_full,336,0.6549593177180559,0.5280801811299863
ETTm1,pcc_transport_full,720,0.9449986780165798,0.6318066959372826
ETTm2,pcsd_mcca,96,0.11573573908147712,0.23218963978191218
ETTm2,pcsd_mcca,192,0.155231538733157,0.2679514231470724
ETTm2,pcsd_mcca,336,0.20005103681857386,0.3022554175307353
ETTm2,pcsd_mcca,720,0.27921602416576613,0.35317882175246873
ETTm2,siff_equal,96,0.1573150628246367,0.2806879252505799
ETTm2,siff_equal,192,0.17812596160608032,0.2954133495222777
ETTm2,siff_equal,336,0.21168896178936675,0.31868925287077826
ETTm2,siff_equal,720,0.27689436684466073,0.35916488690094817
ETTm2,siff_pcc,96,0.1546123318063716,0.2773115468832354
ETTm2,siff_pcc,192,0.17723372019827366,0.2940221659373492
ETTm2,siff_pcc,336,0.2116096251688543,0.31819015453081756
ETTm2,siff_pcc,720,0.27730606428037086,0.35926844761189486
ETTm2,siff_mcca,96,0.15760510814531395,0.28150683067118126
ETTm2,siff_mcca,192,0.17872779705794528,0.2965170912599812
ETTm2,siff_mcca,336,0.21231010444240556,0.3194425892350929
ETTm2,siff_mcca,720,0.2775372374544127,0.3600683128875163
ETTm2,siff_const_mcca,96,0.11818828119430691,0.23602027399465442
ETTm2,siff_const_mcca,192,0.15694288488399857,0.2703879806989183
ETTm2,siff_const_mcca,336,0.20241215686491204,0.3045430504051702
ETTm2,siff_const_mcca,720,0.2821183379066901,0.3551718060962028
ETTm2,siff_permuted_mcca,96,0.1701235092865924,0.294282762799412
ETTm2,siff_permuted_mcca,192,0.18563834562276801,0.3034987793459247
ETTm2,siff_permuted_mcca,336,0.2175350882379072,0.3238915415658128
ETTm2,siff_permuted_mcca,720,0.28071869804213445,0.3626921145659354
ETTm2,pcsd_q1_wide_mcca,96,0.11791532890250285,0.2357980809174478
ETTm2,pcsd_q1_wide_mcca,192,0.15582330408506095,0.26927597207638126
ETTm2,pcsd_q1_wide_mcca,336,0.19863883849410785,0.3027070560714319
ETTm2,pcsd_q1_wide_mcca,720,0.2789013918903139,0.3539499516081479
ETTm2,independent_scope_matched_mcca,96,0.11509811168070883,0.23095982250136635
ETTm2,independent_scope_matched_mcca,192,0.15154159032196426,0.26489768460548174
ETTm2,independent_scope_matched_mcca,336,0.19413558621003868,0.2995781547478622
ETTm2,independent_scope_matched_mcca,720,0.27409752543705207,0.3536602142887811
ETTm2,dense_siff_matched,96,0.11471586488187313,0.2314761020243168
ETTm2,dense_siff_matched,192,0.15331045367444554,0.2667168853804469
ETTm2,dense_siff_matched,336,0.19678012813840592,0.30153395022664753
ETTm2,dense_siff_matched,720,0.28385189229415525,0.35569715197715496
ETTm2,pcsd_pointwise_mcca,96,0.11594108519299577,0.23246748450522622
ETTm2,pcsd_pointwise_mcca,192,0.15564627702891207,0.26825224864296615
ETTm2,pcsd_pointwise_mcca,336,0.2007014020456977,0.3026282655607377
ETTm2,pcsd_pointwise_mcca,720,0.28028329097044963,0.3536665559021963
ETTm2,pcsd_uniform_balanced_ot,96,0.1159318844244505,0.23252273242299756
ETTm2,pcsd_uniform_balanced_ot,192,0.15541968318090463,0.26818880493131775
ETTm2,pcsd_uniform_balanced_ot,336,0.20015336450056306,0.3023918123383607
ETTm2,pcsd_uniform_balanced_ot,720,0.27935332590196693,0.353295430354774
ETTm2,a6,96,0.11226977916279186,0.22919831005856395
ETTm2,a6,192,0.15205569904840863,0.26719702570699155
ETTm2,a6,336,0.19879004327092498,0.3043369593630944
ETTm2,a6,720,0.28115178919397293,0.35736764688044786
ETTm2,pcsd_direct,96,0.11764130729716271,0.23429609509184957
ETTm2,pcsd_direct,192,0.15638340670072162,0.2687585447759678
ETTm2,pcsd_direct,336,0.1991715961734631,0.3022112798921409
ETTm2,pcsd_direct,720,0.28982904065503845,0.3561428168374631
ETTm2,dense_matched,96,0.11893217323813587,0.2338817302758495
ETTm2,dense_matched,192,0.1598385491524823,0.27009288826957345
ETTm2,dense_matched,336,0.2028654640695701,0.30501397885382175
ETTm2,dense_matched,720,0.28958459268324077,0.35745126791298387
ETTm2,equal_skill,96,0.11555036817056437,0.23177507519721985
ETTm2,equal_skill,192,0.1549009521258995,0.2675378204633792
ETTm2,equal_skill,336,0.19927762748141373,0.3016219921410084
ETTm2,equal_skill,720,0.27778089869146544,0.35230383036865126
ETTm2,pcc_transport_full,96,0.11560111260041595,0.23205116918931404
ETTm2,pcc_transport_full,192,0.15502588381059468,0.2677462385036051
ETTm2,pcc_transport_full,336,0.19963451550297795,0.30193512194922995
ETTm2,pcc_transport_full,720,0.2785404986184504,0.35272772018280296
Weather,pcsd_mcca,96,0.3947064775663118,0.2508473563939333
Weather,pcsd_mcca,192,0.4462238695317258,0.2902048942632973
Weather,pcsd_mcca,336,0.5060674964583346,0.33490141082022873
Weather,pcsd_mcca,720,0.5888220781874326,0.38797602756983707
Weather,siff_equal,96,0.396991145486633,0.2579803140833974
Weather,siff_equal,192,0.451969994387279,0.2988266432657838
Weather,siff_equal,336,0.5126889153782811,0.3433905567619063
Weather,siff_equal,720,0.5943726208888822,0.3953280484510793
Weather,siff_pcc,96,0.3949614081842204,0.2512942977094402
Weather,siff_pcc,192,0.4484926431905478,0.2931994607594485
Weather,siff_pcc,336,0.5093329409137368,0.3383702668361366
Weather,siff_pcc,720,0.5900374377146363,0.38963150534157953
Weather,siff_mcca,96,0.3947732939074437,0.25157410255633295
Weather,siff_mcca,192,0.44779881245146197,0.29295630694832653
Weather,siff_mcca,336,0.5089742143948873,0.3383775261408162
Weather,siff_mcca,720,0.5903671332531505,0.39000405446729725
Weather,siff_const_mcca,96,0.3959630757259826,0.25228052275876206
Weather,siff_const_mcca,192,0.45001291926018894,0.2949768624578913
Weather,siff_const_mcca,336,0.5102987571929892,0.33955404676851775
Weather,siff_const_mcca,720,0.5897360973267092,0.3901616288142072
Weather,siff_permuted_mcca,96,0.39571595812837285,0.252003684019049
Weather,siff_permuted_mcca,192,0.4495229166932404,0.2940372604255875
Weather,siff_permuted_mcca,336,0.5106748481768937,0.3398440560946862
Weather,siff_permuted_mcca,720,0.5914628492047389,0.3911982604198986
Weather,pcsd_q1_wide_mcca,96,0.39345746596033376,0.25144604958283406
Weather,pcsd_q1_wide_mcca,192,0.4463308645257105,0.2914177003549412
Weather,pcsd_q1_wide_mcca,336,0.5077571524307132,0.3370320251255873
Weather,pcsd_q1_wide_mcca,720,0.5895591867259807,0.3897993716825214
Weather,independent_scope_matched_mcca,96,0.39488884232317406,0.2504206554343303
Weather,independent_scope_matched_mcca,192,0.4474495865870267,0.28979014822592336
Weather,independent_scope_matched_mcca,336,0.5063208355346606,0.33374468822564396
Weather,independent_scope_matched_mcca,720,0.5889913260729777,0.3869198595898019
Weather,dense_siff_matched,96,0.4042511802787582,0.2550986340890328
Weather,dense_siff_matched,192,0.45480300299823284,0.29584358803307015
Weather,dense_siff_matched,336,0.5121571476615611,0.33926408445196493
Weather,dense_siff_matched,720,0.5891671540008651,0.3867282297462225
Weather,pcsd_pointwise_mcca,96,0.39424288909261423,0.25120638551500934
Weather,pcsd_pointwise_mcca,192,0.44551947301564115,0.2905398547882214
Weather,pcsd_pointwise_mcca,336,0.504691259092873,0.3353126476341415
Weather,pcsd_pointwise_mcca,720,0.587169292382896,0.388704366185185
Weather,pcsd_uniform_balanced_ot,96,0.3947680840889613,0.2509894360943387
Weather,pcsd_uniform_balanced_ot,192,0.44629495792711776,0.29044753371272236
Weather,pcsd_uniform_balanced_ot,336,0.506192077572147,0.3352287408807093
Weather,pcsd_uniform_balanced_ot,720,0.5890296273347404,0.3882871725389527
Weather,a6,96,0.40138302246729535,0.2600698842822264
Weather,a6,192,0.45435843694334227,0.29794638553479064
Weather,a6,336,0.5130039587439525,0.3402720250499745
Weather,a6,720,0.5898309545798435,0.3875111889404555
Weather,pcsd_direct,96,0.40319278339544934,0.25825117039494216
Weather,pcsd_direct,192,0.4543944780404369,0.2979103021401291
Weather,pcsd_direct,336,0.5122346734361989,0.34117484547286514
Weather,pcsd_direct,720,0.5926343293653594,0.3907138041427566
Weather,dense_matched,96,0.41534484705577296,0.2654262239423891
Weather,dense_matched,192,0.4621201084616284,0.30199705087579787
Weather,dense_matched,336,0.5190647036014568,0.34412051936877625
Weather,dense_matched,720,0.5955459751602676,0.3913160105753276
Weather,equal_skill,96,0.3947641539076964,0.25214144377969205
Weather,equal_skill,192,0.4472794664713244,0.29183606791775674
Weather,equal_skill,336,0.5073922110632771,0.3373846113903537
Weather,equal_skill,720,0.589358494306604,0.38931231706713637
Weather,pcc_transport_full,96,0.3942823537314932,0.2506703370405982
Weather,pcc_transport_full,192,0.446063748250405,0.28998002561274916
Weather,pcc_transport_full,336,0.5057438620853991,0.33465131919919733
Weather,pcc_transport_full,720,0.588610130134556,0.3879088326357305
