dataset,checkpoint_seed,candidate_family,control_family,horizon,mse_log_effect,mse_reduction,mae_log_effect,mae_reduction
ETTh1,2021,block_dct2_b144,dct2,512,-0.019103087723716664,-0.019286719149265608,-0.01025782670011707,-0.01031061855992954
ETTh1,2021,block_dct2_b144,dct2,720,-0.02498898997531844,-0.02530383184178997,-0.013875222722118871,-0.013971930387390863
ETTh1,2021,block_dct2_b144,pca_fit,48,-0.004662877516743229,-0.004673765646872274,-0.006466955806554275,-0.0064879117145446585
ETTh1,2021,block_dct2_b144,pca_fit,96,-0.017604848253551023,-0.017760726991513875,-0.014013812960545236,-0.014112466737238982
ETTh1,2021,block_dct2_b144,pca_fit,144,-0.021506557925815507,-0.02173949080719484,-0.014749432463888521,-0.01485874210005722
ETTh1,2021,block_dct2_b144,pca_fit,192,-0.024366749283269862,-0.02466604452509369,-0.016963224071580216,-0.01710791654949473
ETTh1,2021,block_dct2_b144,pca_fit,288,-0.0321131649222308,-0.03263435667992187,-0.021313864782014462,-0.0215426275802717
ETTh1,2021,block_dct2_b144,pca_fit,336,-0.036971104695888206,-0.03766303681594607,-0.02362822429082089,-0.02390958240976948
ETTh1,2021,block_dct2_b144,pca_fit,512,-0.0427948912582833,-0.04372379602009091,-0.02563526068111253,-0.025966669836166467
ETTh1,2021,block_dct2_b144,pca_fit,720,-0.04405296139462067,-0.045037700076878906,-0.025358634037322796,-0.02568289937069501
ETTh1,2021,block_pca_fit_b16,balanced_interval,48,-6.978288996635212e-05,-6.97853248488034e-05,-0.004352639499306596,-0.004362125993381261
ETTh1,2021,block_pca_fit_b16,balanced_interval,96,-0.008131271931014145,-0.008164420508407488,-0.005469059574639573,-0.005484042182093196
ETTh1,2021,block_pca_fit_b16,balanced_interval,144,-0.003787444725934454,-0.0037946261582741947,-0.001732094667474132,-0.0017335956099089334
ETTh1,2021,block_pca_fit_b16,balanced_interval,192,-0.007766114278388028,-0.007796348761351046,-0.0025848804685116235,-0.0025882241524168847
ETTh1,2021,block_pca_fit_b16,balanced_interval,288,-0.011645860626776356,-0.01171393767691975,-0.002864737503944844,-0.0028688447855862442
ETTh1,2021,block_pca_fit_b16,balanced_interval,336,-0.012935620210522756,-0.013019647268776247,-0.002694548873319157,-0.0026981824330030157
ETTh1,2021,block_pca_fit_b16,balanced_interval,512,-0.03219162282392507,-0.03271537818311132,-0.013358192466295183,-0.01344781172510312
ETTh1,2021,block_pca_fit_b16,balanced_interval,720,-0.04395982657463016,-0.04494037521103622,-0.02145854061807969,-0.021690430805513028
ETTh1,2021,block_pca_fit_b16,dct2,48,0.012487615783976232,0.01240996905356484,0.0052273166107574135,0.00521367796613581
ETTh1,2021,block_pca_fit_b16,dct2,96,-0.0088385161909463,-0.00887769120645232,-0.005341960752132087,-0.0053562544652878685
ETTh1,2021,block_pca_fit_b16,dct2,144,-0.013091711911384267,-0.0131777835700857,-0.006228413168473459,-0.0062478500664955305
ETTh1,2021,block_pca_fit_b16,dct2,192,-0.016367141415061702,-0.016501816821346216,-0.007058645861976187,-0.007083616821822902
ETTh1,2021,block_pca_fit_b16,dct2,288,-0.02292318976515091,-0.02318794522246459,-0.009287736343006253,-0.009331001206676293
ETTh1,2021,block_pca_fit_b16,dct2,336,-0.024424012864404317,-0.024724722252302378,-0.009785025502989441,-0.009833055395117807
ETTh1,2021,block_pca_fit_b16,dct2,512,-0.04186449956069137,-0.04275317566427139,-0.018798931628101805,-0.018976744023258885
ETTh1,2021,block_pca_fit_b16,dct2,720,-0.053323869028341284,-0.05477119753011328,-0.026309394348892,-0.026658541691176207
ETTh1,2021,block_pca_fit_b16,pca_fit,48,-0.013974326838325354,-0.014072424159000896,-0.013228183845576353,-0.013316063337329043
ETTh1,2021,block_pca_fit_b16,pca_fit,96,-0.033972740611873734,-0.034556404969156684,-0.022654758929909643,-0.022913326887383123
ETTh1,2021,block_pca_fit_b16,pca_fit,144,-0.03784154927154103,-0.03856665819680849,-0.0237253144524769,-0.02400899878274454
ETTh1,2021,block_pca_fit_b16,pca_fit,192,-0.042634765242729536,-0.04355668206729835,-0.025238000219430838,-0.025559174789431705
ETTh1,2021,block_pca_fit_b16,pca_fit,288,-0.04941078818507494,-0.05065185747470369,-0.027525091478373512,-0.027907406500139453
ETTh1,2021,block_pca_fit_b16,pca_fit,336,-0.051522116874118486,-0.05287247228255798,-0.02812775824212461,-0.028527078839456488
ETTh1,2021,block_pca_fit_b16,pca_fit,512,-0.0655563030952579,-0.06775285341173842,-0.0341763656090973,-0.03476708796368033
ETTh1,2021,block_pca_fit_b16,pca_fit,720,-0.07238784044764339,-0.07507221970891065,-0.03779280566409594,-0.03851603594508135
ETTh1,2021,block_pca_fit_b32,balanced_interval,48,0.01294839682264702,0.012864926987760872,0.0016755649056368973,0.0016741619304617705
ETTh1,2021,block_pca_fit_b32,balanced_interval,96,-0.005394132091501288,-0.005408706615864123,-0.0026505617664261834,-0.002654077610899641
