candidate_family,control_family,dataset,mse_reduction,mae_reduction,positive_checkpoints
block_pca_fit_b144,pca_fit,ETTh1,-0.0313043432579545,-0.019539585467410303,0
block_pca_fit_b144,pca_fit,ETTh2,-0.025331145455705695,-0.01418989807993598,0
block_pca_fit_b144,pca_fit,ETTm1,-0.006598780980092478,-0.0055655278115178675,0
block_pca_fit_b144,pca_fit,ETTm2,-0.02519232059935672,-0.016364800604327323,0
block_pca_fit_b144,pca_fit,Weather,-0.0018609266481637299,-0.0020759469535103214,0
block_pca_fit_b16,balanced_interval,ETTh1,-0.012247842864146152,-0.009411900401194773,0
block_pca_fit_b16,balanced_interval,ETTh2,-0.03567004978447996,-0.020164028513497634,0
block_pca_fit_b16,balanced_interval,ETTm1,-0.005298639681750927,-0.002184393148791708,0
block_pca_fit_b16,balanced_interval,ETTm2,-0.016023605502977656,-0.015061322883361594,1
block_pca_fit_b16,balanced_interval,Weather,-0.008539830650052593,-0.011126030470871351,0
block_pca_fit_b16,dct2,ETTh1,-0.01581215886808285,-0.010733389180255237,0
block_pca_fit_b16,dct2,ETTh2,-0.05159515969210959,-0.027864434160881357,0
block_pca_fit_b16,dct2,ETTm1,-0.02307250995371768,-0.012827297561064599,0
block_pca_fit_b16,dct2,ETTm2,-0.022260584683980067,-0.021647911330733738,0
block_pca_fit_b16,dct2,Weather,-0.008986316204739442,-0.010323841115519539,0
block_pca_fit_b16,pca_fit,ETTh1,-0.032993429067029734,-0.022707909968033846,0
block_pca_fit_b16,pca_fit,ETTh2,-0.06348656982053957,-0.03471774750486922,0
block_pca_fit_b16,pca_fit,ETTm1,-0.019414276914675677,-0.013700784595133353,0
block_pca_fit_b16,pca_fit,ETTm2,-0.0379914954572147,-0.02654008741390146,0
block_pca_fit_b16,pca_fit,Weather,-0.0010670537665771196,-0.0034301188841090458,2
block_pca_fit_b32,balanced_interval,ETTh1,-0.0043109638107792225,-0.004295304267927236,0
block_pca_fit_b32,balanced_interval,ETTh2,-0.01991144842871928,-0.010328729098642686,0
block_pca_fit_b32,balanced_interval,ETTm1,-0.0026938576223882738,-0.0003386520455304076,0
block_pca_fit_b32,balanced_interval,ETTm2,0.00559677737061115,-0.002757962722561569,2
block_pca_fit_b32,balanced_interval,Weather,-0.002609495054903821,-0.006175451290285849,1
block_pca_fit_b32,dct2,ETTh1,-0.007847332563229337,-0.005610094568027524,0
block_pca_fit_b32,dct2,ETTh2,-0.03559424423386681,-0.017954895904976453,0
block_pca_fit_b32,dct2,ETTm1,-0.020421674854409932,-0.01096195522846255,0
block_pca_fit_b32,dct2,ETTm2,-0.0005074825732223065,-0.009264716417025642,2
block_pca_fit_b32,dct2,Weather,-0.003053355220788756,-0.005377189538221749,0
block_pca_fit_b32,pca_fit,ETTh1,-0.024893887075189802,-0.01752391784794427,0
block_pca_fit_b32,pca_fit,ETTh2,-0.04730471643538592,-0.02474213714012885,0
block_pca_fit_b32,pca_fit,ETTm1,-0.016772920491070042,-0.011833833545679573,0
block_pca_fit_b32,pca_fit,ETTm2,-0.015903648846402607,-0.014097595388812945,0
block_pca_fit_b32,pca_fit,Weather,0.0048193410010506366,0.001482780305526732,3
block_pca_fit_b48,balanced_interval,ETTh1,-0.002701152469420931,-0.004384395966533727,0
block_pca_fit_b48,balanced_interval,ETTh2,-0.008466501072388555,-0.0029880634119836547,0
block_pca_fit_b48,balanced_interval,ETTm1,0.001550763171983327,0.0017290488211161303,2
block_pca_fit_b48,balanced_interval,ETTm2,0.010835222167090763,0.00398262887252443,3
block_pca_fit_b48,balanced_interval,Weather,-0.0069965008927717065,-0.0083106128437902,0
block_pca_fit_b48,dct2,ETTh1,-0.006231852771829027,-0.005699302902548498,0
block_pca_fit_b48,dct2,ETTh2,-0.023973312214685016,-0.010558821380199923,0
block_pca_fit_b48,dct2,ETTm1,-0.016102008360805442,-0.008872295984867273,0
block_pca_fit_b48,dct2,ETTm2,0.004763119026464868,-0.0024803860824882396,2
block_pca_fit_b48,dct2,Weather,-0.007442303207767065,-0.0075106571348715345,0
block_pca_fit_b48,pca_fit,ETTh1,-0.023251083339539846,-0.0176141830655836,0
block_pca_fit_b48,pca_fit,ETTh2,-0.03555237522566035,-0.01729674909252843,0
block_pca_fit_b48,pca_fit,ETTm1,-0.01246869996686728,-0.009742372128841659,0
block_pca_fit_b48,pca_fit,ETTm2,-0.010551941347957117,-0.007280778188462955,0
block_pca_fit_b48,pca_fit,Weather,0.0004648406873243305,-0.0006361300448198826,2
