dataset,checkpoint_seed,family,structure_seed_count,mean_val_mse_h48,mean_val_mae_h48,mean_val_mse_h96,mean_val_mae_h96,mean_val_mse_h144,mean_val_mae_h144,mean_val_mse_h192,mean_val_mae_h192,mean_val_mse_h288,mean_val_mae_h288,mean_val_mse_h336,mean_val_mae_h336,mean_val_mse_h512,mean_val_mae_h512,mean_val_mse_h720,mean_val_mae_h720,mean_horizon_log_mse,mean_horizon_log_mae
ETTm1,2023,block_dct2_b16,3,0.41567655609937115,0.4409638652862805,0.4726392643625969,0.4711042897084428,0.5464067920762188,0.5057397487524874,0.6107667558952535,0.5329987858400781,0.7163873352273885,0.5728013509369998,0.7629192038025833,0.5895413147420828,0.9077312141877627,0.6370195802397745,1.0276803547648448,0.6796085725599708,-0.42479281982014816,-0.6006571600859222
ETTm1,2023,block_dct2_b32,3,0.4114642110582565,0.44006451454972495,0.4640159945746387,0.46705929139775587,0.541615860024544,0.5033384835789949,0.6056348823007769,0.5305283796531213,0.7146986804580896,0.5717419588134,0.7610101131089252,0.5882343193563279,0.9058438915665409,0.6359751961483704,1.0261551668879005,0.6785643415135464,-0.43157724372157646,-0.6040720434567736
ETTm1,2023,block_dct2_b48,3,0.41890286926853526,0.44251817490448236,0.47101559118195263,0.47027622660897417,0.5463685860390032,0.505320973820809,0.6106555755265933,0.5328978441007147,0.7145679743811892,0.5721746439829757,0.7626637016309803,0.5892848956508223,0.9061313946416365,0.6366322095096605,1.033766888324253,0.6813053591729125,-0.4241301050198348,-0.6005200191832257
ETTm1,2023,block_dct2_b96,3,0.4148094005310481,0.44097862010342337,0.4695795726263276,0.46987054284031377,0.5436003195360488,0.5040364628013416,0.6089078147839689,0.5313177235392663,0.7183297446401248,0.5728872300474683,0.7660545207605843,0.589938563305498,0.9063070819139852,0.6365640786016372,1.0302690097853748,0.6801674066840725,-0.4259210870108687,-0.6016810606214436
ETTm1,2023,block_pca_fit_b144,3,0.40324385207995334,0.4331545285182831,0.4592287641071376,0.46443905544195474,0.530579555306511,0.49779240316010887,0.59919916253951,0.5265250621814058,0.7114713879342411,0.5693856437995913,0.7606827338796702,0.5870303589109942,0.9090581818203785,0.6363812678180828,1.0326534262950962,0.6798571773181844,-0.4386925947117843,-0.6095400224639147
ETTm1,2023,block_pca_fit_b16,3,0.41880408657545215,0.4429655722821287,0.47296292590984107,0.471192094942921,0.5456994045770305,0.5052139922594356,0.6101212366280525,0.5326221239237632,0.715135946763037,0.5722104361419482,0.762016771191214,0.5890588406431396,0.9066385643515232,0.6364607513752345,1.0271929122420358,0.6792103116054341,-0.4246407360914297,-0.6007004448401659
ETTm1,2023,block_pca_fit_b32,3,0.4146644275255082,0.44152336004174025,0.4689403042393855,0.4691192954275264,0.5435082829613577,0.5039241551079814,0.6076129568598807,0.5313202086458931,0.7168791981504926,0.5725169256371984,0.7629801427546322,0.5889087305218708,0.9088236511367149,0.6370477803644014,1.0313041394228297,0.6800516758147456,-0.4267055338887251,-0.6019795750895224
ETTm1,2023,block_pca_fit_b48,3,0.41644753025740233,0.4412996629514292,0.47076981378156,0.4700476617583013,0.5417984390707825,0.5031618427226169,0.6052005591266386,0.5305445149368928,0.7124391949757259,0.5707769907460145,0.7601404699556755,0.5878231509185231,0.904123649106894,0.635317528608794,1.0315075075451006,0.6799457492174201,-0.42843974875877433,-0.6031381995178775
ETTm1,2023,block_pca_fit_b96,3,0.4192004851846705,0.4431096510863316,0.4715796198791525,0.47121358723488843,0.5428373243848403,0.5040536487304144,0.6080404207595385,0.5307479872498876,0.7185449012151502,0.5722502584618482,0.7654071870523402,0.5890242382566789,0.909617812123932,0.6368431394347661,1.034413412155282,0.6805974277055215,-0.42353793268316137,-0.6010506731724599
ETTm1,2023,dct2,3,0.4120237929523266,0.43898490352650443,0.4601877951349352,0.46449004239349123,0.5323695491397805,0.4977403062183175,0.5941510945581661,0.523810836035208,0.6966954348857508,0.5629765089210342,0.7429136110456037,0.5797406208879411,0.8862644685572866,0.6278216170352403,1.0135693530884802,0.673085436499183,-0.4474597525323046,-0.6144351190551925
