dataset,checkpoint_seed,family,covariance_offdiag_ratio,variance_capture_top16,variance_capture_top64,mean_atom_support_fraction,active_atoms_h48,active_atoms_h96,active_atoms_h144,active_atoms_h192,active_atoms_h288,active_atoms_h336,active_atoms_h512,active_atoms_h720
ETTm1,2022,block_pca_fit_b32,0.9052800595323319,0.5892755525840032,0.9220534687337847,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTm1,2022,block_pca_fit_b48,0.879714657257106,0.6891033301779913,0.9271145420011099,0.06666667014360428,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTm1,2022,block_pca_fit_b96,0.8325484382103191,0.7089740108393748,0.9309073259310322,0.12888889014720917,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTm1,2022,dct2,0.3386539178998291,0.7978733965783696,0.9376896289655056,0.9977777600288391,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTm1,2022,pca_fit,3.506237666809827e-08,0.8206981149451025,0.9445200914050487,1.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTm1,2023,balanced_interval,0.42998920504984106,0.6897735802336883,0.9007870734826305,0.014691358432173729,55.0,103.0,149.0,199.0,293.0,339.0,516.0,720.0
ETTm1,2023,block_dct2_b144,0.7639058772011356,0.7265132591481857,0.9315700211108986,0.19907407462596893,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTm1,2023,block_dct2_b16,0.9407828611869998,0.3639516728048037,0.8984588416432796,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTm1,2023,block_dct2_b32,0.9059413455887905,0.5875104965412452,0.9208847139331673,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTm1,2023,block_dct2_b48,0.8812078105829976,0.684224506819673,0.9263041237850315,0.06620370596647263,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTm1,2023,block_dct2_b96,0.834801341187875,0.6923601752346128,0.9298320889169083,0.12842592597007751,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTm1,2023,block_pca_fit_b144,0.759514314016672,0.7504216227702565,0.9336481196734582,0.19999806582927704,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTm1,2023,block_pca_fit_b16,0.9406621664266904,0.3642396912176011,0.8994107627945146,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTm1,2023,block_pca_fit_b32,0.9052800595323319,0.5892755525840032,0.9220534687337847,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTm1,2023,block_pca_fit_b48,0.879714657257106,0.6891033301779913,0.9271145420011099,0.06666667014360428,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTm1,2023,block_pca_fit_b96,0.8325484382103191,0.7089740108393748,0.9309073259310322,0.12888889014720917,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTm1,2023,dct2,0.3386539178998291,0.7978733965783696,0.9376896289655056,0.9977777600288391,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTm1,2023,pca_fit,3.506237666809827e-08,0.8206981149451025,0.9445200914050487,1.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTm2,2021,balanced_interval,0.513780733059113,0.9811921845281414,0.9976340533894815,0.014691358432173729,55.0,103.0,149.0,199.0,293.0,339.0,516.0,720.0
ETTm2,2021,block_dct2_b144,0.8237626604204129,0.9870434621862479,0.9973458271045863,0.19907407462596893,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTm2,2021,block_dct2_b16,0.980433819038479,0.5455803747516208,0.997558729290617,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTm2,2021,block_dct2_b32,0.9620734535485945,0.8737682693278076,0.9976616243111188,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTm2,2021,block_dct2_b48,0.9415123444246701,0.9832560873091212,0.997326044233736,0.06620370596647263,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTm2,2021,block_dct2_b96,0.8930606659023942,0.985885801353762,0.9973595727722252,0.12842592597007751,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTm2,2021,block_pca_fit_b144,0.8221747797996635,0.9934128918305251,0.9997288155153217,0.20000000298023224,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
