origin,channel,min_gain,target_std_scaled,uvhf_common96_mse,dlinear_common96_mse_h96,dlinear_common96_mse_h192,dlinear_common96_mse_h336,dlinear_common96_mse_h720,relative_gain_h96,relative_gain_h192,relative_gain_h336,relative_gain_h720,mean_range96,q25_range96,visibility96,persistent_fraction96,mean_sorted_gap96,accuracy_eligible
186,3,0.07588622856693383,0.4668385985717818,0.38766201984292276,0.41949598829347307,0.40402520241631185,0.43093773703956323,0.427090589545795,0.07588622856693383,0.12173792403085892,0.15955955311739745,0.12177114438261072,0.19624005359864882,0.11364389596621294,0.03275888134078484,0.010416666666666666,0.06541335119954961,True
2152,0,0.21248195893862043,0.5324136090304528,0.05568926096287955,0.07071490182983516,0.06958824302137484,0.07230095048618541,0.07597488078684599,0.21248195893862043,0.2653693114291118,0.2147134540894755,0.40356089432687325,0.57610423849023,0.426509108513244,0.03274994613730536,0.0,0.19203474616341,True
367,2,0.09670951537542227,0.34087799524726853,0.06725917813970277,0.08904254924966326,0.08292611591381539,0.09745373322092026,0.08579172986170847,0.24464002090599257,0.09670951537542227,0.1887503651290212,0.09838187555503974,0.6179833731485525,0.42854856188209567,0.03274778330324694,0.0,0.20599445771618416,True
1923,1,0.026845800382831353,0.35265601671088914,2.538715277398728,2.6087492387099998,2.635296005255898,2.6914325436815942,2.734567735051663,0.026845800382831353,0.06823076895922153,0.10719823716215915,0.18130747433394256,0.36723937138965923,0.23516313368388353,0.032681578325062605,0.0,0.12241312379655307,True
1988,0,0.11036815529817723,0.43413193591834043,0.11014911442881976,0.12381426663715973,0.12426777996397742,0.12013779690042965,0.12837170924165034,0.11036815529817723,0.2731816770913277,0.39272145028566596,0.4755006474354506,0.49353512231786745,0.3731909351905074,0.03264284562182914,0.0,0.16451170743928914,True
1916,1,0.08894545131322262,0.39046608062296556,2.180425719997932,2.39329875817081,2.412838646270167,2.4357719632658785,2.491690117540274,0.08894545131322262,0.11737560508331613,0.14418553269130596,0.23026999013622973,0.35119033916378506,0.23779398418593445,0.032641877307763266,0.0,0.11706344638792836,True
421,6,0.44811795180189073,0.5089813341084133,0.13636805430350687,0.2470963763883017,0.2643218249622804,0.23270772444609497,0.2601333569812799,0.44811795180189073,0.6290942952108666,0.6325760360945599,0.6812234857715895,0.6612482777823832,0.4449829476308196,0.03259459682269118,0.0,0.22041609259412773,True
351,6,0.061743510170305216,0.5032183643405996,0.3768924634920565,0.4016944914076397,0.4149442657472071,0.39639548338332836,0.42107998705591765,0.061743510170305216,0.20837096358091556,0.3207496043114535,0.42680173838714763,0.6370427799163056,0.484582951906134,0.032590204005361556,0.0,0.2123475933054352,True
394,2,0.09063597465071671,0.3429593965578681,0.07218649019640554,0.09006551708043385,0.08347422462945671,0.08913469242582635,0.08278619040675449,0.19851134444785656,0.09064013242549207,0.1296230627342425,0.09063597465071671,0.5863635870470945,0.3846516818159422,0.03254407657483881,0.0,0.19545452901569815,True
52,3,0.13405498130363713,0.5139143989987971,0.1700909564186639,0.21014367106375598,0.2110496709694555,0.22234170420423086,0.21816865764784577,0.19059681617982394,0.13405498130363713,0.28286703408228175,0.26587385085997084,0.1823100142238559,0.12198185519997962,0.032537923822247856,0.0,0.0607700047412853,True
1870,1,0.04803831491464239,0.5629768237944373,0.6092564491176761,0.6400010196450786,0.6734693279340368,0.6663528299407969,0.694392857950429,0.04803831491464239,0.0564565042918409,0.07929813166364086,0.16250061442711916,0.3471537231209235,0.26108824499538485,0.03253141987572059,0.0,0.1157179077069745,True
218,3,0.20624705227869178,0.4908516503454122,0.2088865653128716,0.2814967846762039,0.27864420080400243,0.28731487568062725,0.2857973009212527,0.2579433347590572,0.22943913720000197,0.23363812229652203,0.20624705227869178,0.20436469595298912,0.12286320755891778,0.03251982886407509,0.010416666666666666,0.06812156531766304,True
323,6,0.3439839087554305,0.4899935648830765,0.13105994722960482,0.19978160441303006,0.21747720019211794,0.20236048846392027,0.20833225684021817,0.3439839087554305,0.563431888461196,0.6313198917678999,0.7031728293699535,0.6714368300031239,0.5083433342479964,0.03250801774370062,0.0,0.22381227666770798,True
1212,0,0.027027278680086586,0.5867937493464347,0.12964572161606955,0.14470251931083808,0.13678532095940177,0.15924848576182007,0.15515251268662603,0.10405345923815434,0.03969941112018083,0.027027278680086586,0.0655445567094346,0.5674363799465691,0.3199847100710258,0.03247794344724528,0.0,0.1891454599821897,True
123,3,0.062439967376783034,0.5116350091444114,0.23651867566760967,0.25227043329252163,0.25234433206774076,0.245838656049818,0.24047440253753316,0.062439967376783034,0.07268642954758586,0.16581202990697774,0.23863224683326956,0.19492959330661486,0.10209092804646103,0.03246662377739543,0.010416666666666666,0.06497653110220496,True
324,6,0.3725719235692424,0.4916424619378628,0.1275634815188179,0.20331172019665858,0.22339568574335042,0.20473312740540428,0.2119161165125544,0.3725719235692424,0.5790145261719518,0.6333461237141154,0.7000662324442994,0.6705207266687943,0.502354773980187,0.0324636640500742,0.0,0.2235069088895981,True
