backbone,arm_id,dataset,horizon,mse,mae,seed,checkpoint_sha256,test_access_date,test_role,test_tuned,checkpoint_retrained
patchtst_style,patchtst_iscf,ETTm1,336,0.3707725131768594,0.38819317096142875,2021,173b8494624b22a9c25bf87dee0006cc4f1ab6eb1c866c9476711ae7ac9a28c1,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,ETTm1,720,0.43140232783988053,0.4205462210148931,2021,173b8494624b22a9c25bf87dee0006cc4f1ab6eb1c866c9476711ae7ac9a28c1,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,ETTm2,96,0.17630676090995515,0.25861032573331144,2021,2842f04c58ffb8b3135b66560295d1efd702e46e076894095f2f2658891b229c,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,ETTm2,192,0.2351574270611979,0.29751293129716005,2021,2842f04c58ffb8b3135b66560295d1efd702e46e076894095f2f2658891b229c,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,ETTm2,336,0.28585862241928706,0.3312176008333163,2021,2842f04c58ffb8b3135b66560295d1efd702e46e076894095f2f2658891b229c,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,ETTm2,720,0.36544469838592997,0.381212161366156,2021,2842f04c58ffb8b3135b66560295d1efd702e46e076894095f2f2658891b229c,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,Weather,96,0.15188577578740853,0.18856968710473043,2021,e5a15b62a2e76026550976b4c9f2ca000b94e22e2b2af893d867736762a02deb,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,Weather,192,0.19348987937726,0.2303070529918042,2021,e5a15b62a2e76026550976b4c9f2ca000b94e22e2b2af893d867736762a02deb,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,Weather,336,0.2462900090064447,0.2710705768580188,2021,e5a15b62a2e76026550976b4c9f2ca000b94e22e2b2af893d867736762a02deb,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,Weather,720,0.3229998147972855,0.32370075621734024,2021,e5a15b62a2e76026550976b4c9f2ca000b94e22e2b2af893d867736762a02deb,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,ETTm1,96,0.28953897485870184,0.3354870958418374,2021,f9ba849c89847d9e12908a31948a38970041a2b1ebf8f25d991c8d4258953c42,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,ETTm1,192,0.3276257114450414,0.3597884952304937,2021,f9ba849c89847d9e12908a31948a38970041a2b1ebf8f25d991c8d4258953c42,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,ETTm1,336,0.3763955169875849,0.3860524120172884,2021,f9ba849c89847d9e12908a31948a38970041a2b1ebf8f25d991c8d4258953c42,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,ETTm1,720,0.4401028919414166,0.4194115000095883,2021,f9ba849c89847d9e12908a31948a38970041a2b1ebf8f25d991c8d4258953c42,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,ETTm2,96,0.17044369702394754,0.25424647168161124,2021,240c06caff9282583ea6647e3cdac799877d361ed1b12cab1d86a96d61227ef3,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,ETTm2,192,0.22648931671914901,0.29342235536221667,2021,240c06caff9282583ea6647e3cdac799877d361ed1b12cab1d86a96d61227ef3,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,ETTm2,336,0.2762006326665543,0.32697244197301634,2021,240c06caff9282583ea6647e3cdac799877d361ed1b12cab1d86a96d61227ef3,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,ETTm2,720,0.3628093037137104,0.3803917802664584,2021,240c06caff9282583ea6647e3cdac799877d361ed1b12cab1d86a96d61227ef3,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,ETTh1,96,0.35640659883088327,0.3843986347641764,2021,38e8affae3017386c6d733f9d61b2048a4b4c8a60925aac4b1192138ee777e0c,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,ETTh1,192,0.3879689049204845,0.40285787368356374,2021,38e8affae3017386c6d733f9d61b2048a4b4c8a60925aac4b1192138ee777e0c,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,ETTh1,336,0.4065419026385767,0.4186064967117389,2021,38e8affae3017386c6d733f9d61b2048a4b4c8a60925aac4b1192138ee777e0c,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,ETTh1,720,0.4483610576308824,0.4590617788828953,2021,38e8affae3017386c6d733f9d61b2048a4b4c8a60925aac4b1192138ee777e0c,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,ETTh2,96,0.2481785908373305,0.31031990349287625,2021,133b99ae99dce3ffa74d7bc073885081fb6d1d035b97dfea563cb255eba80bff,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,ETTh2,192,0.2908554922445297,0.34138090938785354,2021,133b99ae99dce3ffa74d7bc073885081fb6d1d035b97dfea563cb255eba80bff,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,ETTh2,336,0.3238581167994057,0.3705811486750563,2021,133b99ae99dce3ffa74d7bc073885081fb6d1d035b97dfea563cb255eba80bff,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,ETTh2,720,0.40126031815337415,0.42742033361849013,2021,133b99ae99dce3ffa74d7bc073885081fb6d1d035b97dfea563cb255eba80bff,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,ETTh1,96,0.36063486538780803,0.3895297926186752,2021,022265da6f371dcd21a1bc08c314dd8ae3648cbb86f9a3404dc435e76792c8db,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,ETTh1,192,0.39172957645272655,0.4089693633637232,2021,022265da6f371dcd21a1bc08c314dd8ae3648cbb86f9a3404dc435e76792c8db,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,ETTh1,336,0.41159371505052933,0.42620248313858866,2021,022265da6f371dcd21a1bc08c314dd8ae3648cbb86f9a3404dc435e76792c8db,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,ETTh1,720,0.46416348578515304,0.47066723697766055,2021,022265da6f371dcd21a1bc08c314dd8ae3648cbb86f9a3404dc435e76792c8db,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,ETTh2,96,0.25557892780508285,0.31453540814236836,2021,913b9a4ff49c4d103bd2dee99a2556301542aeafa78638f43251d509b2e0c9f4,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,ETTh2,192,0.30132930920111994,0.34764115995695893,2021,913b9a4ff49c4d103bd2dee99a2556301542aeafa78638f43251d509b2e0c9f4,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,ETTh2,336,0.3347271577483739,0.3770356892392877,2021,913b9a4ff49c4d103bd2dee99a2556301542aeafa78638f43251d509b2e0c9f4,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,ETTh2,720,0.4147972993212611,0.4347862927453742,2021,913b9a4ff49c4d103bd2dee99a2556301542aeafa78638f43251d509b2e0c9f4,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,ETTh1,96,0.357725290411084,0.38907562180417604,2021,4321f5471f0a7ce876eb7a2c45fa18c870e40b201f30474db0a30ef0b185db0e,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,ETTh1,192,0.38454183377325013,0.40440571609618586,2021,4321f5471f0a7ce876eb7a2c45fa18c870e40b201f30474db0a30ef0b185db0e,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,ETTh1,336,0.3990115941731765,0.4179646103914146,2021,4321f5471f0a7ce876eb7a2c45fa18c870e40b201f30474db0a30ef0b185db0e,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,ETTh1,720,0.436611634955463,0.45396820876482863,2021,4321f5471f0a7ce876eb7a2c45fa18c870e40b201f30474db0a30ef0b185db0e,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,ETTh2,96,0.24246429733509517,0.3084160489520587,2021,ffce5fdae6873666aa545ff3b5bfa14047d3fff91ae12eb960cd2f560a4664cc,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,ETTh2,192,0.2858242172676774,0.3397440728250926,2021,ffce5fdae6873666aa545ff3b5bfa14047d3fff91ae12eb960cd2f560a4664cc,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,ETTh2,336,0.31807049661967035,0.36863636918944526,2021,ffce5fdae6873666aa545ff3b5bfa14047d3fff91ae12eb960cd2f560a4664cc,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_original,ETTh2,720,0.3960743884008833,0.42535441198310947,2021,ffce5fdae6873666aa545ff3b5bfa14047d3fff91ae12eb960cd2f560a4664cc,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,Weather,96,0.15538782517088853,0.1939175317296143,2021,cd9fe45aefb0b5958b6efcd1100e9477cd418cf355a1a3f930c3ee3680c8b2e0,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,Weather,192,0.19830120372438081,0.23612212882204836,2021,cd9fe45aefb0b5958b6efcd1100e9477cd418cf355a1a3f930c3ee3680c8b2e0,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,Weather,336,0.24860642757396773,0.2758137142379628,2021,cd9fe45aefb0b5958b6efcd1100e9477cd418cf355a1a3f930c3ee3680c8b2e0,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,Weather,720,0.32496296531441876,0.3291439939321961,2021,cd9fe45aefb0b5958b6efcd1100e9477cd418cf355a1a3f930c3ee3680c8b2e0,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,ETTm1,96,0.2891892797041434,0.3397155443390448,2021,ac2ec3422a53b7d0d90d917c58df4066484208e98cc96f8934f1ae5d5d7d41bc,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,ETTm1,192,0.32805005890483363,0.36206149109138874,2021,ac2ec3422a53b7d0d90d917c58df4066484208e98cc96f8934f1ae5d5d7d41bc,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,ETTm1,336,0.36989280979307904,0.3839517672131128,2021,ac2ec3422a53b7d0d90d917c58df4066484208e98cc96f8934f1ae5d5d7d41bc,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,ETTm1,720,0.4341337434017454,0.4178528817095975,2021,ac2ec3422a53b7d0d90d917c58df4066484208e98cc96f8934f1ae5d5d7d41bc,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,ETTm2,96,0.18198643236027776,0.27013747137434313,2021,1fb8debd0dee796588a9cbd3308d061c5914999a11c7710a2782a21b1375964d,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,ETTm2,192,0.24559062404359172,0.3135470435813475,2021,1fb8debd0dee796588a9cbd3308d061c5914999a11c7710a2782a21b1375964d,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,ETTm2,336,0.30480478572641145,0.3499081337625693,2021,1fb8debd0dee796588a9cbd3308d061c5914999a11c7710a2782a21b1375964d,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,ETTm2,720,0.38217880942710125,0.39778036313158405,2021,1fb8debd0dee796588a9cbd3308d061c5914999a11c7710a2782a21b1375964d,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,ETTh1,96,0.37683407068617547,0.40349088069989153,2021,e12f077a944218af5c4c4143e854fa91f70071080ade267c96f264215dfceeb8,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,ETTh1,192,0.4482075318520323,0.4453200891204918,2021,e12f077a944218af5c4c4143e854fa91f70071080ade267c96f264215dfceeb8,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,ETTh1,336,0.47315650852612506,0.461553248375502,2021,e12f077a944218af5c4c4143e854fa91f70071080ade267c96f264215dfceeb8,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,ETTh1,720,0.5629784824856822,0.5211547593789632,2021,e12f077a944218af5c4c4143e854fa91f70071080ade267c96f264215dfceeb8,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,ETTh2,96,0.42461581671138715,0.44149110810887265,2021,8ff64b25ef0cf0f185ef6866c30ca24b08bee392e477442e90a564f6d2d737f1,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,ETTh2,192,0.572837988347916,0.513476043927555,2021,8ff64b25ef0cf0f185ef6866c30ca24b08bee392e477442e90a564f6d2d737f1,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,ETTh2,336,0.7426967668093335,0.595135878378299,2021,8ff64b25ef0cf0f185ef6866c30ca24b08bee392e477442e90a564f6d2d737f1,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf_bsca,ETTh2,720,0.9881521791252081,0.6959685597500195,2021,8ff64b25ef0cf0f185ef6866c30ca24b08bee392e477442e90a564f6d2d737f1,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,Weather,96,0.15194651205078352,0.19246497682208977,2021,f1d93c10af77f40038631fcf6f1535cfd1b9809e19a4c39d48f6f830df74dac5,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,Weather,192,0.194703379977793,0.23419570371717488,2021,f1d93c10af77f40038631fcf6f1535cfd1b9809e19a4c39d48f6f830df74dac5,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,Weather,336,0.24562790968617157,0.27430414504577244,2021,f1d93c10af77f40038631fcf6f1535cfd1b9809e19a4c39d48f6f830df74dac5,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,Weather,720,0.32241773937253354,0.3281199991673206,2021,f1d93c10af77f40038631fcf6f1535cfd1b9809e19a4c39d48f6f830df74dac5,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,ETTm1,96,0.27463795141399044,0.33209710550273097,2021,aa84428e83d61c1443d2198e837f240804eeed3d343bb2f48940f8ac4d31c72d,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,ETTm1,192,0.3155214883160465,0.35591140482670447,2021,aa84428e83d61c1443d2198e837f240804eeed3d343bb2f48940f8ac4d31c72d,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,ETTm1,336,0.3595296199347214,0.379293249887384,2021,aa84428e83d61c1443d2198e837f240804eeed3d343bb2f48940f8ac4d31c72d,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,ETTm1,720,0.4272199246642203,0.4138579686938464,2021,aa84428e83d61c1443d2198e837f240804eeed3d343bb2f48940f8ac4d31c72d,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,ETTm2,96,0.1907201128488878,0.2805897442300306,2021,4b3d50a1a50a7290353c706e543ffb3e938829ae9c5e2fdf05516a4576fedd17,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,ETTm2,192,0.2508600720676039,0.3195337940052739,2021,4b3d50a1a50a7290353c706e543ffb3e938829ae9c5e2fdf05516a4576fedd17,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,ETTm2,336,0.3014909372974581,0.35084033838060946,2021,4b3d50a1a50a7290353c706e543ffb3e938829ae9c5e2fdf05516a4576fedd17,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,ETTm2,720,0.3886151079094913,0.4034646359890294,2021,4b3d50a1a50a7290353c706e543ffb3e938829ae9c5e2fdf05516a4576fedd17,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,ETTh1,96,0.3865080879597243,0.4098696539899832,2021,6afc4a53320e0cc35a03bb1eb5f8eb9b6b6edc6fac855931f6ee666bd0bb45c7,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,ETTh1,192,0.443084685370041,0.4431524248948352,2021,6afc4a53320e0cc35a03bb1eb5f8eb9b6b6edc6fac855931f6ee666bd0bb45c7,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,ETTh1,336,0.4656983565544087,0.45884007624328865,2021,6afc4a53320e0cc35a03bb1eb5f8eb9b6b6edc6fac855931f6ee666bd0bb45c7,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,ETTh1,720,0.5428339491983009,0.5099785610940673,2021,6afc4a53320e0cc35a03bb1eb5f8eb9b6b6edc6fac855931f6ee666bd0bb45c7,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,ETTh2,96,0.6473731293803944,0.5414536068030423,2021,a37efe08d81a1b741fc77738395dbcec18a24a5ea2024668c9eb2baa9ce21026,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,ETTh2,192,0.7481009159771717,0.5818183283483421,2021,a37efe08d81a1b741fc77738395dbcec18a24a5ea2024668c9eb2baa9ce21026,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,ETTh2,336,0.8505080481210705,0.6258025612986476,2021,a37efe08d81a1b741fc77738395dbcec18a24a5ea2024668c9eb2baa9ce21026,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_iscf,ETTh2,720,1.0319999867619853,0.6953496300459242,2021,a37efe08d81a1b741fc77738395dbcec18a24a5ea2024668c9eb2baa9ce21026,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_original,Weather,96,0.1733513100899715,0.21613652742220807,2021,8ba76df2899187646843eebf80d27b62417835bac9c8e275444130d2a48a0793,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_original,Weather,192,0.2135975924853503,0.2528639530416881,2021,8ba76df2899187646843eebf80d27b62417835bac9c8e275444130d2a48a0793,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_original,Weather,336,0.2620455887433562,0.2894292081137579,2021,8ba76df2899187646843eebf80d27b62417835bac9c8e275444130d2a48a0793,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_original,Weather,720,0.3360576406643569,0.339320510601376,2021,8ba76df2899187646843eebf80d27b62417835bac9c8e275444130d2a48a0793,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_original,ETTm1,96,0.2876235683940704,0.335804737279607,2021,49c2bb4838801fdbbac4c5569db7ab37733f4111c6b31e822634d9b281bacb70,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_original,ETTm1,192,0.3261718479863596,0.3574610554540516,2021,49c2bb4838801fdbbac4c5569db7ab37733f4111c6b31e822634d9b281bacb70,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_original,ETTm1,336,0.36796823559899294,0.38004049197567696,2021,49c2bb4838801fdbbac4c5569db7ab37733f4111c6b31e822634d9b281bacb70,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_original,ETTm1,720,0.43155488916614604,0.41347711089520683,2021,49c2bb4838801fdbbac4c5569db7ab37733f4111c6b31e822634d9b281bacb70,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_original,ETTm2,96,0.2115510391975325,0.29579389762319164,2021,b58be6cf2cd446b70d3c88e188e5d5199168b65ed0cdbbbc5681db8b620bf362,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_original,ETTm2,192,0.26988915762102234,0.3309785722065065,2021,b58be6cf2cd446b70d3c88e188e5d5199168b65ed0cdbbbc5681db8b620bf362,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_original,ETTm2,336,0.33242197665477696,0.36812279778413337,2021,b58be6cf2cd446b70d3c88e188e5d5199168b65ed0cdbbbc5681db8b620bf362,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
dlinear_style,dlinear_original,ETTm2,720,0.42987050009670597,0.4216154133359953,2021,b58be6cf2cd446b70d3c88e188e5d5199168b65ed0cdbbbc5681db8b620bf362,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
