dataset,arm,horizon,mse,mae,seed
ETTh1,if_noskip_measure,192,0.40563218330716466,0.4367023041518406,2021
ETTh1,if_noskip_measure,336,0.4204928629330614,0.4495783254932789,2021
ETTh1,if_noskip_measure,720,0.48378937903464614,0.49673117467862765,2021
ETTh1,direct_nonlinear_matched_measure,96,0.3776357138754495,0.4037646911850339,2021
ETTh1,direct_nonlinear_matched_measure,192,0.40072417238111335,0.4187034179339118,2021
ETTh1,direct_nonlinear_matched_measure,336,0.4180742445814511,0.4321206885949207,2021
ETTh1,direct_nonlinear_matched_measure,720,0.46832012225335307,0.4708424402478764,2021
ETTh2,a6_measure,96,0.2471837242444889,0.32003032202248805,2021
ETTh2,a6_measure,192,0.29248092182901353,0.3523946608196656,2021
ETTh2,a6_measure,336,0.328793732314789,0.38228575798902126,2021
ETTh2,a6_measure,720,0.4082652449088857,0.43770682928499244,2021
ETTh2,if_measure,96,0.2510201112453293,0.3271615273224675,2021
ETTh2,if_measure,192,0.2876355421641843,0.35502596626280464,2021
ETTh2,if_measure,336,0.3084379996413454,0.3758188093030071,2021
ETTh2,if_measure,720,0.39735086070117354,0.43626116225128364,2021
ETTh2,if_noskip_measure,96,0.2567665347414458,0.32966169186749444,2021
ETTh2,if_noskip_measure,192,0.29357885416442603,0.3580092735357059,2021
ETTh2,if_noskip_measure,336,0.31114875404598735,0.3760866757642183,2021
ETTh2,if_noskip_measure,720,0.39739508443283633,0.43403138492042415,2021
ETTh2,direct_nonlinear_matched_measure,96,0.2521451362604073,0.3276462711905987,2021
ETTh2,direct_nonlinear_matched_measure,192,0.28891203947807736,0.3546833062261246,2021
ETTh2,direct_nonlinear_matched_measure,336,0.31558457353894653,0.37792526904071877,2021
ETTh2,direct_nonlinear_matched_measure,720,0.40387410415879244,0.43792809177706643,2021
ETTm2,a6_measure,96,0.16118568345568354,0.24593661566010439,2021
ETTm2,a6_measure,192,0.21725004419200847,0.28531496226177055,2021
ETTm2,a6_measure,336,0.2717103614477961,0.32255349401833605,2021
ETTm2,a6_measure,720,0.35036079535943987,0.37786953028200376,2021
ETTm2,if_measure,96,0.17933798170373325,0.2605984551067727,2021
ETTm2,if_measure,192,0.2337447930787305,0.2963114186537881,2021
ETTm2,if_measure,336,0.28551709902683414,0.33025595028811994,2021
ETTm2,if_measure,720,0.3767774510342186,0.3891174483180638,2021
ETTm2,if_noskip_measure,96,0.19862144446576419,0.27396942749373415,2021
ETTm2,if_noskip_measure,192,0.25619742149995745,0.3104197062026145,2021
ETTm2,if_noskip_measure,336,0.3053228801990594,0.3433830316820358,2021
ETTm2,if_noskip_measure,720,0.3852865648250141,0.3970040315961646,2021
ETTm2,direct_nonlinear_matched_measure,96,0.17204869381028018,0.25415275193189796,2021
ETTm2,direct_nonlinear_matched_measure,192,0.23116014645797275,0.29318719434985824,2021
ETTm2,direct_nonlinear_matched_measure,336,0.2863689331517613,0.33188525193420537,2021
ETTm2,direct_nonlinear_matched_measure,720,0.3744137575698729,0.3881376693599995,2021
