dataset,arm,status,protocol_pass,checkpoint_sha256,full_prefix_max_abs,all_finite,encoder_initialization_hash,decoder_initialization_hash,run_dir,amplitude_std,phase_radius_mean,if_internal_finite
ETTh1,if_noskip_measure,ok,True,02fe657c06275e624b5771dfa3619e9c61521c6fce19b8f1f87240f16d5e4fa2,0.0,True,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,083816e845b3d53c7864013c9214d4b7d3eada34134143d3d6ea8c0e72e83760,/home/yingch/exp_outputs/r-2026-fatst/stage_c_d19_if_control_v1_1/if_noskip_measure/ETTh1/h720_full/seed2021,0.9902065992355347,0.48968300223350525,True
ETTh1,direct_nonlinear_matched_measure,ok,True,8018932061469d3a9a064ee62c0cf27abf857c1d444c968dd1435cafe80ae63a,0.0,True,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,287f6da68f7830817c81dbb8a4c7e99d35f55a3f460fe3d995b53c0bf8f31ab8,/home/yingch/exp_outputs/r-2026-fatst/stage_c_d19_if_control_v1_1/direct_nonlinear_matched_measure/ETTh1/h720_full/seed2021,,,
ETTh2,a6_measure,ok,True,501587f8cc26578b791273bdd5d0058b35b53edd2fa83f94421f071964192005,2.384185791015625e-07,True,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_equal_attribution_v2/a6_measure/ETTh2/h720_full/seed2021,,,
ETTh2,if_measure,ok,True,2e4914b9d6fb90e8a631c73ff6d3e68a25c00933c32893281524a9d94b7a0ae5,0.0,True,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,edc3a2d7a604e9f30b4d29f61a6610d8228f9c250535be7006d948f25368bf98,/home/yingch/exp_outputs/r-2026-fatst/stage_c_d19_if_control_v1_1/if_measure/ETTh2/h720_full/seed2021,1.022713541984558,0.6910286545753479,True
ETTh2,if_noskip_measure,ok,True,a62981e43a1e4cf7c81ba2fddaa3304c1b08c4b95ac086d91982b4193a50dfe1,0.0,True,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,edc3a2d7a604e9f30b4d29f61a6610d8228f9c250535be7006d948f25368bf98,/home/yingch/exp_outputs/r-2026-fatst/stage_c_d19_if_control_v1_1/if_noskip_measure/ETTh2/h720_full/seed2021,1.1297273635864258,0.4409237205982208,True
ETTh2,direct_nonlinear_matched_measure,ok,True,50aba428b6b8071da9a4fe5c7a26c72d1ddb90a6ca8e38224a83cb0191bd59f5,0.0,True,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,bb35e677743f86bc344ee9477eaa60cb70132b81a7c0831d7063b740d5d24c60,/home/yingch/exp_outputs/r-2026-fatst/stage_c_d19_if_control_v1_1/direct_nonlinear_matched_measure/ETTh2/h720_full/seed2021,,,
ETTm2,a6_measure,ok,True,5d89a48bad84e9c61e8c6e2acd10848f25e62a4b65241db769bffdfc596f9a05,2.9802322387695312e-08,True,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_equal_attribution_v2/a6_measure/ETTm2/h720_full/seed2021,,,
ETTm2,if_measure,ok,True,4d6454f61d788d39ef713d1f0a1155c6d3773edec7d07f8e25465c0d4d7c2d2a,0.0,True,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,caedfe800be07a9bdeb9ef9a827c08df697802590a5f3465e0e73f35386f84f1,/home/yingch/exp_outputs/r-2026-fatst/stage_c_d19_if_control_v1_1/if_measure/ETTm2/h720_full/seed2021,1.0593990087509155,0.8108490109443665,True
ETTm2,if_noskip_measure,ok,True,be9498fc98eeb226a842c41e9301f397ee002fe04d15fe68827923c69fe7e738,0.0,True,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,caedfe800be07a9bdeb9ef9a827c08df697802590a5f3465e0e73f35386f84f1,/home/yingch/exp_outputs/r-2026-fatst/stage_c_d19_if_control_v1_1/if_noskip_measure/ETTm2/h720_full/seed2021,1.2911790609359741,0.7660451531410217,True
ETTm2,direct_nonlinear_matched_measure,ok,True,d52132de77b2e3a4d977f9fc98d5c62edd4c2a204ec75f70a22bbb94b63d8168,0.0,True,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,f9962063b875cbf83b334cda094d2cccfe401c23592cd2e3be25e20581c0d966,/home/yingch/exp_outputs/r-2026-fatst/stage_c_d19_if_control_v1_1/direct_nonlinear_matched_measure/ETTm2/h720_full/seed2021,,,
