dataset,fold,pair,left_scale,right_scale,short_relative_gain_left_vs_right,mid_relative_gain_left_vs_right,long_relative_gain_left_vs_right,max_relative_gain,min_relative_gain,crossing
ETTh2,2021,s48_vs_s144,48,144,-8.853491699099714e-05,2.466201395169576e-05,2.6696961186995962e-05,2.6696961186995962e-05,-8.853491699099714e-05,False
ETTh2,2021,s48_vs_s360,48,360,-0.00014913880811313703,0.00010462124432404927,4.094718776493592e-05,0.00010462124432404927,-0.00014913880811313703,False
ETTh2,2021,s48_vs_s720,48,720,0.00017430062005192913,0.0002339073930171985,3.65595335517748e-05,0.0002339073930171985,3.65595335517748e-05,False
ETTh2,2021,s144_vs_s360,144,360,-6.059852603666746e-05,7.996120237664213e-05,1.4250607025842622e-05,7.996120237664213e-05,-6.059852603666746e-05,False
ETTh2,2021,s144_vs_s720,144,720,0.00026281226898050786,0.0002092505396052299,9.862835672519978e-06,0.00026281226898050786,9.862835672519978e-06,False
ETTh2,2021,s360_vs_s720,360,720,0.0003233911979872441,0.00012929967618616255,-4.3878338826189994e-06,0.0003233911979872441,-4.3878338826189994e-06,False
ETTh2,2022,s1_vs_s48,1,48,-0.0005994290419733445,-0.0002779365138630949,-0.00013206765728978806,-0.00013206765728978806,-0.0005994290419733445,False
ETTh2,2022,s1_vs_s144,1,144,-0.00040395122567385075,-0.00023986640512699641,-0.00011182929805487538,-0.00011182929805487538,-0.00040395122567385075,False
ETTh2,2022,s1_vs_s360,1,360,-0.0003314044368855049,-0.0002360047506624598,-0.00011015345775991384,-0.00011015345775991384,-0.0003314044368855049,False
ETTh2,2022,s1_vs_s720,1,720,-0.000226907971026954,-6.142983893363268e-05,-8.507239505073049e-05,-6.142983893363268e-05,-0.000226907971026954,False
ETTh2,2022,s48_vs_s144,48,144,0.0001953607114154108,3.8059530602843424e-05,2.0235686755169275e-05,0.0001953607114154108,2.0235686755169275e-05,False
ETTh2,2022,s48_vs_s360,48,360,0.0002678640396032011,4.192011207082535e-05,2.191130575505499e-05,0.0002678640396032011,2.191130575505499e-05,False
ETTh2,2022,s48_vs_s720,48,720,0.0003722979047700055,0.00021644651653921745,4.6989056504446765e-05,0.0003722979047700055,4.6989056504446765e-05,False
ETTh2,2022,s144_vs_s360,144,360,7.251749525725385e-05,3.8607284054928205e-06,1.6756529078730691e-06,7.251749525725385e-05,1.6756529078730691e-06,False
ETTh2,2022,s144_vs_s720,144,720,0.0001769717666848347,0.00017839377551973277,2.6753911133042653e-05,0.00017839377551973277,2.6753911133042653e-05,False
ETTh2,2022,s360_vs_s720,360,720,0.00010446184673905633,0.0001745337209415341,2.5078300247696317e-05,0.0001745337209415341,2.5078300247696317e-05,False
ETTh2,2023,s1_vs_s48,1,48,-0.00030174254590268495,-0.00016750289743476814,-9.6736979421156e-05,-9.6736979421156e-05,-0.00030174254590268495,False
ETTh2,2023,s1_vs_s144,1,144,-0.000257663618577479,-0.00015547286618560708,-0.00010647908624692179,-0.00010647908624692179,-0.000257663618577479,False
ETTh2,2023,s1_vs_s360,1,360,-0.00034477426880545983,-0.00011925446860935415,-7.86209085697409e-05,-7.86209085697409e-05,-0.00034477426880545983,False
ETTh2,2023,s1_vs_s720,1,720,-0.00046411482296810995,-7.122524379930057e-05,-7.316870829223903e-05,-7.122524379930057e-05,-0.00046411482296810995,False
ETTh2,2023,s48_vs_s144,48,144,4.406563084956657e-05,1.2028016521543306e-05,-9.741164494936504e-06,4.406563084956657e-05,-9.741164494936504e-06,False
ETTh2,2023,s48_vs_s360,48,360,-4.3018742317946316e-05,4.824034842727915e-05,1.8114318526956526e-05,4.824034842727915e-05,-4.3018742317946316e-05,False
ETTh2,2023,s48_vs_s720,48,720,-0.0001623232972204624,9.626152955035638e-05,2.3565991426089353e-05,9.626152955035638e-05,-0.0001623232972204624,False
ETTh2,2023,s144_vs_s360,144,360,-8.708821076445978e-05,3.62127674735013e-05,2.7855211679694017e-05,3.62127674735013e-05,-8.708821076445978e-05,False
ETTh2,2023,s144_vs_s720,144,720,-0.00020639802312912427,8.423452620308593e-05,3.330683147370167e-05,8.423452620308593e-05,-0.00020639802312912427,False
ETTh2,2023,s360_vs_s720,360,720,-0.00011929942279138835,4.802349779334348e-05,5.451771654261107e-06,4.802349779334348e-05,-0.00011929942279138835,False
ETTm1,2021,s1_vs_s48,1,48,-0.00026363017461587335,-0.00013095667167483532,-8.053259302703231e-05,-8.053259302703231e-05,-0.00026363017461587335,False
ETTm1,2021,s1_vs_s144,1,144,-0.00031021902632180095,-0.0001395730536102563,-9.47661344864876e-05,-9.47661344864876e-05,-0.00031021902632180095,False
ETTm1,2021,s1_vs_s360,1,360,-0.00015894818306869235,-0.00013814814904229228,-8.08084435045765e-05,-8.08084435045765e-05,-0.00015894818306869235,False
ETTm1,2021,s1_vs_s720,1,720,-9.616851656053434e-05,-0.00010585359473091305,-6.833186725896184e-05,-6.833186725896184e-05,-0.00010585359473091305,False
ETTm1,2021,s48_vs_s144,48,144,-4.657657271592946e-05,-8.615253710469412e-06,-1.4232395287757783e-05,-8.615253710469412e-06,-4.657657271592946e-05,False
ETTm1,2021,s48_vs_s360,48,360,0.00010465440148904214,-7.190535718831648e-06,-2.7582826437883263e-07,0.00010465440148904214,-7.190535718831648e-06,False
ETTm1,2021,s48_vs_s720,48,720,0.00016741752174484768,2.5099789958969523e-05,1.2199743291108978e-05,0.00016741752174484768,1.2199743291108978e-05,False
ETTm1,2021,s144_vs_s360,144,360,0.0001512239307125664,1.4247057174365453e-06,1.395636839082723e-05,0.0001512239307125664,1.4247057174365453e-06,False
ETTm1,2021,s144_vs_s720,144,720,0.00021398412781348797,3.371475320828626e-05,2.6431762391576253e-05,0.00021398412781348797,2.6431762391576253e-05,False
ETTm1,2021,s360_vs_s720,360,720,6.276968938007925e-05,3.229009349473053e-05,1.247556811437351e-05,6.276968938007925e-05,1.247556811437351e-05,False
ETTm1,2022,s1_vs_s48,1,48,-0.00026232903016549874,-0.00012845615224457043,-8.248067403879026e-05,-8.248067403879026e-05,-0.00026232903016549874,False
ETTm1,2022,s1_vs_s144,1,144,-0.00027818585165009335,-0.00014569824591241837,-7.979389480959719e-05,-7.979389480959719e-05,-0.00027818585165009335,False
ETTm1,2022,s1_vs_s360,1,360,-0.00021615081401429862,-0.00014408400456009592,-7.032424807286372e-05,-7.032424807286372e-05,-0.00021615081401429862,False
ETTm1,2022,s1_vs_s720,1,720,-0.00010478662110657906,-0.00011694004586274047,-5.918642081311676e-05,-5.918642081311676e-05,-0.00011694004586274047,False
ETTm1,2022,s48_vs_s144,48,144,-1.5852662870918152e-05,-1.7239879099313668e-05,2.6865576401080762e-06,2.6865576401080762e-06,-1.7239879099313668e-05,False
ETTm1,2022,s48_vs_s360,48,360,4.61661054415331e-05,-1.5625845079590982e-05,1.2155423378413054e-05,4.61661054415331e-05,-1.5625845079590982e-05,False
ETTm1,2022,s48_vs_s720,48,720,0.00015750109195021835,1.1514627257117987e-05,2.3292332058425387e-05,0.00015750109195021835,1.1514627257117987e-05,False
ETTm1,2022,s144_vs_s360,144,360,6.201778516541103e-05,1.6140061944510255e-06,9.468891177026912e-06,6.201778516541103e-05,1.6140061944510255e-06,False
ETTm1,2022,s144_vs_s720,144,720,0.00017335100674606822,2.8754010640764585e-05,2.0605829777066726e-05,0.00017335100674606822,2.0605829777066726e-05,False
ETTm1,2022,s360_vs_s720,360,720,0.000111340126648712,2.7140048250519554e-05,1.1137044055498011e-05,0.000111340126648712,1.1137044055498011e-05,False
ETTm1,2023,s1_vs_s48,1,48,-0.00020275488740588196,-0.00011105996931517834,-7.567804481268959e-05,-7.567804481268959e-05,-0.00020275488740588196,False
ETTm1,2023,s1_vs_s144,1,144,-0.00023894843889164463,-0.00014767060682116827,-9.444934519382874e-05,-9.444934519382874e-05,-0.00023894843889164463,False
ETTm1,2023,s1_vs_s360,1,360,-0.0001681443233357053,-0.00014787498965599028,-8.821417101403288e-05,-8.821417101403288e-05,-0.0001681443233357053,False
ETTm1,2023,s1_vs_s720,1,720,-9.477757235020636e-05,-7.922538794304999e-05,-7.06969933365793e-05,-7.06969933365793e-05,-9.477757235020636e-05,False
ETTm1,2023,s48_vs_s144,48,144,-3.618621455390513e-05,-3.660657198122894e-05,-1.8769879913325948e-05,-1.8769879913325948e-05,-3.660657198122894e-05,False
ETTm1,2023,s48_vs_s360,48,360,3.4603548031691656e-05,-3.6810932119820235e-05,-1.25351775636139e-05,3.4603548031691656e-05,-3.6810932119820235e-05,False
ETTm1,2023,s48_vs_s720,48,720,0.0001079554265653175,3.1831046217112223e-05,4.980674548398623e-06,0.0001079554265653175,4.980674548398623e-06,False
ETTm1,2023,s144_vs_s360,144,360,7.078720106475138e-05,-2.0435265794100453e-07,6.2345853272941434e-06,7.078720106475138e-05,-2.0435265794100453e-07,False
ETTm1,2023,s144_vs_s720,144,720,0.00014413642536760925,6.843511302345024e-05,2.3750108675036812e-05,0.00014413642536760925,2.3750108675036812e-05,False
ETTm1,2023,s360_vs_s720,360,720,7.335441685671287e-05,6.863945165473685e-05,1.7515632550448365e-05,7.335441685671287e-05,1.7515632550448365e-05,False
ETTm2,2021,s1_vs_s48,1,48,-0.0006542312132261003,-0.0004223779835902373,-0.00032266492493694286,-0.00032266492493694286,-0.0006542312132261003,False
ETTm2,2021,s1_vs_s144,1,144,-0.0006883756477785114,-0.0003846773811415596,-0.00037378277979494603,-0.00037378277979494603,-0.0006883756477785114,False
ETTm2,2021,s1_vs_s360,1,360,-0.0008046908685459393,-0.00037386421457768706,-0.00023053655631169944,-0.00023053655631169944,-0.0008046908685459393,False
ETTm2,2021,s1_vs_s720,1,720,-0.00046634299305843015,-0.0002879078456631804,-0.00011608160851731835,-0.00011608160851731835,-0.00046634299305843015,False
ETTm2,2021,s48_vs_s144,48,144,-3.412211080246292e-05,3.768468526730227e-05,-5.1101366239501316e-05,3.768468526730227e-05,-5.1101366239501316e-05,False
ETTm2,2021,s48_vs_s360,48,360,-0.00015036128427440586,4.8493286515973956e-05,9.209865162073142e-05,9.209865162073142e-05,-0.00015036128427440586,False
ETTm2,2021,s48_vs_s720,48,720,0.00018776537819649086,0.00013441336468111533,0.00020651668073033843,0.00020651668073033843,0.00013441336468111533,False
ETTm2,2021,s144_vs_s360,144,360,-0.00011623520728132093,1.0809008582758176e-05,0.00014319270051760076,0.00014319270051760076,-0.00011623520728132093,False
ETTm2,2021,s144_vs_s720,144,720,0.00022187991798780737,9.673232474102611e-05,0.00025760488300836807,0.00025760488300836807,9.673232474102611e-05,False
ETTm2,2021,s360_vs_s720,360,720,0.0003380758289550729,8.592424491416868e-05,0.00011442856782641071,0.0003380758289550729,8.592424491416868e-05,False
ETTm2,2022,s1_vs_s48,1,48,-0.0006346492326390398,-0.0004415449846427959,-0.00033023400704098346,-0.00033023400704098346,-0.0006346492326390398,False
ETTm2,2022,s1_vs_s144,1,144,-0.0008585533133097943,-0.0005281003609005077,-0.0003857482843251129,-0.0003857482843251129,-0.0008585533133097943,False
ETTm2,2022,s1_vs_s360,1,360,-0.00048649607829424316,-0.0005094165738986735,-0.00026771990586616206,-0.00026771990586616206,-0.0005094165738986735,False
ETTm2,2022,s1_vs_s720,1,720,-0.0003324093157103008,-0.00020809705674157855,-0.00017275588348756267,-0.00017275588348756267,-0.0003324093157103008,False
ETTm2,2022,s48_vs_s144,48,144,-0.00022376207024458,-8.651717503299054e-05,-5.549595063397706e-05,-5.549595063397706e-05,-0.00022376207024458,False
ETTm2,2022,s48_vs_s360,48,360,0.00014805918869430663,-6.784163412258088e-05,6.249346370788723e-05,0.00014805918869430663,-6.784163412258088e-05,False
ETTm2,2022,s48_vs_s720,48,720,0.0003020482222562641,0.00023334489563285864,0.0001574261360896869,0.0003020482222562641,0.0001574261360896869,False
ETTm2,2022,s144_vs_s360,144,360,0.0003717380780569519,1.8673925295146346e-05,0.00011798286677051434,0.0003717380780569519,1.8673925295146346e-05,False
ETTm2,2022,s144_vs_s720,144,720,0.000525692662422388,0.0003198343994971263,0.0002129102710657714,0.000525692662422388,0.0002129102710657714,False
ETTm2,2022,s360_vs_s720,360,720,0.0001540118364295085,0.00030116609815519833,9.493860542409221e-05,0.00030116609815519833,9.493860542409221e-05,False
ETTm2,2023,s1_vs_s48,1,48,-0.0006077098579129963,-0.0002936346013298606,-0.00021576936163396595,-0.00021576936163396595,-0.0006077098579129963,False
ETTm2,2023,s1_vs_s144,1,144,-0.0006275794640345774,-0.00035493124222749973,-0.00027289421182048957,-0.00027289421182048957,-0.0006275794640345774,False
ETTm2,2023,s1_vs_s360,1,360,-0.0006734606435667632,-0.00029681647732539995,-0.0001909290918570379,-0.0001909290918570379,-0.0006734606435667632,False
ETTm2,2023,s1_vs_s720,1,720,-0.0007268797121234314,-0.00016210383302577182,-0.00016839338275876752,-0.00016210383302577182,-0.0007268797121234314,False
ETTm2,2023,s48_vs_s144,48,144,-1.985753849968095e-05,-6.127864736644964e-05,-5.7112527053020095e-05,-1.985753849968095e-05,-6.127864736644964e-05,False
ETTm2,2023,s48_vs_s360,48,360,-6.571085252091804e-05,-3.1809419609148253e-06,2.483491116399994e-05,2.483491116399994e-05,-6.571085252091804e-05,False
ETTm2,2023,s48_vs_s720,48,720,-0.00011909747749930626,0.00013149215765679724,4.736575879565976e-05,0.00013149215765679724,-0.00011909747749930626,False
ETTm2,2023,s144_vs_s360,144,360,-4.5852403505369174e-05,5.809414547488019e-05,8.194275825902216e-05,8.194275825902216e-05,-4.5852403505369174e-05,False
ETTm2,2023,s144_vs_s720,144,720,-9.923796837784762e-05,0.00019275899301288732,0.00010447231917052494,0.00019275899301288732,-9.923796837784762e-05,False
ETTm2,2023,s360_vs_s720,360,720,-5.338311712825151e-05,0.00013467267123176116,2.2531407197155963e-05,0.00013467267123176116,-5.338311712825151e-05,False
Weather,2021,s1_vs_s48,1,48,-1.2010472887826785e-08,-1.2793302391801743e-08,-8.942402748336886e-09,-8.942402748336886e-09,-1.2793302391801743e-08,False
Weather,2021,s1_vs_s144,1,144,-1.7766026979283682e-08,-1.3996339877502726e-08,-1.3694431344272975e-08,-1.3694431344272975e-08,-1.7766026979283682e-08,False
Weather,2021,s1_vs_s360,1,360,1.1778738198272763e-08,-2.7447183209399997e-08,-7.973137353633081e-09,1.1778738198272763e-08,-2.7447183209399997e-08,False
Weather,2021,s1_vs_s720,1,720,-2.855033371669973e-09,-9.502844706417812e-09,-3.750361884933654e-08,-2.855033371669973e-09,-3.750361884933654e-08,False
Weather,2021,s48_vs_s144,48,144,-5.75555402232997e-09,-1.2030374703101618e-09,-4.7520285534415355e-09,-1.2030374703101618e-09,-5.75555402232997e-09,False
Weather,2021,s48_vs_s360,48,360,2.3789210800379878e-08,-1.4653880630126727e-08,9.692653860362446e-10,2.3789210800379878e-08,-1.4653880630126727e-08,False
Weather,2021,s48_vs_s720,48,720,9.155439406195655e-09,3.2904576432881112e-09,-2.856121584559376e-08,9.155439406195655e-09,-2.856121584559376e-08,False
Weather,2021,s144_vs_s360,144,360,2.954476465266336e-08,-1.3450843143634698e-08,5.721293912290028e-09,2.954476465266336e-08,-1.3450843143634698e-08,False
Weather,2021,s144_vs_s720,144,720,1.49109933427046e-08,4.49349510819243e-09,-2.3809187179010287e-08,1.49109933427046e-08,-2.3809187179010287e-08,False
Weather,2021,s360_vs_s720,360,720,-1.4633771742310102e-08,1.7944338010460652e-08,-2.9530481260252876e-08,1.7944338010460652e-08,-2.9530481260252876e-08,False
Weather,2022,s1_vs_s48,1,48,-5.012057300877219e-09,-8.833850182264263e-09,-8.89880491109097e-09,-5.012057300877219e-09,-8.89880491109097e-09,False
Weather,2022,s1_vs_s144,1,144,-8.590587784322628e-09,-1.219913915645078e-08,-1.1006733198161603e-08,-8.590587784322628e-09,-1.219913915645078e-08,False
Weather,2022,s1_vs_s360,1,360,-3.181134529629357e-08,-1.242661426969879e-08,-1.7126090805888166e-08,-1.242661426969879e-08,-3.181134529629357e-08,False
Weather,2022,s1_vs_s720,1,720,4.012874981586287e-08,-1.0421006028425221e-07,-6.07348527670014e-08,4.012874981586287e-08,-1.0421006028425221e-07,False
Weather,2022,s48_vs_s144,48,144,-3.5785304655096094e-09,-3.3652889444580596e-09,-2.10792826831259e-09,-2.10792826831259e-09,-3.5785304655096094e-09,False
Weather,2022,s48_vs_s360,48,360,-2.6799287861096784e-08,-3.5927640556965877e-09,-8.227285821584183e-09,-3.5927640556965877e-09,-2.6799287861096784e-08,False
Weather,2022,s48_vs_s720,48,720,4.514080689049178e-08,-9.537620925944881e-08,-5.183604739463155e-08,4.514080689049178e-08,-9.537620925944881e-08,False
Weather,2022,s144_vs_s360,144,360,-2.3220757312490987e-08,-2.2747511047300864e-10,-6.1193575403724265e-09,-2.2747511047300864e-10,-2.3220757312490987e-08,False
Weather,2022,s144_vs_s720,144,720,4.8719337181657756e-08,-9.201092000534742e-08,-4.972811902149565e-08,4.8719337181657756e-08,-9.201092000534742e-08,False
Weather,2022,s360_vs_s720,360,720,7.19400928236453e-08,-9.178344487399596e-08,-4.360876121426562e-08,7.19400928236453e-08,-9.178344487399596e-08,False
Weather,2023,s1_vs_s48,1,48,-1.0400110477435768e-08,-1.0150154975361434e-08,-1.1643181458872228e-08,-1.0150154975361434e-08,-1.1643181458872228e-08,False
Weather,2023,s1_vs_s144,1,144,-4.095943044085064e-09,-1.5241067581144477e-08,-1.682585861867449e-08,-4.095943044085064e-09,-1.682585861867449e-08,False
Weather,2023,s1_vs_s360,1,360,-2.1498133053568787e-08,-1.3820045779802228e-08,-2.1902002983552083e-08,-1.3820045779802228e-08,-2.1902002983552083e-08,False
Weather,2023,s1_vs_s720,1,720,-4.2545073750373685e-08,-2.9526476624080262e-08,-2.4062130096762694e-08,-2.4062130096762694e-08,-4.2545073750373685e-08,False
Weather,2023,s48_vs_s144,48,144,6.304167367786666e-09,-5.09091255410949e-09,-5.182677099459413e-09,6.304167367786666e-09,-5.182677099459413e-09,False
Weather,2023,s48_vs_s360,48,360,-1.1098022460712359e-08,-3.6698907671908338e-09,-1.0258821405234538e-08,-3.6698907671908338e-09,-1.1098022460712359e-08,False
Weather,2023,s48_vs_s720,48,720,-3.214496293862675e-08,-1.9376321452046162e-08,-1.2418948493294395e-08,-1.2418948493294395e-08,-3.214496293862675e-08,False
Weather,2023,s144_vs_s360,144,360,-1.7402189938205344e-08,1.421021779684358e-09,-5.076144279467107e-09,1.421021779684358e-09,-1.7402189938205344e-08,False
Weather,2023,s144_vs_s720,144,720,-3.844913054880317e-08,-1.4285408825210906e-08,-7.236271356331723e-09,-7.236271356331723e-09,-3.844913054880317e-08,False
Weather,2023,s360_vs_s720,360,720,-2.104694024433498e-08,-1.5706430627214444e-08,-2.1601270658994995e-09,-2.1601270658994995e-09,-2.104694024433498e-08,False
