system,dataset,horizon,mse,mae,mse_display,mae_display,mse_style,mae_style,checkpoint_repetitions,system_role
iTransformer,ETTm2,96,0.19455927454363758,0.2794374395237803,0.195,0.279,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ETTm2,96,0.16987520908759468,0.2596366309362325,0.170,0.260,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,ETTm2,96,0.19238919280275432,0.2914287678361261,0.192,0.291,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ETTm2,192,0.2184282369628787,0.28477006837910346,0.218,0.285,best,best,1,source_native_H720_one_model_all_horizons
TimeAlign,ETTm2,192,0.21933174441809805,0.2873096837657377,0.219,0.287,second,second,1,source_native_H720_one_model_all_horizons
QDF,ETTm2,192,0.2277742624282837,0.29703783988952637,0.228,0.297,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ETTm2,192,0.23116612434387207,0.29997411370277405,0.231,0.300,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,ETTm2,192,0.24945371306676764,0.3090781015234032,0.249,0.309,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,ETTm2,192,0.25950895271629176,0.31803394142955566,0.260,0.318,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ETTm2,192,0.22462012713399487,0.2959192156941804,0.225,0.296,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,ETTm2,192,0.2611124267057869,0.3412295992576825,0.261,0.341,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ETTm2,336,0.271552440553906,0.3203940888540244,0.272,0.320,second,best,1,source_native_H720_one_model_all_horizons
TimeAlign,ETTm2,336,0.26907534770651986,0.3202559185405168,0.269,0.320,best,best,1,source_native_H720_one_model_all_horizons
QDF,ETTm2,336,0.281371146440506,0.33243420720100403,0.281,0.332,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ETTm2,336,0.2788994610309601,0.33189067244529724,0.279,0.332,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,ETTm2,336,0.3082427633918953,0.3459102899597956,0.308,0.346,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,ETTm2,336,0.3244227841582002,0.357704895622956,0.324,0.358,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ETTm2,336,0.27745851618179873,0.3299581455717752,0.277,0.330,normal,second,1,source_native_H720_one_model_all_horizons
DLinear,ETTm2,336,0.3244865864275399,0.38349664229931235,0.324,0.383,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ETTm2,720,0.3440692155815435,0.3718412308467188,0.344,0.372,second,second,1,source_native_H720_one_model_all_horizons
TimeAlign,ETTm2,720,0.3429375012622404,0.3713850704641027,0.343,0.371,best,best,1,source_native_H720_one_model_all_horizons
QDF,ETTm2,720,0.3638134300708771,0.3853282332420349,0.364,0.385,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ETTm2,720,0.3553587794303894,0.3814344108104706,0.355,0.381,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,ETTm2,720,0.40076594485542777,0.3991514995540233,0.401,0.399,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,ETTm2,720,0.4157624951761465,0.4086312517228196,0.416,0.409,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ETTm2,720,0.3648001207539756,0.382927654821998,0.365,0.383,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,ETTm2,720,0.4029211847615784,0.427979419254925,0.403,0.428,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ETTm2,Avg.,0.24873275082480867,0.30569279133343635,0.249,0.306,best,best,1,four_horizon_arithmetic_mean
TimeAlign,ETTm2,Avg.,0.24968177394742674,0.3079549459981859,0.250,0.308,second,second,1,four_horizon_arithmetic_mean
QDF,ETTm2,Avg.,0.26050983369350433,0.3179662749171257,0.261,0.318,normal,normal,1,four_horizon_arithmetic_mean
AMD,ETTm2,Avg.,0.26086442917585373,0.31954721361398697,0.261,0.320,normal,normal,1,four_horizon_arithmetic_mean
SimpleTM,ETTm2,Avg.,0.2862184957624284,0.33121060362285604,0.286,0.331,normal,normal,3,four_horizon_arithmetic_mean
iTransformer,ETTm2,Avg.,0.298563376648569,0.3409518820747779,0.299,0.341,normal,normal,1,four_horizon_arithmetic_mean
PatchTST,ETTm2,Avg.,0.259188493289341,0.31711041175604654,0.259,0.317,normal,normal,1,four_horizon_arithmetic_mean
DLinear,ETTm2,Avg.,0.2952273476744149,0.3610336071620115,0.295,0.361,normal,normal,1,four_horizon_arithmetic_mean
ISCF-BSCA-MAIN-v1,ETTh1,96,0.351976402970048,0.39123289011502366,0.352,0.391,second,normal,1,source_native_H720_one_model_all_horizons
TimeAlign,ETTh1,96,0.3544098279609685,0.38724236928599703,0.354,0.387,normal,second,1,source_native_H720_one_model_all_horizons
QDF,ETTh1,96,0.3782295209916704,0.40620956178957796,0.378,0.406,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ETTh1,96,0.35038959980010986,0.38648760318756104,0.350,0.386,best,best,1,source_native_H720_one_model_all_horizons
SimpleTM,ETTh1,96,0.3820835908247869,0.40155937310904094,0.382,0.402,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,ETTh1,96,0.3994976840354713,0.41497502136809616,0.399,0.415,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ETTh1,96,0.37290572947182815,0.4016005962984858,0.373,0.402,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,ETTh1,96,0.39647049869536766,0.42527059502550885,0.396,0.425,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ETTh1,192,0.3781118196471161,0.4064746981892506,0.378,0.406,second,normal,1,source_native_H720_one_model_all_horizons
TimeAlign,ETTh1,192,0.3819546055596794,0.40428759674699855,0.382,0.404,normal,second,1,source_native_H720_one_model_all_horizons
QDF,ETTh1,192,0.409650250759176,0.42606989285429475,0.410,0.426,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ETTh1,192,0.37487417459487915,0.40176406502723694,0.375,0.402,best,best,1,source_native_H720_one_model_all_horizons
SimpleTM,ETTh1,192,0.4146349993576171,0.4176528733216,0.415,0.418,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,ETTh1,192,0.43480991123573876,0.43516774410091014,0.435,0.435,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ETTh1,192,0.3883174344326455,0.4111624347925718,0.388,0.411,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,ETTh1,192,0.4364057268993724,0.45339442096776716,0.436,0.453,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ETTh1,336,0.39353640120983735,0.41980139259626054,0.394,0.420,second,normal,1,source_native_H720_one_model_all_horizons
TimeAlign,ETTh1,336,0.40261433840715977,0.4184379428407659,0.403,0.418,normal,second,1,source_native_H720_one_model_all_horizons
QDF,ETTh1,336,0.4310527541266846,0.44466686003302097,0.431,0.445,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ETTh1,336,0.3930898904800415,0.4164467751979828,0.393,0.416,best,best,1,source_native_H720_one_model_all_horizons
SimpleTM,ETTh1,336,0.4379952879815931,0.4331428132965982,0.438,0.433,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,ETTh1,336,0.4586366060400591,0.45225017009744967,0.459,0.452,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ETTh1,336,0.4036973683465971,0.4260288335857736,0.404,0.426,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,ETTh1,336,0.4549279980478056,0.46990461966738073,0.455,0.470,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ETTh1,720,0.45045415910275827,0.46662598434351565,0.450,0.467,best,normal,1,source_native_H720_one_model_all_horizons
TimeAlign,ETTh1,720,0.4589570351474607,0.46131452034960285,0.459,0.461,normal,best,1,source_native_H720_one_model_all_horizons
QDF,ETTh1,720,0.4989433100957877,0.4928002053705171,0.499,0.493,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ETTh1,720,0.4515272080898285,0.46108269691467285,0.452,0.461,second,best,1,source_native_H720_one_model_all_horizons
SimpleTM,ETTh1,720,0.469748079416951,0.46545722247915283,0.470,0.465,normal,second,3,source_native_H720_one_model_all_horizons
iTransformer,ETTh1,720,0.5093046218759192,0.49383628933682067,0.509,0.494,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ETTh1,720,0.4552059014759845,0.4691205727876147,0.455,0.469,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,ETTh1,720,0.537790435427071,0.5380031065415225,0.538,0.538,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ETTh1,Avg.,0.39351969573243994,0.4210337413110126,0.394,0.421,second,normal,1,four_horizon_arithmetic_mean
TimeAlign,ETTh1,Avg.,0.3994839517688171,0.41782060730584103,0.399,0.418,normal,second,1,four_horizon_arithmetic_mean
QDF,ETTh1,Avg.,0.42946895899332965,0.44243663001185274,0.429,0.442,normal,normal,1,four_horizon_arithmetic_mean
AMD,ETTh1,Avg.,0.39247021824121475,0.4164452850818634,0.392,0.416,best,best,1,four_horizon_arithmetic_mean
SimpleTM,ETTh1,Avg.,0.426115489395237,0.42945307055159804,0.426,0.429,normal,normal,3,four_horizon_arithmetic_mean
iTransformer,ETTh1,Avg.,0.45056220579679707,0.4490573062258192,0.451,0.449,normal,normal,1,four_horizon_arithmetic_mean
PatchTST,ETTh1,Avg.,0.4050316084317638,0.42697810936611147,0.405,0.427,normal,normal,1,four_horizon_arithmetic_mean
DLinear,ETTh1,Avg.,0.4563986647674042,0.47164318555054485,0.456,0.472,normal,normal,1,four_horizon_arithmetic_mean
ISCF-BSCA-MAIN-v1,ETTh2,96,0.2405494467507989,0.3144207512151374,0.241,0.314,second,second,1,source_native_H720_one_model_all_horizons
TimeAlign,ETTh2,96,0.2525150595507215,0.3211850675070609,0.253,0.321,normal,normal,1,source_native_H720_one_model_all_horizons
QDF,ETTh2,96,0.2412196546792984,0.31685870885849,0.241,0.317,second,normal,1,source_native_H720_one_model_all_horizons
AMD,ETTh2,96,0.24915660917758942,0.3261374533176422,0.249,0.326,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,ETTh2,96,0.24072274445064198,0.3146334779726682,0.241,0.315,second,normal,3,source_native_H720_one_model_all_horizons
iTransformer,ETTh2,96,0.2638755681901802,0.3296845650581145,0.264,0.330,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ETTh2,96,0.2206344814077798,0.3033046939884068,0.221,0.303,best,best,1,source_native_H720_one_model_all_horizons
DLinear,ETTh2,96,0.28738832176028556,0.3591758871866316,0.287,0.359,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ETTh2,192,0.28245514440266534,0.34509201304952075,0.282,0.345,second,second,1,source_native_H720_one_model_all_horizons
TimeAlign,ETTh2,192,0.294926285133986,0.3528513750947583,0.295,0.353,normal,normal,1,source_native_H720_one_model_all_horizons
QDF,ETTh2,192,0.28741946816444397,0.35166361927986145,0.287,0.352,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ETTh2,192,0.29330506920814514,0.3612577021121979,0.293,0.361,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,ETTh2,192,0.2989096336034203,0.35099206348769263,0.299,0.351,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,ETTh2,192,0.31944926640871285,0.3653566714816887,0.319,0.365,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ETTh2,192,0.26732891732322195,0.33679931790593354,0.267,0.337,best,best,1,source_native_H720_one_model_all_horizons
DLinear,ETTh2,192,0.31360941755554306,0.3776542389393495,0.314,0.378,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ETTh2,336,0.3122683312867567,0.3711865635745016,0.312,0.371,second,second,1,source_native_H720_one_model_all_horizons
TimeAlign,ETTh2,336,0.32397200112125873,0.3780632690945459,0.324,0.378,normal,normal,1,source_native_H720_one_model_all_horizons
QDF,ETTh2,336,0.315927654504776,0.3778890073299408,0.316,0.378,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ETTh2,336,0.33592063188552856,0.39542046189308167,0.336,0.395,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,ETTh2,336,0.3466216833585693,0.3872979472128379,0.347,0.387,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,ETTh2,336,0.3612211355252601,0.3982784588536744,0.361,0.398,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ETTh2,336,0.303577511577557,0.36700178270012007,0.304,0.367,best,best,1,source_native_H720_one_model_all_horizons
DLinear,ETTh2,336,0.33548490734874264,0.39811327586301065,0.335,0.398,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ETTh2,720,0.39405488596768706,0.42976343582293,0.394,0.430,second,second,1,source_native_H720_one_model_all_horizons
TimeAlign,ETTh2,720,0.40597445770895824,0.43642709509069244,0.406,0.436,normal,normal,1,source_native_H720_one_model_all_horizons
QDF,ETTh2,720,0.40693315863609314,0.43962326645851135,0.407,0.440,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ETTh2,720,0.44193533062934875,0.4665042757987976,0.442,0.467,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,ETTh2,720,0.41443220475293713,0.4364249857033586,0.414,0.436,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,ETTh2,720,0.42967171498841433,0.4464756393635063,0.430,0.446,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ETTh2,720,0.3782814496619074,0.42092310585845294,0.378,0.421,best,best,1,source_native_H720_one_model_all_horizons
DLinear,ETTh2,720,0.5843532290643729,0.5433148744187083,0.584,0.543,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ETTh2,Avg.,0.307331952101977,0.36511569091552243,0.307,0.365,second,second,1,four_horizon_arithmetic_mean
TimeAlign,ETTh2,Avg.,0.3193469508787311,0.37213170169676435,0.319,0.372,normal,normal,1,four_horizon_arithmetic_mean
QDF,ETTh2,Avg.,0.3128749839961529,0.3715086504817009,0.313,0.372,normal,normal,1,four_horizon_arithmetic_mean
AMD,ETTh2,Avg.,0.33007941022515297,0.38732997328042984,0.330,0.387,normal,normal,1,four_horizon_arithmetic_mean
SimpleTM,ETTh2,Avg.,0.3251715665413922,0.37233711859413937,0.325,0.372,normal,normal,3,four_horizon_arithmetic_mean
iTransformer,ETTh2,Avg.,0.3435544212781419,0.384948833689246,0.344,0.385,normal,normal,1,four_horizon_arithmetic_mean
PatchTST,ETTh2,Avg.,0.29245558999261656,0.35700722511322835,0.292,0.357,best,best,1,four_horizon_arithmetic_mean
DLinear,ETTh2,Avg.,0.38020896893223605,0.41956456910192497,0.380,0.420,normal,normal,1,four_horizon_arithmetic_mean
ISCF-BSCA-MAIN-v1,Weather,96,0.1410607618772622,0.18159428257633217,0.141,0.182,best,best,1,source_native_H720_one_model_all_horizons
TimeAlign,Weather,96,0.14304251747306188,0.1843429427315412,0.143,0.184,second,second,1,source_native_H720_one_model_all_horizons
QDF,Weather,96,0.1853610724210739,0.244405597448349,0.185,0.244,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,Weather,96,0.1494240015745163,0.2052675038576126,0.149,0.205,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,Weather,96,0.17123160722076658,0.2209990318413034,0.171,0.221,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,Weather,96,0.17741786133405726,0.2223089076851516,0.177,0.222,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,Weather,96,0.15038846458216593,0.2040024911631135,0.150,0.204,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,Weather,96,0.17314683205109632,0.23960681822249852,0.173,0.240,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,Weather,192,0.18213667199495437,0.22313626947867732,0.182,0.223,best,best,1,source_native_H720_one_model_all_horizons
TimeAlign,Weather,192,0.18499257391100468,0.22607498716453273,0.185,0.226,second,second,1,source_native_H720_one_model_all_horizons
QDF,Weather,192,0.22328348457813263,0.2748046815395355,0.223,0.275,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,Weather,192,0.19319698214530945,0.2456158995628357,0.193,0.246,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,Weather,192,0.21204180626071567,0.2572448399665202,0.212,0.257,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,Weather,192,0.22325432420242367,0.2613036242852336,0.223,0.261,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,Weather,192,0.19083842242277718,0.2434781792988902,0.191,0.243,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,Weather,192,0.21300200721060364,0.2778199710329993,0.213,0.278,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,Weather,336,0.23218611821442647,0.26377962898612267,0.232,0.264,best,best,1,source_native_H720_one_model_all_horizons
TimeAlign,Weather,336,0.23491789695796525,0.2667224668104687,0.235,0.267,second,second,1,source_native_H720_one_model_all_horizons
QDF,Weather,336,0.26991117000579834,0.3061278164386749,0.270,0.306,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,Weather,336,0.24393795430660248,0.28327977657318115,0.244,0.283,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,Weather,336,0.26150338018189473,0.2932943316592099,0.262,0.293,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,Weather,336,0.27650929227091126,0.29946343763034056,0.277,0.299,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,Weather,336,0.24014064394364565,0.28232886236987215,0.240,0.282,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,Weather,336,0.2596226274041605,0.3169185839742675,0.260,0.317,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,Weather,720,0.30416474674338456,0.3147720183854933,0.304,0.315,best,best,1,source_native_H720_one_model_all_horizons
TimeAlign,Weather,720,0.3073086361568076,0.317576510436919,0.307,0.318,second,second,1,source_native_H720_one_model_all_horizons
QDF,Weather,720,0.3410804271697998,0.35111936926841736,0.341,0.351,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,Weather,720,0.31507608294487,0.3323940336704254,0.315,0.332,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,Weather,720,0.3457577038919015,0.34370551336397764,0.346,0.344,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,Weather,720,0.358874337491641,0.35073530336167696,0.359,0.351,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,Weather,720,0.3194580104923887,0.335489913230442,0.319,0.335,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,Weather,720,0.3282086409788405,0.36948836082227016,0.328,0.369,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,Weather,Avg.,0.2148870747075069,0.24582054985665638,0.215,0.246,best,best,1,four_horizon_arithmetic_mean
TimeAlign,Weather,Avg.,0.21756540612470984,0.2486792267858654,0.218,0.249,second,second,1,four_horizon_arithmetic_mean
QDF,Weather,Avg.,0.25490903854370117,0.2941143661737442,0.255,0.294,normal,normal,1,four_horizon_arithmetic_mean
AMD,Weather,Avg.,0.22540875524282455,0.2666393034160137,0.225,0.267,normal,normal,1,four_horizon_arithmetic_mean
SimpleTM,Weather,Avg.,0.24763362438881964,0.2788109292077528,0.248,0.279,normal,normal,3,four_horizon_arithmetic_mean
iTransformer,Weather,Avg.,0.2590139538247583,0.2834528182406007,0.259,0.283,normal,normal,1,four_horizon_arithmetic_mean
PatchTST,Weather,Avg.,0.22520638536024434,0.2663248615155795,0.225,0.266,normal,normal,1,four_horizon_arithmetic_mean
DLinear,Weather,Avg.,0.24349502691117525,0.3009584335130088,0.243,0.301,normal,normal,1,four_horizon_arithmetic_mean
ISCF-BSCA-MAIN-v1,ECL,96,0.11683624645800295,0.21495666344707656,0.117,0.215,second,second,1,source_native_H720_one_model_all_horizons
TimeAlign,ECL,96,0.11526756401592103,0.21347097309859467,0.115,0.213,best,best,1,source_native_H720_one_model_all_horizons
QDF,ECL,96,0.14397498965263367,0.25247591733932495,0.144,0.252,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ECL,96,0.12071198970079422,0.2238701730966568,0.121,0.224,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,ECL,96,0.13834304615076923,0.24161644966475226,0.138,0.242,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,ECL,96,0.14028911287683404,0.23986678756253874,0.140,0.240,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ECL,96,0.12062449767366677,0.22240049397211506,0.121,0.222,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,ECL,96,0.12834613691619287,0.23195451960318886,0.128,0.232,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ECL,192,0.136800277881022,0.23298019228555047,0.137,0.233,second,second,1,source_native_H720_one_model_all_horizons
TimeAlign,ECL,192,0.1338311698202195,0.22985294893996294,0.134,0.230,best,best,1,source_native_H720_one_model_all_horizons
QDF,ECL,192,0.15948478877544403,0.26519662141799927,0.159,0.265,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ECL,192,0.13963037729263306,0.24041353166103363,0.140,0.240,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,ECL,192,0.1518517996997434,0.25308452702800205,0.152,0.253,normal,normal,3,source_native_H720_one_model_all_horizons
