arm,label,strategy,future_alignment,dataset,horizon,mean_abs_gamma,mean_abs_beta,mean_target_state_norm,std_target_state_norm,mean_history_readout_norm
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,ETTh2,96,0.5083358883857727,0.41849327087402344,7.700100898742676,1.1610184907913208,10.133299827575684
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,ETTh2,192,0.5120071172714233,0.4285713732242584,7.859113693237305,1.1162022352218628,10.176285743713379
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,ETTh2,336,0.5221487283706665,0.4341869354248047,8.060351371765137,1.1130038499832153,10.071149826049805
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,ETTh2,720,0.5096426606178284,0.4372465908527374,8.06941032409668,1.0809451341629028,10.274876594543457
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,Weather,96,0.6900148391723633,0.408630907535553,9.304840087890625,1.8323668241500854,11.676387786865234
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,Weather,192,0.6939195990562439,0.4150952398777008,8.503419876098633,1.6357722282409668,11.686506271362305
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,Weather,336,0.7003040313720703,0.4201924502849579,8.171439170837402,1.3869789838790894,11.706177711486816
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,Weather,720,0.7040935158729553,0.42281055450439453,7.604891777038574,1.2300448417663574,11.68877124786377
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,ETTh2,96,0.4341903626918793,0.43451955914497375,7.351857662200928,0.4192332625389099,9.620512008666992
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,ETTh2,192,0.43330639600753784,0.4337850511074066,7.384077072143555,0.4144478738307953,9.629213333129883
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,ETTh2,336,0.43187040090560913,0.43192437291145325,7.447508335113525,0.4231606125831604,9.600508689880371
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,ETTh2,720,0.43192312121391296,0.4255666732788086,7.492373466491699,0.4328215718269348,9.714091300964355
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,Weather,96,0.7403939366340637,0.4265215992927551,8.590035438537598,1.176722526550293,11.19798755645752
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,Weather,192,0.7289120554924011,0.4275512099266052,8.294023513793945,1.258467674255371,11.208089828491211
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,Weather,336,0.7393480539321899,0.42823371291160583,8.038490295410156,1.2899497747421265,11.222126960754395
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,Weather,720,0.755698025226593,0.429806649684906,7.708358287811279,1.2957477569580078,11.20857048034668
