arm,label,strategy,future_alignment,dataset,horizon,pairs,mean_target_state_cosine,mean_abs_target_state_cosine,mean_adjacent_target_state_cosine,min_target_state_cosine,max_target_state_cosine
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,Weather,720,105,0.35826122335912214,0.37772840063664176,0.22066114842891693,-0.19385914504528046,0.9921900629997253
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,ETTh2,96,1,0.7326279282569885,0.7326279282569885,0.7326279282569885,0.7326279282569885,0.7326279282569885
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,ETTh2,192,6,0.7471605986356735,0.7471605986356735,0.8851887186368307,0.42748555541038513,0.9859302043914795
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,ETTh2,336,21,0.811771069254194,0.811771069254194,0.942863255739212,0.3777827322483063,0.9971640110015869
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,ETTh2,720,105,0.8988507449626922,0.8988507449626922,0.976398629801614,0.42495742440223694,0.9973347783088684
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,Weather,96,1,-0.10106103867292404,0.10106103867292404,-0.10106103867292404,-0.10106103867292404,-0.10106103867292404
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,Weather,192,6,0.12171110076208909,0.19645331365366778,0.005709579835335414,-0.10035876929759979,0.8370057344436646
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,Weather,336,21,0.19905419958134493,0.2722635284243595,0.040109276150663696,-0.23331966996192932,0.9688268303871155
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,Weather,720,105,0.30339471004637225,0.3489234498790687,0.10838727373629808,-0.2860337495803833,0.9921262860298157
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,ETTh2,96,1,0.9970306754112244,0.9970306754112244,0.9970306754112244,0.9970306754112244,0.9970306754112244
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,ETTh2,192,6,0.993891437848409,0.993891437848409,0.997014323870341,0.9867526292800903,0.9972244501113892
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,ETTh2,336,21,0.9875903668857756,0.9875903668857756,0.9970550537109375,0.9652717709541321,0.9972816109657288
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,ETTh2,720,105,0.9798601593290056,0.9798601593290056,0.9974022252219064,0.9510847330093384,0.9982876777648926
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,Weather,96,1,0.1679099053144455,0.1679099053144455,0.1679099053144455,0.1679099053144455,0.1679099053144455
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,Weather,192,6,0.2420652350410819,0.2420652350410819,0.13372932995359102,0.026811501011252403,0.8777997493743896
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,Weather,336,21,0.2917280624664965,0.29840286377639996,0.14040910514692465,-0.07008541375398636,0.9647519588470459
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,Weather,720,105,0.3430981789227752,0.3557544619288473,0.17015225972448075,-0.14722685515880585,0.9932512640953064
