comparison,candidate_arm,candidate_label,baseline_arm,baseline_label,dataset,horizon,segment,future_region,candidate_mse,baseline_mse,relative_mse_pct,mse_win,candidate_mae,baseline_mae,relative_mae_pct,mae_win
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,336,1-96,early_1_96,0.2795785367488861,0.27713316679000854,0.8823808377762532,False,0.3433939218521118,0.34282058477401733,0.16724114699018244,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,336,97-192,middle_97_336,0.3824427127838135,0.38112086057662964,0.3468328144473398,False,0.4163588881492615,0.41448524594306946,0.4520407480196109,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,336,193-336,middle_97_336,0.4514687657356262,0.4433876872062683,1.8225762154731484,False,0.46545329689979553,0.46088793873786926,0.9905570916931339,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,720,1-96,early_1_96,0.2536819875240326,0.2567152678966522,-1.1815738103433615,True,0.3225107192993164,0.3271549642086029,-1.4195856451455824,True
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,720,97-192,middle_97_336,0.3396809697151184,0.3369782865047455,0.8020348249752507,False,0.3875446021556854,0.3875757157802582,-0.008027753882910993,True
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,720,193-336,middle_97_336,0.37828922271728516,0.3621416389942169,4.458913856996727,False,0.4252783954143524,0.4163040220737457,2.1557258313052996,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,720,337-720,late_337_720,0.4981078505516052,0.4712275564670563,5.704312855996596,False,0.5012346506118774,0.48493242263793945,3.361752527343298,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,Weather,96,1-96,early_1_96,0.14984364807605743,0.14891685545444489,0.6223557560252502,False,0.1995818167924881,0.19556677341461182,2.0530294117826253,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,Weather,192,1-96,early_1_96,0.15082968771457672,0.1498727649450302,0.6384901018523959,False,0.2002423256635666,0.19617755711078644,2.0719844882586047,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,Weather,192,97-192,middle_97_336,0.23600637912750244,0.2363300323486328,-0.1369496791897018,True,0.2817005515098572,0.2810879349708557,0.2179448004643092,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,Weather,336,1-96,early_1_96,0.1520570069551468,0.151143416762352,0.6044525209002449,False,0.2010716050863266,0.19699618220329285,2.068782672563718,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,Weather,336,97-192,middle_97_336,0.23746144771575928,0.2377781718969345,-0.13320153765523646,True,0.2828691899776459,0.2822696566581726,0.2123973673157753,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,Weather,336,193-336,middle_97_336,0.3133065104484558,0.31445738673210144,-0.3659879946232958,True,0.33343803882598877,0.3329090178012848,0.15890858955938114,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,Weather,720,1-96,early_1_96,0.1490284651517868,0.1481466442346573,0.5952351615422069,False,0.20019026100635529,0.19586674869060516,2.2073743219067854,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,Weather,720,97-192,middle_97_336,0.23260121047496796,0.2330068200826645,-0.17407628135203135,True,0.28237321972846985,0.28160199522972107,0.2738703957404942,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,Weather,720,193-336,middle_97_336,0.3123816251754761,0.3140771985054016,-0.5398587793046583,True,0.33489006757736206,0.334377259016037,0.15336227195417163,False
