comparison,candidate_arm,candidate_label,baseline_arm,baseline_label,settings,mse_wins,mae_wins,mean_relative_mse_pct,mean_relative_mae_pct,dataset,future_region
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,5,1,0,0.7529488886009683,1.1311917764741874,ETTh2,middle_97_336
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,4,0,0,3.968147209383183,5.275707388344469,Weather,early_1_96
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,1,0,0,2.673643559309591,0.8997487618664701,Weather,late_337_720
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,5,0,0,2.956057939161436,1.2275886901129507,Weather,middle_97_336
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,4,1,0,0.6136574157133645,2.487842488805642,ETTh2,early_1_96
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,1,1,1,-1.9143666591652453,-0.5710986808938889,ETTh2,late_337_720
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,5,3,1,-0.2776150606806116,0.2825049178678074,ETTh2,middle_97_336
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,4,0,0,2.602934062363771,3.098414369344554,Weather,early_1_96
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,1,0,0,3.023340452007961,1.2267250169366584,Weather,late_337_720
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,5,0,0,2.2212797032280562,1.1466097465008795,Weather,middle_97_336
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,4,2,1,-0.32449548010462237,0.4936251113920709,ETTh2,early_1_96
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,1,1,0,-0.0298005796060985,0.4261711425135539,ETTh2,late_337_720
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,5,0,1,1.7923333968432464,0.7869031199513588,ETTh2,middle_97_336
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,4,0,0,0.44145354232008605,0.865262235224884,Weather,early_1_96
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,1,0,0,2.557729994830682,0.43294167253931093,Weather,late_337_720
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,5,0,0,2.1620052417112845,0.37871023424917993,Weather,middle_97_336
