comparison,candidate_arm,baseline_arm,dataset,target_horizon,status,candidate_mse,baseline_mse,relative_mse_pct,candidate_mae,baseline_mae,relative_mae_pct,candidate_wins_mse
b9_no_stage_vs_a6_clean,b9_no_stage,a6_clean,ETTm1,192,ok,0.30895742774009705,0.3091461658477783,-0.06105141468072395,0.3526817262172699,0.35286661982536316,-0.05239759096079544,True
b9_no_stage_vs_a6_clean,b9_no_stage,a6_clean,ETTm1,336,ok,0.346828430891037,0.34693026542663574,-0.029353027321943337,0.37360820174217224,0.3737157881259918,-0.028788289721204396,True
b9_no_stage_vs_a6_clean,b9_no_stage,a6_clean,ETTm1,720,ok,0.4081856906414032,0.40836983919143677,-0.04509357262969527,0.405225545167923,0.4053221046924591,-0.023822911067084007,True
b9_no_stage_vs_a6_clean,b9_no_stage,a6_clean,Weather,96,ok,0.14131157100200653,0.14136819541454315,-0.04005456274700503,0.18128402531147003,0.18159954249858856,-0.1737433821569101,True
b9_no_stage_vs_a6_clean,b9_no_stage,a6_clean,Weather,192,ok,0.18237288296222687,0.18240033090114594,-0.01504818482700454,0.22296887636184692,0.22314205765724182,-0.07761033362025938,True
b9_no_stage_vs_a6_clean,b9_no_stage,a6_clean,Weather,336,ok,0.23163941502571106,0.2316502183675766,-0.004663644153535262,0.2635068893432617,0.26356613636016846,-0.02247899435220413,True
b9_no_stage_vs_a6_clean,b9_no_stage,a6_clean,Weather,720,ok,0.3030035197734833,0.3030458390712738,-0.013964652318021464,0.3143940269947052,0.3143439292907715,0.0159372264789015,True
b9_fsn_scf_vs_b9_no_stage,b9_fsn_scf,b9_no_stage,ETTh2,96,ok,0.24371108412742615,0.24371971189975739,-0.003540038786353783,0.314494252204895,0.3145018219947815,-0.00240691447778163,True
b9_fsn_scf_vs_b9_no_stage,b9_fsn_scf,b9_no_stage,ETTh2,192,ok,0.28573015332221985,0.2857397794723511,-0.003368851949492324,0.3469383120536804,0.34694698452949524,-0.002499654472165602,True
b9_fsn_scf_vs_b9_no_stage,b9_fsn_scf,b9_no_stage,ETTh2,336,ok,0.31354087591171265,0.3134927451610565,0.015353066825007922,0.37148815393447876,0.37146249413490295,0.006907776688347411,False
b9_fsn_scf_vs_b9_no_stage,b9_fsn_scf,b9_no_stage,ETTh2,720,ok,0.39279839396476746,0.392759770154953,0.009833952647242405,0.4289947748184204,0.42898139357566833,0.003119306094023777,False
b9_fsn_scf_vs_b9_no_stage,b9_fsn_scf,b9_no_stage,ETTm1,96,ok,0.27238672971725464,0.27235665917396545,0.0110408694909081,0.33055299520492554,0.33056437969207764,-0.0034439545975040176,False
b9_fsn_scf_vs_b9_no_stage,b9_fsn_scf,b9_no_stage,ETTm1,192,ok,0.30897995829582214,0.30895742774009705,0.007292446693996091,0.35268160700798035,0.3526817262172699,-3.380081265991208e-05,False
b9_fsn_scf_vs_b9_no_stage,b9_fsn_scf,b9_no_stage,ETTm1,336,ok,0.34684255719184875,0.346828430891037,0.004072993893688981,0.37361225485801697,0.37360820174217224,0.0010848572985944216,False
b9_fsn_scf_vs_b9_no_stage,b9_fsn_scf,b9_no_stage,ETTm1,720,ok,0.4081898629665375,0.4081856906414032,0.001022163498110018,0.4052317440509796,0.405225545167923,0.0015297364962751914,False
b9_fsn_scf_vs_b9_no_stage,b9_fsn_scf,b9_no_stage,Weather,96,ok,0.14131170511245728,0.14131157100200653,9.490408308110432e-05,0.18128465116024017,0.18128402531147003,0.0003452310643803358,False
b9_fsn_scf_vs_b9_no_stage,b9_fsn_scf,b9_no_stage,Weather,192,ok,0.182373046875,0.18237288296222687,8.987782089686647e-05,0.2229677140712738,0.22296887636184692,-0.0005212792888786844,False
b9_fsn_scf_vs_b9_no_stage,b9_fsn_scf,b9_no_stage,Weather,336,ok,0.23164035379886627,0.23163941502571106,0.00040527349591812367,0.2635065019130707,0.2635068893432617,-0.00014702848643022293,False
b9_fsn_scf_vs_b9_no_stage,b9_fsn_scf,b9_no_stage,Weather,720,ok,0.30300477147102356,0.3030035197734833,0.0004130966997362151,0.3143928647041321,0.3143940269947052,-0.00036969232024564036,False
