system,dataset,horizon,mse,mae,checkpoint_repetitions,prefix_identity,matrix_complete,system_role
iTransformer,ECL,96,0.14028911287683404,0.23986678756253874,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ECL,192,0.15518779054225076,0.25394397184849565,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ECL,336,0.1737996341267833,0.27158175952229496,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ECL,720,0.21074225625845938,0.30073663998813077,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,Solar,96,0.19499723530908214,0.23705627651387967,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,Solar,192,0.2272170478730431,0.258823539678416,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,Solar,336,0.24299105019085981,0.2710950143189284,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,Solar,720,0.2496772504471715,0.27560493668066155,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ETTh1,96,0.37290572947182815,0.4016005962984858,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ETTh1,192,0.3883174344326455,0.4111624347925718,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ETTh1,336,0.4036973683465971,0.4260288335857736,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ETTh1,720,0.4552059014759845,0.4691205727876147,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ETTh2,96,0.2206344814077798,0.3033046939884068,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ETTh2,192,0.26732891732322195,0.33679931790593354,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ETTh2,336,0.303577511577557,0.36700178270012007,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ETTh2,720,0.3782814496619074,0.42092310585845294,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ETTm1,96,0.29157384662634006,0.34971601406296854,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ETTm1,192,0.3283263239729507,0.3715054986681988,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ETTm1,336,0.3646037421492941,0.39210538831478625,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ETTm1,720,0.4152368112856822,0.42110117902138766,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ETTm2,96,0.16987520908759468,0.2596366309362325,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ETTm2,192,0.22462012713399487,0.2959192156941804,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ETTm2,336,0.27745851618179873,0.3299581455717752,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ETTm2,720,0.3648001207539756,0.382927654821998,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,Weather,96,0.15038846458216593,0.2040024911631135,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,Weather,192,0.19083842242277718,0.2434781792988902,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,Weather,336,0.24014064394364565,0.28232886236987215,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,Weather,720,0.3194580104923887,0.335489913230442,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ECL,96,0.12062449767366677,0.22240049397211506,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ECL,192,0.1389282312808766,0.23897370532611184,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ECL,336,0.15884297982365303,0.25730491895657703,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,ECL,720,0.2011319342064936,0.291238910460888,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,Solar,96,0.18016617705261703,0.23435522893818958,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,Solar,192,0.19031455980866555,0.24474741206093997,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,Solar,336,0.1985305760140221,0.25161841515508204,1,True,True,source_native_H720_one_model_all_horizons
PatchTST,Solar,720,0.20603524980251256,0.2574213268835301,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ETTh1,96,0.39647049869536766,0.42527059502550885,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ETTh1,192,0.4364057268993724,0.45339442096776716,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ETTh1,336,0.4549279980478056,0.46990461966738073,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ETTh1,720,0.537790435427071,0.5380031065415225,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ETTh2,96,0.28738832176028556,0.3591758871866316,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ETTh2,192,0.31360941755554306,0.3776542389393495,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ETTh2,336,0.33548490734874264,0.39811327586301065,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ETTh2,720,0.5843532290643729,0.5433148744187083,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ETTm1,96,0.2948757329071896,0.34655028288613654,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ETTm1,192,0.3288278057625504,0.3663508090308393,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ETTm1,336,0.36741011772994675,0.3874536540864356,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ETTm1,720,0.4271246087250689,0.42267383501247413,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ETTm2,96,0.19238919280275432,0.2914287678361261,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ETTm2,192,0.2611124267057869,0.3412295992576825,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ETTm2,336,0.3244865864275399,0.38349664229931235,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ETTm2,720,0.4029211847615784,0.427979419254925,1,True,True,source_native_H720_one_model_all_horizons
DLinear,Weather,96,0.17314683205109632,0.23960681822249852,1,True,True,source_native_H720_one_model_all_horizons
DLinear,Weather,192,0.21300200721060364,0.2778199710329993,1,True,True,source_native_H720_one_model_all_horizons
DLinear,Weather,336,0.2596226274041605,0.3169185839742675,1,True,True,source_native_H720_one_model_all_horizons
DLinear,Weather,720,0.3282086409788405,0.36948836082227016,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ECL,96,0.12834613691619287,0.23195451960318886,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ECL,192,0.1439499437155356,0.2465073106988779,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ECL,336,0.16315797029646115,0.26549758615852764,1,True,True,source_native_H720_one_model_all_horizons
DLinear,ECL,720,0.20390152018671379,0.3011989567696195,1,True,True,source_native_H720_one_model_all_horizons
DLinear,Solar,96,0.21669429446237543,0.28676019165059036,1,True,True,source_native_H720_one_model_all_horizons
DLinear,Solar,192,0.24375326418952678,0.3050648886417097,1,True,True,source_native_H720_one_model_all_horizons
DLinear,Solar,336,0.2654122235746771,0.3211684908146373,1,True,True,source_native_H720_one_model_all_horizons
DLinear,Solar,720,0.2708660834846778,0.3274722590788681,1,True,True,source_native_H720_one_model_all_horizons
