comparison,candidate_arm,candidate_label,baseline_arm,baseline_label,candidate_mse,baseline_mse,relative_mse_pct,mse_win,candidate_mae,baseline_mae,relative_mae_pct,mae_win,dataset,horizon,segment
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,0.471087247133255,0.47108712792396545,2.53051468668275e-05,False,0.48699912428855896,0.4869990646839142,1.2239170277261735e-05,False,ETTh2,720,337-720
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,0.34194517135620117,0.34194526076316833,-2.614657298449785e-05,True,0.39061444997787476,0.39061465859413147,-5.340717561530539e-05,True,ETTh2,720,97-192
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,0.14865882694721222,0.1486584097146988,0.0002806652608766669,False,0.1976386308670044,0.19764289259910583,-0.002156278956144675,True,Weather,720,1-96
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,0.32174694538116455,0.3217542767524719,-0.002278562193913647,True,0.33598899841308594,0.33600082993507385,-0.0035212776082094166,True,Weather,720,193-336
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,0.40329644083976746,0.4033051133155823,-0.002150351068830325,True,0.38331225514411926,0.38331806659698486,-0.00151609156260335,True,Weather,720,337-720
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,0.23658229410648346,0.23659062385559082,-0.0035207435407302867,True,0.2822139263153076,0.28222784399986267,-0.004931364800087046,True,Weather,720,97-192
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,0.2536841630935669,0.2567152678966522,-1.1807263463213924,True,0.3225105404853821,0.3271549642086029,-1.419640302404035,True,ETTh2,720,1-96
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,0.37828880548477173,0.3621416389942169,4.458798644475315,False,0.42527759075164795,0.4163040220737457,2.155532544029226,False,ETTh2,720,193-336
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,0.49810561537742615,0.4712275564670563,5.703838525888272,False,0.5012331604957581,0.48493242263793945,3.361445244091077,False,ETTh2,720,337-720
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,0.339680939912796,0.3369782865047455,0.8020259809863095,False,0.38754507899284363,0.3875757157802582,-0.007904723172058592,True,ETTh2,720,97-192
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,0.14902983605861664,0.1481466442346573,0.5961605330461639,False,0.2001924067735672,0.19586674869060516,2.208469845892491,False,Weather,720,1-96
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,0.3123842179775238,0.3140771985054016,-0.5390332491292504,True,0.33489444851875305,0.334377259016037,0.15467245118223616,False,Weather,720,193-336
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,0.38836023211479187,0.39324691891670227,-1.242651008016038,True,0.37880387902259827,0.3816656768321991,-0.749817964600219,True,Weather,720,337-720
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,0.23260252177715302,0.2330068200826645,-0.17351350718749492,True,0.28237777948379517,0.28160199522972107,0.27548961556229656,False,Weather,720,97-192
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,0.2536841630935669,0.2536819875240326,0.0008575971654600778,False,0.3225105404853821,0.3225107192993164,-5.544433832049833e-05,True,ETTh2,720,1-96
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,0.37828880548477173,0.37828922271728516,-0.00011029458106825984,True,0.42527759075164795,0.4252783954143524,-0.000189208460421586,True,ETTh2,720,193-336
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,0.49810561537742615,0.4981078505516052,-0.00044873297552205926,True,0.5012331604957581,0.5012346506118774,-0.0002972891274710676,True,ETTh2,720,337-720
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,0.339680939912796,0.3396809697151184,-8.773621440472112e-06,True,0.38754507899284363,0.3875446021556854,0.0001230405882512997,False,ETTh2,720,97-192
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,0.14902983605861664,0.1490284651517868,0.0009198959597611633,False,0.2001924067735672,0.20019026100635529,0.001071863936408235,False,Weather,720,1-96
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,0.3123842179775238,0.3123816251754761,0.0008300110629910762,False,0.33489444851875305,0.33489006757736206,0.001308172984249012,False,Weather,720,193-336
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,0.38836023211479187,0.38835421204566956,0.0015501490483682545,False,0.37880387902259827,0.3787985146045685,0.0014161665959466774,False,Weather,720,337-720
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,0.23260252177715302,0.23260121047496796,0.0005637555292148377,False,0.28237777948379517,0.28237321972846985,0.001614797369842158,False,Weather,720,97-192
