comparison,candidate_arm,candidate_label,baseline_arm,baseline_label,candidate_mse,baseline_mse,relative_mse_pct,mse_win,candidate_mae,baseline_mae,relative_mae_pct,mae_win,dataset,horizon
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,0.14961323142051697,0.14961275458335876,0.00031871424299723117,False,0.19720035791397095,0.19720417261123657,-0.0019343897317725123,True,Weather,96
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,0.19565090537071228,0.19565552473068237,-0.002360965772085777,True,0.23979008197784424,0.2397983968257904,-0.0034674326668704403,True,Weather,192
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,0.25145596265792847,0.2514638900756836,-0.003152507404835525,True,0.28124263882637024,0.2812526822090149,-0.0035709464406785685,True,Weather,336
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,0.33080628514289856,0.3308134377002716,-0.0021621121024439915,True,0.33561134338378906,0.3356192409992218,-0.002353147396805255,True,Weather,720
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,0.31231918931007385,0.30031517148017883,3.9971399948694586,False,0.3626641631126404,0.35893383622169495,1.0392798099539968,False,ETTh2,96
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,0.3737413287162781,0.3604849576950073,3.677371479252245,False,0.4026039242744446,0.3980604410171509,1.1414053719289274,False,ETTh2,192
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,0.38263434171676636,0.3780958354473114,1.2003587037888508,False,0.4165506362915039,0.41389650106430054,0.641255777803984,False,ETTh2,336
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,0.42042943835258484,0.4029088020324707,4.348536500501199,False,0.4470539689064026,0.43718889355659485,2.256478948848395,False,ETTh2,720
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,0.14984512329101562,0.14891685545444489,0.6233463859668387,False,0.19958393275737762,0.19556677341461182,2.0541113772170494,False,Weather,96
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,0.19341914355754852,0.1931014060974121,0.16454435343475904,False,0.2409745454788208,0.23863273859024048,0.981343508193766,False,Weather,192
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,0.24556760489940643,0.2458879053592682,-0.130262795721392,True,0.2811746597290039,0.2796083986759186,0.5601623772756303,False,Weather,336
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,0.32048657536506653,0.3233675956726074,-0.8909427988751717,True,0.3333503007888794,0.33409297466278076,-0.22229556746919954,True,Weather,720
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,0.31231918931007385,0.3123168647289276,0.0007443021523112492,False,0.3626641631126404,0.3626645505428314,-0.00010682880101642311,True,ETTh2,96
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,0.3737413287162781,0.37373989820480347,0.00038275589024916457,False,0.4026039242744446,0.4026046693325043,-0.0001850594681163109,True,ETTh2,192
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,0.38263434171676636,0.38263553380966187,-0.00031154788047160764,True,0.4165506362915039,0.41655221581459045,-0.00037918969737482655,True,ETTh2,336
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,0.42042943835258484,0.42043039202690125,-0.00022683286805547098,True,0.4470539689064026,0.4470548927783966,-0.0002066573946413186,True,ETTh2,720
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,0.14984512329101562,0.14984364807605743,0.0009845028315469406,False,0.19958393275737762,0.1995818167924881,0.0010601992323389098,False,Weather,96
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,0.19341914355754852,0.1934180110692978,0.0005855133368815046,False,0.2409745454788208,0.2409714311361313,0.0012924115837531502,False,Weather,192
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,0.24556760489940643,0.24556519091129303,0.000983033509127651,False,0.2811746597290039,0.2811708450317383,0.0013567186402996256,False,Weather,336
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,0.32048657536506653,0.3204825520515442,0.001255392375210107,False,0.3333503007888794,0.3333457112312317,0.0013768161680527413,False,Weather,720
