dataset,future_region,scope,validation_rows,mean_probability,highest_weight,split
ETTm2,97–144,360,75607,0.1971512121,0,validation
ETTm2,97–144,720,75607,0.2082665541,1,validation
ETTm2,145–192,1,75607,0.1994553240,0,validation
ETTm2,145–192,48,75607,0.1990456497,0,validation
ETTm2,145–192,144,75607,0.2048128536,1,validation
ETTm2,145–192,360,75607,0.1928019689,0,validation
ETTm2,145–192,720,75607,0.2038842291,0,validation
ETTm2,193–288,1,75607,0.2029882123,0,validation
ETTm2,193–288,48,75607,0.2021520204,0,validation
ETTm2,193–288,144,75607,0.2074328918,1,validation
ETTm2,193–288,360,75607,0.1891183963,0,validation
ETTm2,193–288,720,75607,0.1983085048,0,validation
ETTm2,289–336,1,75607,0.2048610940,0,validation
ETTm2,289–336,48,75607,0.2039224503,0,validation
ETTm2,289–336,144,75607,0.2070017897,1,validation
ETTm2,289–336,360,75607,0.1898889366,0,validation
ETTm2,289–336,720,75607,0.1943257546,0,validation
ETTm2,337–512,1,75607,0.2038927985,1,validation
ETTm2,337–512,48,75607,0.2037137292,0,validation
ETTm2,337–512,144,75607,0.2021756195,0,validation
ETTm2,337–512,360,75607,0.1973209308,0,validation
ETTm2,337–512,720,75607,0.1928969513,0,validation
ETTm2,513–720,1,75607,0.2015778163,0,validation
ETTm2,513–720,48,75607,0.2032311416,1,validation
ETTm2,513–720,144,75607,0.2003761864,0,validation
ETTm2,513–720,360,75607,0.1990931592,0,validation
ETTm2,513–720,720,75607,0.1957217339,0,validation
ETTh1,1–48,1,15127,0.1980524429,0,validation
ETTh1,1–48,48,15127,0.1967446923,0,validation
ETTh1,1–48,144,15127,0.2002906580,0,validation
ETTh1,1–48,360,15127,0.2050376595,1,validation
ETTh1,1–48,720,15127,0.1998745724,0,validation
ETTh1,49–96,1,15127,0.1988671070,0,validation
ETTh1,49–96,48,15127,0.1980131052,0,validation
ETTh1,49–96,144,15127,0.2018718359,0,validation
ETTh1,49–96,360,15127,0.2030726258,1,validation
ETTh1,49–96,720,15127,0.1981753506,0,validation
ETTh1,97–144,1,15127,0.2003528847,0,validation
ETTh1,97–144,48,15127,0.2002904651,0,validation
ETTh1,97–144,144,15127,0.2046639511,1,validation
ETTh1,97–144,360,15127,0.1996453545,0,validation
ETTh1,97–144,720,15127,0.1950473695,0,validation
ETTh1,145–192,1,15127,0.2022120368,0,validation
ETTh1,145–192,48,15127,0.2030679063,0,validation
ETTh1,145–192,144,15127,0.2079601084,1,validation
ETTh1,145–192,360,15127,0.1956651422,0,validation
ETTh1,145–192,720,15127,0.1910948309,0,validation
ETTh1,193–288,1,15127,0.2047420896,0,validation
ETTh1,193–288,48,15127,0.2066416340,0,validation
ETTh1,193–288,144,15127,0.2118802265,1,validation
ETTh1,193–288,360,15127,0.1910617067,0,validation
ETTh1,193–288,720,15127,0.1856743681,0,validation
ETTh1,289–336,1,15127,0.2061795221,0,validation
ETTh1,289–336,48,15127,0.2084111858,0,validation
ETTh1,289–336,144,15127,0.2134412568,1,validation
ETTh1,289–336,360,15127,0.1893896471,0,validation
ETTh1,289–336,720,15127,0.1825784131,0,validation
ETTh1,337–512,1,15127,0.2052429290,0,validation
ETTh1,337–512,48,15127,0.2066550610,0,validation
ETTh1,337–512,144,15127,0.2106632801,1,validation
ETTh1,337–512,360,15127,0.1929964499,0,validation
ETTh1,337–512,720,15127,0.1844423094,0,validation
ETTh1,513–720,1,15127,0.2026762291,0,validation
ETTh1,513–720,48,15127,0.2038516889,0,validation
ETTh1,513–720,144,15127,0.2070091292,1,validation
ETTh1,513–720,360,15127,0.1967926195,0,validation
ETTh1,513–720,720,15127,0.1896703705,0,validation
ETTh2,1–48,1,15127,0.1941773563,0,validation
ETTh2,1–48,48,15127,0.1964329790,0,validation
ETTh2,1–48,144,15127,0.1973787333,0,validation
ETTh2,1–48,360,15127,0.2034871552,0,validation
ETTh2,1–48,720,15127,0.2085238011,1,validation
ETTh2,49–96,1,15127,0.1946599955,0,validation
ETTh2,49–96,48,15127,0.1967661532,0,validation
ETTh2,49–96,144,15127,0.1977309652,0,validation
ETTh2,49–96,360,15127,0.2026842212,0,validation
ETTh2,49–96,720,15127,0.2081586894,1,validation
ETTh2,97–144,1,15127,0.1955979301,0,validation
ETTh2,97–144,48,15127,0.1974224384,0,validation
ETTh2,97–144,144,15127,0.1985066835,0,validation
ETTh2,97–144,360,15127,0.2011679980,0,validation
ETTh2,97–144,720,15127,0.2073049747,1,validation
ETTh2,145–192,1,15127,0.1968071450,0,validation
ETTh2,145–192,48,15127,0.1982716327,0,validation
ETTh2,145–192,144,15127,0.1996470674,0,validation
ETTh2,145–192,360,15127,0.1992740318,0,validation
ETTh2,145–192,720,15127,0.2060001480,1,validation
ETTh2,193–288,1,15127,0.1981863956,0,validation
ETTh2,193–288,48,15127,0.1991919589,0,validation
ETTh2,193–288,144,15127,0.2012475403,0,validation
ETTh2,193–288,360,15127,0.1972131388,0,validation
ETTh2,193–288,720,15127,0.2041609913,1,validation
ETTh2,289–336,1,15127,0.1983738648,0,validation
ETTh2,289–336,48,15127,0.1991954158,0,validation
ETTh2,289–336,144,15127,0.2019195052,0,validation
ETTh2,289–336,360,15127,0.1970721808,0,validation
ETTh2,289–336,720,15127,0.2034390581,1,validation
ETTh2,337–512,1,15127,0.1967583425,0,validation
ETTh2,337–512,48,15127,0.1979466163,0,validation
ETTh2,337–512,144,15127,0.2008333611,0,validation
ETTh2,337–512,360,15127,0.1997788491,0,validation
ETTh2,337–512,720,15127,0.2046828594,1,validation
ETTh2,513–720,1,15127,0.1951444766,0,validation
ETTh2,513–720,48,15127,0.1972422610,0,validation
ETTh2,513–720,144,15127,0.1981709113,0,validation
ETTh2,513–720,360,15127,0.2015942067,0,validation
ETTh2,513–720,720,15127,0.2078481818,1,validation
Weather,1–48,1,95571,0.2036860927,1,validation
Weather,1–48,48,95571,0.2036481765,0,validation
Weather,1–48,144,95571,0.2018726542,0,validation
Weather,1–48,360,95571,0.1955256732,0,validation
Weather,1–48,720,95571,0.1952674285,0,validation
Weather,49–96,1,95571,0.2041893558,1,validation
Weather,49–96,48,95571,0.2038992127,0,validation
Weather,49–96,144,95571,0.2028070920,0,validation
Weather,49–96,360,95571,0.1948468204,0,validation
Weather,49–96,720,95571,0.1942575441,0,validation
Weather,97–144,1,95571,0.2044738712,1,validation
Weather,97–144,48,95571,0.2038492220,0,validation
Weather,97–144,144,95571,0.2041164631,0,validation
Weather,97–144,360,95571,0.1942616870,0,validation
Weather,97–144,720,95571,0.1932987816,0,validation
Weather,145–192,1,95571,0.2040914274,0,validation
Weather,145–192,48,95571,0.2031882371,0,validation
Weather,145–192,144,95571,0.2051272244,1,validation
Weather,145–192,360,95571,0.1943536956,0,validation
Weather,145–192,720,95571,0.1932394400,0,validation
Weather,193–288,1,95571,0.2032858519,0,validation
Weather,193–288,48,95571,0.2020149076,0,validation
Weather,193–288,144,95571,0.2053703600,1,validation
Weather,193–288,360,95571,0.1951459692,0,validation
Weather,193–288,720,95571,0.1941829360,0,validation
Weather,289–336,1,95571,0.2034623107,0,validation
Weather,289–336,48,95571,0.2018371472,0,validation
Weather,289–336,144,95571,0.2045792053,1,validation
Weather,289–336,360,95571,0.1955057975,0,validation
Weather,289–336,720,95571,0.1946155634,0,validation
Weather,337–512,1,95571,0.2037698520,1,validation
Weather,337–512,48,95571,0.2024312583,0,validation
Weather,337–512,144,95571,0.2025145408,0,validation
Weather,337–512,360,95571,0.1962151535,0,validation
Weather,337–512,720,95571,0.1950692251,0,validation
Weather,513–720,1,95571,0.1985867013,0,validation
Weather,513–720,48,95571,0.1985051441,0,validation
Weather,513–720,144,95571,0.2016556784,1,validation
Weather,513–720,360,95571,0.2000623852,0,validation
Weather,513–720,720,95571,0.2011901273,0,validation
