dataset,arm,horizon,mse,mae,seed,source
ETTm2,iscf_v1_cpsi,192,0.22740930048725447,0.2906815018079703,2021,new_training
ETTm2,iscf_v1_cpsi,336,0.28296508709827045,0.32742393959127564,2021,new_training
ETTm2,iscf_v1_cpsi,720,0.36123925902662807,0.38142991633551465,2021,new_training
Weather,iscf_v1_cpsi_self,96,0.14438293412230702,0.18709241595777754,2021,new_training
Weather,iscf_v1_cpsi_self,192,0.18853314414707353,0.23082787581223024,2021,new_training
Weather,iscf_v1_cpsi_self,336,0.23916566249837481,0.27118007736570104,2021,new_training
Weather,iscf_v1_cpsi_self,720,0.3101539779342376,0.31996364321636317,2021,new_training
ETTm1,iscf_v1_cpsi_self,96,0.2941514531574179,0.3409611962432616,2021,new_training
ETTm1,iscf_v1_cpsi_self,192,0.331757352816627,0.36307927674181006,2021,new_training
ETTm1,iscf_v1_cpsi_self,336,0.37137576180865534,0.38396324611051513,2021,new_training
ETTm1,iscf_v1_cpsi_self,720,0.4294513410941213,0.4153502309824221,2021,new_training
ETTh1,iscf_v1_cpsi_self,96,0.37321539710602053,0.40997192532653065,2021,new_training
ETTh1,iscf_v1_cpsi_self,192,0.40096904937814043,0.428733409894493,2021,new_training
ETTh1,iscf_v1_cpsi_self,336,0.42440864568293735,0.44801997296112195,2021,new_training
ETTh1,iscf_v1_cpsi_self,720,0.5208281851236752,0.5104322706925574,2021,new_training
ETTh2,iscf_v1_cpsi_self,96,0.2644099143010417,0.3379614441036862,2021,new_training
ETTh2,iscf_v1_cpsi_self,192,0.3029782061292184,0.3645296171041728,2021,new_training
ETTh2,iscf_v1_cpsi_self,336,0.3337800209037496,0.38998103880387525,2021,new_training
ETTh2,iscf_v1_cpsi_self,720,0.4138616074217525,0.44533251149485664,2021,new_training
ETTm2,iscf_v1_cpsi_self,96,0.16779724882163208,0.2513778383262115,2021,new_training
ETTm2,iscf_v1_cpsi_self,192,0.23285169096174912,0.2928842210117884,2021,new_training
ETTm2,iscf_v1_cpsi_self,336,0.290097716832736,0.33087100920039275,2021,new_training
ETTm2,iscf_v1_cpsi_self,720,0.36468486781343695,0.38293709003939047,2021,new_training
Weather,iscf_v1_cpsi_linear,96,0.14192800926798912,0.18449287855507812,2021,new_training
Weather,iscf_v1_cpsi_linear,192,0.18395220222986142,0.22671383243638002,2021,new_training
Weather,iscf_v1_cpsi_linear,336,0.2341376185756727,0.26756912252579484,2021,new_training
Weather,iscf_v1_cpsi_linear,720,0.30558030663006136,0.3180992921719122,2021,new_training
ETTm1,iscf_v1_cpsi_linear,96,0.28096710056637797,0.3332987656702656,2021,new_training
ETTm1,iscf_v1_cpsi_linear,192,0.32214815877633,0.3571079840893249,2021,new_training
ETTm1,iscf_v1_cpsi_linear,336,0.366040278370703,0.3797867679415614,2021,new_training
ETTm1,iscf_v1_cpsi_linear,720,0.42587658412786106,0.41075611901815534,2021,new_training
ETTh1,iscf_v1_cpsi_linear,96,0.388184151752689,0.41667819254795885,2021,new_training
ETTh1,iscf_v1_cpsi_linear,192,0.4074873260735449,0.42742446458543837,2021,new_training
ETTh1,iscf_v1_cpsi_linear,336,0.4201941919130355,0.4383152144443237,2021,new_training
ETTh1,iscf_v1_cpsi_linear,720,0.48140981953987744,0.48646561100450714,2021,new_training
ETTh2,iscf_v1_cpsi_linear,96,0.244019398994543,0.3164826349706542,2021,new_training
ETTh2,iscf_v1_cpsi_linear,192,0.28770408990374596,0.349421748544267,2021,new_training
ETTh2,iscf_v1_cpsi_linear,336,0.32294516064482953,0.37956292668333086,2021,new_training
ETTh2,iscf_v1_cpsi_linear,720,0.40712934064129663,0.4387050043212431,2021,new_training
ETTm2,iscf_v1_cpsi_linear,96,0.16163640588412637,0.24883551164572562,2021,new_training
ETTm2,iscf_v1_cpsi_linear,192,0.21677983548331753,0.28683639035589975,2021,new_training
ETTm2,iscf_v1_cpsi_linear,336,0.2681949939188045,0.3212790415353854,2021,new_training
ETTm2,iscf_v1_cpsi_linear,720,0.3453960365133549,0.3740689579847472,2021,new_training
Weather,iscf_v1_cpsi_common,96,0.14308334746742515,0.18586072155679567,2021,new_training
Weather,iscf_v1_cpsi_common,192,0.1862147489592585,0.2295208452373705,2021,new_training
Weather,iscf_v1_cpsi_common,336,0.23615728172951106,0.26950303462861225,2021,new_training
Weather,iscf_v1_cpsi_common,720,0.30677972590786395,0.31864846688147236,2021,new_training
ETTm1,iscf_v1_cpsi_common,96,0.2868359099559559,0.34046794309040834,2021,new_training
ETTm1,iscf_v1_cpsi_common,192,0.32274691070146205,0.36176115066918896,2021,new_training
ETTm1,iscf_v1_cpsi_common,336,0.36217469503673355,0.3824258029544586,2021,new_training
ETTm1,iscf_v1_cpsi_common,720,0.42181213659830696,0.4118526124666918,2021,new_training
ETTh1,iscf_v1_cpsi_common,96,0.37423039332102964,0.41454106443872746,2021,new_training
ETTh1,iscf_v1_cpsi_common,192,0.4007099563299703,0.43225596417576334,2021,new_training
ETTh1,iscf_v1_cpsi_common,336,0.42579808483962106,0.45206126789573686,2021,new_training
ETTh1,iscf_v1_cpsi_common,720,0.5163584082945473,0.5093412339868291,2021,new_training
ETTh2,iscf_v1_cpsi_common,96,0.2707851214527874,0.3455136683850833,2021,new_training
ETTh2,iscf_v1_cpsi_common,192,0.30696022790428845,0.36958631724487084,2021,new_training
ETTh2,iscf_v1_cpsi_common,336,0.33625015062835084,0.3933484563715792,2021,new_training
ETTh2,iscf_v1_cpsi_common,720,0.4160498443860841,0.44742370515405744,2021,new_training
ETTm2,iscf_v1_cpsi_common,96,0.16906935762448183,0.25240889429179236,2021,new_training
ETTm2,iscf_v1_cpsi_common,192,0.234974916288667,0.2946677992841636,2021,new_training
ETTm2,iscf_v1_cpsi_common,336,0.296083950512941,0.33476266806106925,2021,new_training
ETTm2,iscf_v1_cpsi_common,720,0.37240712902280054,0.38664462887610107,2021,new_training
Weather,iscf_v1_cpsi_post,96,0.14457909061915813,0.19040416730004003,2021,new_training
Weather,iscf_v1_cpsi_post,192,0.18908415984274965,0.2344315102900795,2021,new_training
Weather,iscf_v1_cpsi_post,336,0.23986696563582266,0.2744964918810662,2021,new_training
Weather,iscf_v1_cpsi_post,720,0.3115912335947059,0.3234848890011476,2021,new_training
ETTm1,iscf_v1_cpsi_post,96,0.28471388652243074,0.33744560903602144,2021,new_training
ETTm1,iscf_v1_cpsi_post,192,0.32290964986189663,0.3605447066911223,2021,new_training
ETTm1,iscf_v1_cpsi_post,336,0.3627766030937764,0.3817252801931772,2021,new_training
ETTm1,iscf_v1_cpsi_post,720,0.4241838929359435,0.41431462650816286,2021,new_training
ETTh1,iscf_v1_cpsi_post,96,0.36850818364928617,0.4007078546790398,2021,new_training
ETTh1,iscf_v1_cpsi_post,192,0.3969553581270632,0.4177683158951247,2021,new_training
ETTh1,iscf_v1_cpsi_post,336,0.41753624466542516,0.4332755422835752,2021,new_training
ETTh1,iscf_v1_cpsi_post,720,0.47565777883005955,0.47835454090879914,2021,new_training
ETTh2,iscf_v1_cpsi_post,96,0.24801039487060064,0.3224134120055427,2021,new_training
ETTh2,iscf_v1_cpsi_post,192,0.29029791042712266,0.3547070141126342,2021,new_training
ETTh2,iscf_v1_cpsi_post,336,0.3221078927717081,0.3818684850123568,2021,new_training
ETTh2,iscf_v1_cpsi_post,720,0.40637386437746825,0.43850860357199734,2021,new_training
ETTm2,iscf_v1_cpsi_post,96,0.1659053113723549,0.25304539574422297,2021,new_training
ETTm2,iscf_v1_cpsi_post,192,0.22083237929674723,0.2893420025159986,2021,new_training
ETTm2,iscf_v1_cpsi_post,336,0.2729114887875042,0.32366702246179657,2021,new_training
ETTm2,iscf_v1_cpsi_post,720,0.35472567192067506,0.37834955331871034,2021,new_training
