dataset,arm,epoch,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,pred_loss_mode,prefix_samples,continuous_min_prefix,continuous_prefix_step,val_mean_mse,lr,epoch_seconds
ETTh2,continuous_prefix_k2,4,0.5847085900275053,0.4091843974537554,0.4939534443933352,0.08402980908553685,0.9149438182337094,continuous-prefix,2,32,32,0.4309891015291214,0.0003969463130731183,4.149514436721802
ETTh2,continuous_prefix_k2,5,0.5661339687298884,0.41293496328645046,0.48527126014232635,0.06200629233720556,0.9119271411832455,continuous-prefix,2,32,32,0.4490218460559845,0.00032725424859373687,4.290074586868286
ETTh2,continuous_prefix_k2,6,0.5358473119218793,0.3990371020230572,0.480174947497064,0.04579032538870795,0.9101988409472778,continuous-prefix,2,32,32,0.4528176411986351,0.00025,4.147576570510864
ETTh2,continuous_prefix_k2,7,0.5239557898150081,0.3985913518519528,0.4746718036126247,0.03448059050514635,0.9088384691065392,continuous-prefix,2,32,32,0.4511442631483078,0.00017274575140626317,4.091984748840332
ETTh2,continuous_prefix_k2,8,0.5162395254700585,0.3978671972862387,0.4726922773154436,0.027606530279844207,0.9076579846112074,continuous-prefix,2,32,32,0.4577420502901077,0.00010305368692688174,4.231934309005737
ETTh2,continuous_prefix_k2,9,0.5080924402032279,0.3933588002635314,0.46911833046284396,0.02404909677374943,0.9068454100494892,continuous-prefix,2,32,32,0.45134905725717545,4.7745751406263163e-05,4.152867555618286
ETTh2,continuous_prefix_k2,10,0.49990895482818637,0.3868074603049101,0.47048103690674875,0.022454478810912212,0.906470142634569,continuous-prefix,2,32,32,0.45467402040958405,1.2235870926211617e-05,4.008789777755737
ETTh2,continuous_prefix_pool96,1,0.7930570661494162,0.4828737756583543,0.5563580811814924,0.2160855947078857,0.940976966798833,continuous-prefix,1,96,96,0.41759471595287323,0.0005,4.64106822013855
ETTh2,continuous_prefix_pool96,2,0.6728868728454134,0.4445301629273237,0.5185024748861262,0.1360725644085787,0.9228414726995788,continuous-prefix,1,96,96,0.4316543936729431,0.0004877641290737884,3.9347474575042725
ETTh2,continuous_prefix_pool96,3,0.6335250492644521,0.4394358703784183,0.5103672045258294,0.10237452532865304,0.9171465492881505,continuous-prefix,1,96,96,0.4305465370416641,0.0004522542485937369,4.121633529663086
ETTh2,continuous_prefix_pool96,4,0.6003583512738743,0.4248245164620138,0.49577032253805514,0.08402980908553685,0.9150402548566329,continuous-prefix,1,96,96,0.4360504001379013,0.0003969463130731183,3.9919934272766113
ETTh2,continuous_prefix_pool96,5,0.5726870870695705,0.41947866119114696,0.4875295299344358,0.06200629233720556,0.9120213212692632,continuous-prefix,1,96,96,0.4515404850244522,0.00032725424859373687,4.029975414276123
ETTh2,continuous_prefix_pool96,6,0.5483395537707658,0.41151767026270386,0.4817563726574974,0.04579032538870795,0.9103156125123522,continuous-prefix,1,96,96,0.4570097252726555,0.00025,4.017780065536499
ETTh2,continuous_prefix_pool96,7,0.5426389742477805,0.41726075679855007,0.476068849848435,0.03448059050514635,0.9089762795287951,continuous-prefix,1,96,96,0.45385655760765076,0.00017274575140626317,4.213400840759277
ETTh2,continuous_prefix_pool96,8,0.5327434240453011,0.4143563908549537,0.47351317437349166,0.027606530279844207,0.9078050290061309,continuous-prefix,1,96,96,0.4609254524111748,0.00010305368692688174,4.033094882965088
ETTh2,continuous_prefix_pool96,9,0.5173894362112063,0.4026410618582658,0.47016971327562246,0.02404909677374943,0.9069927675006664,continuous-prefix,1,96,96,0.4554423615336418,4.7745751406263163e-05,4.223179817199707
