comparison,layer,metric,candidate,reference,dataset,horizon,gain_percent,candidate_value,reference_value
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,ETTh2,720,0.6557772690535812,0.43726292100327147,0.4401493201950042
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,ETTm2,96,-1.7044629878213202,0.2570937686808783,0.2527851395387282
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,ETTm2,192,-0.9232388140797188,0.29276698080566765,0.29008876869776395
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,ETTm2,336,-0.37538757010846524,0.32682222816677275,0.3255999663647621
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,ETTm2,720,-0.22012572889862358,0.3778377014241379,0.37700781023385593
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,Weather,96,2.2120463698067416,0.14226326643408893,0.14548138206479796
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,Weather,192,0.7626369345600903,0.18534350720630186,0.18676786794917266
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,Weather,336,-0.4978186437878396,0.23831301012039718,0.23713252022423698
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,Weather,720,-0.37203603146838127,0.30990243883580365,0.3087537635867462
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,ETTm1,96,4.405930818034753,0.28192920746072786,0.2949233251323049
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,ETTm1,192,3.2741766283660323,0.3226731900765245,0.3335957026044323
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,ETTm1,336,2.2134362027412813,0.3638915464184403,0.37212837049157194
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,ETTm1,720,1.8930767371866164,0.4220871404047322,0.4302317577262367
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,ETTh1,96,-0.05934363755706329,0.3685761305282808,0.3683575337685271
