dataset,seed,split,loss,target,batch_count,negative_fraction,mean_short_norm,mean_long_norm,mean_norm_ratio,mean_cosine,mean_dot
ETTh2,2023,validation,l1,encoder_params,4,0.0,0.11182062141597271,0.13868587091565132,1.286227173850306,0.7497405409812927,0.012421118677593768
ETTh2,2023,validation,mse,all_params,4,0.0,0.4705957993865013,0.5274730026721954,1.195100859907966,0.7015567570924759,0.18013355508446693
ETTh2,2023,validation,mse,basis_params,4,0.0,0.06674187630414963,0.03290428686887026,2.0653032177050354,0.4780774638056755,0.0011171000442118384
ETTh2,2023,validation,mse,coeff_params,4,0.0,0.41825441271066666,0.4355333372950554,1.2010505844989998,0.6732869446277618,0.12660719081759453
ETTh2,2023,validation,mse,coeff_tensor,4,0.0,0.00649321754463017,0.005528818117454648,1.1739629012355717,0.6035459637641907,2.1772554191556992e-05
ETTh2,2023,validation,mse,encoder_params,4,0.0,0.19947488978505135,0.28625769168138504,1.4874967126197527,0.8357360512018204,0.04988930560648441
ETTm1,2021,train,l1,all_params,4,0.0,0.25168079137802124,0.13099180907011032,1.9512514387961524,0.5952159538865089,0.020300367614254355
ETTm1,2021,train,l1,basis_params,4,0.0,0.04485335014760494,0.020249080378562212,2.2231180607954237,0.4870300740003586,0.00044148754386696965
ETTm1,2021,train,l1,coeff_params,4,0.0,0.23129014298319817,0.11979391612112522,1.945200037574197,0.5934585928916931,0.016919184010475874
ETTm1,2021,train,l1,coeff_tensor,4,0.0,0.0070216195890679955,0.0030898492550477386,2.2749559823751144,0.5909083187580109,1.2821516293115565e-05
ETTm1,2021,train,l1,encoder_params,4,0.0,0.08411665074527264,0.045450061559677124,1.9983541651714276,0.6572607159614563,0.0027531696541700512
ETTm1,2021,train,mse,all_params,4,0.0,0.334367074072361,0.24617819860577583,1.4177915425227088,0.6280146688222885,0.05228755250573158
ETTm1,2021,train,mse,basis_params,4,0.0,0.060571045614778996,0.03406226355582476,1.777125709841921,0.4550521820783615,0.0009471998637309298
ETTm1,2021,train,mse,coeff_params,4,0.0,0.30394020676612854,0.20912383124232292,1.501363902945999,0.6141451448202133,0.03907960560172796
ETTm1,2021,train,mse,coeff_tensor,4,0.0,0.009392522042617202,0.005255475058220327,1.8238499059610405,0.5636601597070694,2.8349075364531018e-05
ETTm1,2021,train,mse,encoder_params,4,0.0,0.11914573237299919,0.11844440270215273,1.2876392439847013,0.753258466720581,0.011460531037300825
ETTm1,2021,validation,l1,all_params,4,0.0,0.5241547748446465,0.22145185247063637,2.427986822330709,0.6648233607411385,0.074730409309268
ETTm1,2021,validation,l1,basis_params,4,0.0,0.08056329749524593,0.032279877457767725,2.4975381532267953,0.5192445665597916,0.0013669527834281325
ETTm1,2021,validation,l1,coeff_params,4,0.0,0.48597904294729233,0.18690618872642517,2.645546566136322,0.6574165672063828,0.058325485326349735
ETTm1,2021,validation,l1,coeff_tensor,4,0.0,0.010022190632298589,0.004576833685860038,2.190218355395535,0.615474671125412,2.8257249141461216e-05
ETTm1,2021,validation,l1,encoder_params,4,0.0,0.16978725045919418,0.11056509055197239,1.5874577000550947,0.7774926573038101,0.014387107687070966
ETTm1,2021,validation,mse,all_params,4,0.0,0.6978968605399132,0.4146943762898445,1.7211627532714755,0.5865838825702667,0.17177744954824448
ETTm1,2021,validation,mse,basis_params,4,0.0,0.14086895994842052,0.07234030868858099,1.9287180900699796,0.4214833751320839,0.004733588692033663
ETTm1,2021,validation,mse,coeff_params,4,0.0,0.6150597855448723,0.3250068575143814,1.9174571351084362,0.5554151684045792,0.11021533887833357
ETTm1,2021,validation,mse,coeff_tensor,4,0.0,0.016015575267374516,0.01008360437117517,1.5878039159621173,0.577553004026413,9.520696039544418e-05
ETTm1,2021,validation,mse,encoder_params,4,0.0,0.28884341567754745,0.24009190499782562,1.2716172463659805,0.7272363752126694,0.054946752730757
ETTm1,2022,train,l1,all_params,4,0.0,0.28076621145009995,0.11787905357778072,2.4181553740133683,0.5452465265989304,0.018843699945136905
ETTm1,2022,train,l1,basis_params,4,0.0,0.04647431243211031,0.020087282173335552,2.326947306755213,0.4981098547577858,0.00046339407708728686
ETTm1,2022,train,l1,coeff_params,4,0.0,0.25729702413082123,0.10714360140264034,2.4128489191510307,0.5588748604059219,0.01593027776107192
ETTm1,2022,train,l1,coeff_tensor,4,0.0,0.006883345660753548,0.003094234736636281,2.2271174515847783,0.5816129148006439,1.2392239113978576e-05
ETTm1,2022,train,l1,encoder_params,4,0.0,0.09551135264337063,0.04120800271630287,2.6212906894764556,0.503714919090271,0.0022808818612247705
ETTm1,2022,train,mse,all_params,4,0.0,0.3067343011498451,0.2563513405621052,1.2965706886048527,0.533611349761486,0.04486104054376483
ETTm1,2022,train,mse,basis_params,4,0.0,0.05893685016781092,0.032651889603585005,1.806057128596174,0.44662268459796906,0.0008613474783487618
ETTm1,2022,train,mse,coeff_params,4,0.0,0.27796943858265877,0.2162066251039505,1.3332949191363856,0.5256069898605347,0.033281898591667414
ETTm1,2022,train,mse,coeff_tensor,4,0.0,0.009134898893535137,0.005213447380810976,1.7836300550114466,0.5475341975688934,2.6538516976870596e-05
ETTm1,2022,train,mse,encoder_params,4,0.0,0.11013093963265419,0.12399007938802242,1.2627711045945718,0.6221621036529541,0.009728506207466125
ETTm1,2022,validation,l1,all_params,4,0.0,0.3991507515311241,0.19860467687249184,2.0217261299616722,0.6399613916873932,0.050812059082090855
ETTm1,2022,validation,l1,basis_params,4,0.0,0.08424950391054153,0.03270630491897464,2.587418560345554,0.5406429618597031,0.0014962044660933316
ETTm1,2022,validation,l1,coeff_params,4,0.0,0.3304009959101677,0.16198329627513885,2.0373919078865916,0.5724661201238632,0.030782149638980627
ETTm1,2022,validation,l1,coeff_tensor,4,0.0,0.009708680678158998,0.004565732553601265,2.126705288561657,0.6020833104848862,2.670345611477387e-05
ETTm1,2022,validation,l1,encoder_params,4,0.0,0.20346903055906296,0.10589052923023701,1.9710653069257624,0.831892266869545,0.01806225534528494
ETTm1,2022,validation,mse,all_params,4,0.0,0.5994293913245201,0.43582307547330856,1.388594911086793,0.516941100358963,0.14545752108097076
ETTm1,2022,validation,mse,basis_params,4,0.0,0.1437869481742382,0.07463130354881287,1.9226234652410374,0.4279348701238632,0.004968079680111259
ETTm1,2022,validation,mse,coeff_params,4,0.0,0.46959342062473297,0.3431929796934128,1.3969952684718314,0.44036808609962463,0.07264136802405119
ETTm1,2022,validation,mse,coeff_tensor,4,0.0,0.015476631699129939,0.010198937030509114,1.5184188281593787,0.5618349760770798,9.040522127179429e-05
ETTm1,2022,validation,mse,encoder_params,4,0.0,0.33776096999645233,0.2440009042620659,1.4345203725274789,0.7024773061275482,0.06636454444378614
ETTm1,2023,train,l1,all_params,4,0.0,0.4652593582868576,0.15073304995894432,3.0975778274374077,0.7459089905023575,0.0532473074272275
